,train_losses (absolute mean error),valid_losses
286,0.969860259,1.349945557
287,0.971968016,1.305186037
288,1.094453686,1.341329464
289,1.055932916,1.400766976
290,0.96783411,1.290205422
291,0.976498573,1.280440897
292,0.974456189,1.321075456
293,0.964079283,1.266883247
294,0.941358736,1.308662772
295,0.995519393,1.326178836
296,0.945962751,1.318777737
297,0.965396506,1.338037512
298,0.952388987,1.334441519
299,0.954908986,1.288998017
300,0.945871016,1.314432378
301,0.944875638,1.350958978
302,0.961265818,1.306580908
303,0.965972454,1.28097339
304,0.958407808,1.296652844
305,0.944793463,1.307628036
306,0.949803111,1.312022122
307,0.925942824,1.333366657
308,0.917230389,1.322348396
309,0.950599239,1.302584855
310,1.020580911,1.288984115
311,0.926110877,1.333703527
312,0.926825018,1.347069053
313,0.919500556,1.344412697
314,0.954062738,1.27123143
315,0.927578909,1.270986257
316,0.911148905,1.335186972
317,0.917037622,1.372148553
318,0.943223234,1.333977286
319,0.902685432,1.320840489
320,0.945892367,1.328650049
321,0.904914335,1.319561846
322,0.909067252,1.368453638
323,0.948576575,1.373264843
324,0.921711297,1.285904194
325,0.929478036,1.353522142
326,1.031480912,1.321721232
327,0.914716881,1.295849319
328,0.947810673,1.286689629
329,0.908468371,1.2851926
330,0.995176709,1.2853857
331,0.898464636,1.327977417
332,0.889996222,1.380260995
333,0.999738111,1.257243527
334,0.896101549,1.294629395
335,0.878786693,1.360037008
336,0.891121778,1.337354955
337,0.956310893,1.271464417
338,0.873409438,1.345353533
339,0.887634631,1.397818191
340,0.894662154,1.339903666
341,0.889083585,1.33359797
342,0.876714438,1.366051339
343,0.894637279,1.285871816
344,0.916763489,1.318248156
345,0.902678431,1.381136411
346,0.887343562,1.324707776
347,0.860012504,1.38151317
348,0.862203235,1.372291935
349,0.894520043,1.303270033
350,0.871247312,1.316043205
351,0.858390244,1.402781667
352,0.860748324,1.364660458
353,0.960795003,1.39465197
354,0.868408526,1.368124148
355,0.870451095,1.352913853
356,0.860564282,1.414627787
357,0.857419263,1.365653786
358,0.845425,1.343618236
359,0.907883519,1.353556952
360,0.903898748,1.334205029
361,0.881522714,1.261212426
362,0.860741219,1.286007897
363,0.94334739,1.405011698
364,0.843828906,1.327409969
365,0.849333517,1.324895302
366,0.869786003,1.327992115
367,0.840083825,1.41800925
368,0.828286829,1.35860033
369,0.832969814,1.421299549
370,0.926397863,1.346930774
371,0.854341824,1.309491084
372,0.850261372,1.398438954
373,0.820924393,1.374083749
374,0.822612651,1.362896927
375,0.840664037,1.369672513
376,0.821109735,1.348899996
377,0.815887329,1.343675626
378,0.868428531,1.362442409
379,0.802112719,1.40992342
380,0.812020697,1.39081289
381,0.849918465,1.404379216
382,0.836050068,1.291207436
383,0.815421366,1.310592431
384,0.835351645,1.32123863
385,0.822245882,1.256862225
386,0.930893453,1.263283404
387,0.81877992,1.346644721
388,0.800247282,1.422948662
389,0.833828424,1.395302313
390,0.851408561,1.263995817
391,0.817338739,1.242408075
392,0.792292587,1.439744235
393,0.838048778,1.386022347
394,0.820500313,1.298339589
395,0.88659125,1.299610033
396,0.806264071,1.401201458
397,0.766291426,1.423848993
398,0.819497755,1.266600793
399,0.828944516,1.338535944
400,0.795528777,1.407117242
401,0.819140001,1.289648456
402,0.80045656,1.334343978
403,0.813050739,1.363388133
404,0.79050257,1.2955452
405,0.871268492,1.317669343
406,0.790656493,1.344424497
407,0.782023701,1.35789567
408,0.813510396,1.327242037
409,0.789626095,1.35479308
410,0.751587539,1.349831061
411,0.786781007,1.281868215
412,0.756460971,1.321280931
413,0.773176399,1.312485514
414,0.754079968,1.408948081
415,0.776273626,1.330590638
416,0.777313077,1.243901396
417,0.766794796,1.300743165
418,0.774350492,1.378856487
419,0.758067385,1.353863897
420,0.80343637,1.346097272
421,0.760653134,1.315065785
422,0.776938638,1.383250719
423,0.779223028,1.346329843
424,0.79752817,1.403973247
425,0.767103257,1.353705018
426,0.806673935,1.482411496
427,0.807766019,1.298503869
428,0.780924018,1.327863795
429,0.720321266,1.365503874
430,0.763585676,1.371953306
431,0.777492752,1.322462798
432,0.738353112,1.364326415
433,0.76396719,1.3871792
434,0.779918627,1.371702694
435,0.730907672,1.36025822
436,0.737520663,1.36875491
437,0.746304768,1.295008771
438,0.78193846,1.317878392
439,0.724133509,1.401253052
440,0.790190391,1.364335608
441,0.786773361,1.340185525
442,0.722332503,1.370995503
443,0.762517271,1.351452886
444,0.794498316,1.341395722
445,0.717564623,1.44036964
446,0.72920323,1.361231514
447,0.7013913,1.350497915
448,0.720097047,1.393662259
449,0.719919921,1.322667955
450,0.72475271,1.334808028
451,0.691712433,1.410076435
452,0.747795477,1.326398943
453,0.743285149,1.32789345
454,0.712369982,1.448470409
455,0.708765186,1.323965559
456,0.780212149,1.304223285
457,0.702151299,1.406703088
458,0.769887076,1.366930593
459,0.706519622,1.349435402
460,0.742639554,1.302601772
461,0.726654044,1.293245654
462,0.703351218,1.341633803
463,0.7017366,1.385267964
464,0.721824424,1.288940033
465,0.684573853,1.409047172
466,0.749206166,1.396641157
467,0.673493742,1.35432106
468,0.729045093,1.315251809
469,0.679266237,1.410055923
470,0.675514692,1.365794476
471,0.827223381,1.300441972
472,0.704546152,1.385766106
473,0.721568313,1.363936914
474,0.661968542,1.361318527
475,0.78181546,1.293933143
476,0.714565048,1.309631248
477,0.682091886,1.339534746
478,0.697813089,1.336248758
479,0.685906018,1.326592433
480,0.6782362,1.473179479
481,0.774141501,1.309212499
482,0.695948217,1.316147453
483,0.68791517,1.28354944
484,0.688465375,1.362017941
485,0.692358574,1.380069523
486,0.683892054,1.30948917
487,0.706239253,1.313699035
488,0.714484227,1.366402515
489,0.664346757,1.371896238
490,0.707849496,1.342767665
491,0.644957926,1.374549916
492,0.717476812,1.323609904
493,0.688623708,1.299716548
494,0.659413436,1.36318202
495,0.662163193,1.340447187
496,0.674624452,1.309932079
497,0.659740692,1.398755222
498,0.778744101,1.304072326
499,0.709453234,1.291409947
