,train_losses,valid_losses,Parameters
0,1.2544876098632813,0.8178023338317871,1
1,1.0333438873291017,0.7719758510589599,100
2,0.9354057312011719,0.7143959999084473,"[32, 32]"
3,1.0323952674865722,0.6999380588531494,128
4,0.8951907157897949,0.647881269454956,0.2
5,0.8703680038452148,0.6508997440338135,0.0001
6,0.8126750946044922,0.6274936676025391,regression
