,train_losses,valid_losses,,"(1, 75, [32, 32], 16, 0.5, 1e-05, 'regression')"
192,1.27065619,1.366526875,,
193,1.270035628,1.36843364,,
194,1.269352605,1.365343118,,
195,1.267986009,1.368541816,,
196,1.269029274,1.367716477,,
197,1.270710321,1.367499105,,
198,1.268105199,1.36652474,,
199,1.266211902,1.363289781,,
200,1.266044934,1.361592224,,
201,1.264520005,1.363511187,,
202,1.263780779,1.363589239,,
203,1.262555598,1.363077306,,
204,1.261751913,1.360820151,,
205,1.260758417,1.358355592,,
206,1.261571797,1.358306207,,
207,1.260354248,1.356841287,,
208,1.260748172,1.356598151,,
209,1.258288439,1.354009536,,
210,1.256881982,1.354739257,,
211,1.255835309,1.355918416,,
212,1.25370414,1.355497107,,
213,1.254104108,1.354452919,,
214,1.25427962,1.354686197,,
215,1.253821452,1.353664097,,
216,1.25362786,1.353529792,,
217,1.253110989,1.35288869,,
218,1.250860962,1.352904308,,
219,1.24978321,1.352527043,,
220,1.250708954,1.35217729,,
221,1.249998427,1.353265228,,
222,1.247944914,1.351793672,,
223,1.246757403,1.35056592,,
224,1.247495978,1.352916836,,
225,1.247393457,1.351718639,,
226,1.245411431,1.349246724,,
227,1.244221437,1.348316723,,
228,1.245187322,1.346840557,,
229,1.242605553,1.344499692,,
230,1.243052386,1.344722761,,
231,1.243136165,1.343860638,,
232,1.241426511,1.345006599,,
233,1.241120582,1.343776981,,
234,1.240582207,1.342741511,,
235,1.240453786,1.343089297,,
236,1.24017322,1.344516025,,
237,1.2403375,1.344475455,,
238,1.239490008,1.344116254,,
239,1.237487347,1.343346183,,
240,1.235645668,1.34319986,,
241,1.235917299,1.340132914,,
242,1.23414638,1.338678923,,
243,1.232757502,1.339326391,,
244,1.232624947,1.337651867,,
245,1.232439555,1.336652342,,
246,1.232897164,1.338756764,,
247,1.231631667,1.33824555,,
248,1.231517621,1.336279975,,
249,1.231403318,1.334475504,,
