Running NEB!
Tue Sep 17 11:03:33 PDT 2019
      Step     Time          Energy         fmax
BFGS:    0 11:03:36    -1610.101441        0.0058
      Step     Time          Energy         fmax
BFGS:    0 11:03:36    -1610.012195        0.0051
Interpolation finished!
      Step     Time          Energy         fmax
BFGS:    0 11:03:40    -1604.267490       10.3685
BFGS:    1 11:03:43    -1605.459123        4.9645
BFGS:    2 11:03:49    -1606.309926        3.9861
BFGS:    3 11:03:54    -1607.014824        2.6916
BFGS:    4 11:03:58    -1607.603242        2.1176
BFGS:    5 11:04:03    -1608.064174        2.1026
BFGS:    6 11:04:07    -1608.428968        1.9146
BFGS:    7 11:04:13    -1608.721409        1.4977
BFGS:    8 11:04:16    -1608.939888        1.6561
BFGS:    9 11:04:20    -1609.071820        1.2526
BFGS:   10 11:04:25    -1609.169481        1.2235
BFGS:   11 11:04:29    -1609.260029        0.9570
BFGS:   12 11:04:34    -1609.340015        0.6770
BFGS:   13 11:04:38    -1609.411637        0.6435
BFGS:   14 11:04:43    -1609.467938        0.5089
BFGS:   15 11:04:47    -1609.498758        1.0212
BFGS:   16 11:04:51    -1609.511438        1.5287
BFGS:   17 11:04:55    -1609.533506        0.6001
BFGS:   18 11:05:00    -1609.550178        0.5958
BFGS:   19 11:05:04    -1609.558673        0.7097
BFGS:   20 11:05:09    -1609.556217        0.9983
BFGS:   21 11:05:14    -1609.549352        1.5404
BFGS:   22 11:05:18    -1609.553870        0.7038
BFGS:   23 11:05:23    -1609.569376        0.7312
BFGS:   24 11:05:25    -1609.576998        0.8265
BFGS:   25 11:05:32    -1609.583198        0.5038
BFGS:   26 11:05:37    -1609.587858        1.5544
BFGS:   27 11:05:40    -1609.597628        0.5287
BFGS:   28 11:05:47    -1609.604226        0.3600
BFGS:   29 11:05:51    -1609.608202        0.3996
BFGS:   30 11:05:54    -1609.610117        0.5755
BFGS:   31 11:05:59    -1609.611231        0.6799
BFGS:   32 11:06:03    -1609.614103        0.3137
BFGS:   33 11:06:09    -1609.616865        0.2239
BFGS:   34 11:06:14    -1609.618301        0.2782
BFGS:   35 11:06:20    -1609.619447        0.2187
BFGS:   36 11:06:25    -1609.619939        0.4616
BFGS:   37 11:06:30    -1609.619837        0.3421
BFGS:   38 11:06:34    -1609.620418        0.2038
BFGS:   39 11:06:38    -1609.620436        0.1696
BFGS:   40 11:06:41    -1609.619325        0.1797
BFGS:   41 11:06:45    -1609.617418        0.1820
BFGS:   42 11:06:49    -1609.616175        0.4780
BFGS:   43 11:06:54    -1609.615470        0.3798
BFGS:   44 11:06:59    -1609.616992        0.1051
BFGS:   45 11:07:04    -1609.617881        0.1048
BFGS:   46 11:07:07    -1609.617204        0.1437
BFGS:   47 11:07:10    -1609.615421        0.1650
BFGS:   48 11:07:14    -1609.613144        0.2716
BFGS:   49 11:07:19    -1609.610614        0.3585
BFGS:   50 11:07:21    -1609.611294        0.1108
BFGS:   51 11:07:26    -1609.611833        0.1689
BFGS:   52 11:07:30    -1609.610773        0.1516
BFGS:   53 11:07:34    -1609.608053        0.0804
BFGS:   54 11:07:40    -1609.605304        0.0910
BFGS:   55 11:07:43    -1609.602600        0.0820
BFGS:   56 11:07:46    -1609.600602        0.0914
BFGS:   57 11:07:49    -1609.599316        0.0777
BFGS:   58 11:07:54    -1609.598684        0.0901
BFGS:   59 11:07:59    -1609.598140        0.0753
BFGS:   60 11:08:02    -1609.597565        0.0668
BFGS:   61 11:08:08    -1609.596852        0.0549
BFGS:   62 11:08:14    -1609.595648        0.0710
BFGS:   63 11:08:19    -1609.593936        0.0703
BFGS:   64 11:08:25    -1609.591426        0.0721
BFGS:   65 11:08:31    -1609.588767        0.0834
BFGS:   66 11:08:35    -1609.586603        0.0969
BFGS:   67 11:08:40    -1609.585095        0.0853
BFGS:   68 11:08:44    -1609.584157        0.0741
BFGS:   69 11:08:49    -1609.583233        0.0672
BFGS:   70 11:08:52    -1609.581928        0.0725
BFGS:   71 11:08:58    -1609.580720        0.0770
BFGS:   72 11:09:03    -1609.579080        0.0647
BFGS:   73 11:09:08    -1609.577810        0.0572
BFGS:   74 11:09:11    -1609.576732        0.0628
BFGS:   75 11:09:17    -1609.576239        0.0661
BFGS:   76 11:09:22    -1609.576352        0.0528
BFGS:   77 11:09:28    -1609.576613        0.0456
Neb Done!
Tue Sep 17 11:09:30 PDT 2019
