Running NEB!
Thu Sep 12 16:58:13 PDT 2019
      Step     Time          Energy         fmax
BFGS:    0 16:58:15    -1486.563960        0.0055
      Step     Time          Energy         fmax
BFGS:    0 16:58:16    -1486.485683        0.0058
Interpolation finished!
      Step     Time          Energy         fmax
BFGS:    0 16:58:32    -1482.561911        6.3771
BFGS:    1 16:58:46    -1483.558623        2.8170
BFGS:    2 16:59:00    -1483.977287        2.8503
BFGS:    3 16:59:20    -1484.256326        2.3785
BFGS:    4 16:59:43    -1484.511049        2.0811
BFGS:    5 17:00:03    -1484.760469        1.5245
BFGS:    6 17:00:25    -1484.966471        1.1654
BFGS:    7 17:00:41    -1485.133685        0.8586
BFGS:    8 17:01:00    -1485.263747        0.9854
BFGS:    9 17:01:16    -1485.368668        0.8057
BFGS:   10 17:01:37    -1485.465329        0.7570
BFGS:   11 17:01:47    -1485.563557        1.0786
BFGS:   12 17:01:57    -1485.628613        0.7600
BFGS:   13 17:02:20    -1485.677413        0.4372
BFGS:   14 17:02:41    -1485.712467        0.4150
BFGS:   15 17:02:55    -1485.762182        0.3848
BFGS:   16 17:03:03    -1485.824688        0.5911
BFGS:   17 17:03:24    -1485.868464        0.6755
BFGS:   18 17:03:45    -1485.895517        0.6669
BFGS:   19 17:04:07    -1485.925358        0.3774
BFGS:   20 17:04:29    -1485.953500        0.3551
BFGS:   21 17:04:45    -1485.969610        0.3256
BFGS:   22 17:05:01    -1485.980227        0.2437
BFGS:   23 17:05:22    -1485.992697        0.2117
BFGS:   24 17:05:44    -1486.006546        0.2742
BFGS:   25 17:06:07    -1486.018987        0.2126
BFGS:   26 17:06:28    -1486.028943        0.1751
BFGS:   27 17:06:44    -1486.036046        0.1895
BFGS:   28 17:07:07    -1486.041027        0.2254
BFGS:   29 17:07:29    -1486.045524        0.1563
BFGS:   30 17:07:51    -1486.049897        0.1542
BFGS:   31 17:08:05    -1486.053259        0.1304
BFGS:   32 17:08:27    -1486.055613        0.1014
BFGS:   33 17:08:50    -1486.057689        0.1147
BFGS:   34 17:08:59    -1486.059760        0.1415
BFGS:   35 17:09:13    -1486.061678        0.1317
BFGS:   36 17:09:34    -1486.062995        0.1379
BFGS:   37 17:09:57    -1486.064129        0.1079
BFGS:   38 17:10:18    -1486.064999        0.0976
BFGS:   39 17:10:39    -1486.065888        0.1281
BFGS:   40 17:10:53    -1486.066926        0.0877
BFGS:   41 17:11:14    -1486.067825        0.0698
BFGS:   42 17:11:38    -1486.068519        0.0703
BFGS:   43 17:11:53    -1486.068867        0.0904
BFGS:   44 17:12:07    -1486.069334        0.0731
BFGS:   45 17:12:29    -1486.069914        0.0602
BFGS:   46 17:12:44    -1486.070330        0.0774
BFGS:   47 17:13:07    -1486.070361        0.0820
BFGS:   48 17:13:28    -1486.070295        0.0860
BFGS:   49 17:13:50    -1486.070164        0.0664
BFGS:   50 17:14:06    -1486.069850        0.0862
BFGS:   51 17:14:27    -1486.069361        0.0875
BFGS:   52 17:14:48    -1486.069010        0.0826
BFGS:   53 17:15:04    -1486.069003        0.0687
BFGS:   54 17:15:25    -1486.069001        0.0710
BFGS:   55 17:15:48    -1486.068754        0.0891
BFGS:   56 17:16:09    -1486.068842        0.0727
BFGS:   57 17:16:24    -1486.068555        0.0713
BFGS:   58 17:16:40    -1486.068396        0.0807
BFGS:   59 17:17:01    -1486.067714        0.1015
BFGS:   60 17:17:21    -1486.067694        0.0680
BFGS:   61 17:17:44    -1486.067738        0.0522
BFGS:   62 17:18:01    -1486.067542        0.0549
BFGS:   63 17:18:22    -1486.066959        0.0728
BFGS:   64 17:18:43    -1486.066546        0.0720
BFGS:   65 17:19:05    -1486.066219        0.0528
BFGS:   66 17:19:26    -1486.066004        0.0546
BFGS:   67 17:19:49    -1486.065436        0.0755
BFGS:   68 17:20:10    -1486.065080        0.0776
BFGS:   69 17:20:32    -1486.065242        0.0718
BFGS:   70 17:20:54    -1486.065421        0.0933
BFGS:   71 17:21:09    -1486.065699        0.0664
BFGS:   72 17:21:25    -1486.066030        0.0670
BFGS:   73 17:21:48    -1486.066556        0.0495
Neb Done!
Thu Sep 12 17:22:02 PDT 2019
