,train_scores_1,valid_scores_1,train_scores_2,valid_scores_2,train_scores_3,valid_scores_3
24,{'mean_absolute_error': 0.9457287831698235},{'mean_absolute_error': 1.1312729122848872},{'mean_absolute_error': 0.9699006704831691},{'mean_absolute_error': 1.033123637462952},{'mean_absolute_error': 0.9504080812061402},{'mean_absolute_error': 1.0509089213085536}
25,{'mean_absolute_error': 0.974894954055114},{'mean_absolute_error': 1.1397029310058875},{'mean_absolute_error': 0.9589468995567643},{'mean_absolute_error': 1.0750632993877012},{'mean_absolute_error': 0.9484143828421339},{'mean_absolute_error': 1.034094783976611}
26,{'mean_absolute_error': 0.9594545830192736},{'mean_absolute_error': 1.1686639161324328},{'mean_absolute_error': 0.982581391242498},{'mean_absolute_error': 1.098813621296541},{'mean_absolute_error': 0.9696711132408061},{'mean_absolute_error': 1.0445492993296641}
27,{'mean_absolute_error': 0.9595594195444351},{'mean_absolute_error': 1.1473261012331906},{'mean_absolute_error': 0.9424581896816787},{'mean_absolute_error': 1.023657959221819},{'mean_absolute_error': 0.9439737035247717},{'mean_absolute_error': 1.0719830032767388}
28,{'mean_absolute_error': 0.9397716062532682},{'mean_absolute_error': 1.1470584380853661},{'mean_absolute_error': 0.9272646128444862},{'mean_absolute_error': 1.0595150958358226},{'mean_absolute_error': 0.9868505588266804},{'mean_absolute_error': 1.0822145698210135}
29,{'mean_absolute_error': 0.9395698583378614},{'mean_absolute_error': 1.148565273835211},{'mean_absolute_error': 0.9339590356897184},{'mean_absolute_error': 1.0451176822213961},{'mean_absolute_error': 0.9213826575953403},{'mean_absolute_error': 1.0697026658020705}
30,{'mean_absolute_error': 0.8970477940426195},{'mean_absolute_error': 1.113642124183769},{'mean_absolute_error': 0.9409553006377764},{'mean_absolute_error': 1.0884042677234016},{'mean_absolute_error': 1.0582123087572783},{'mean_absolute_error': 1.1709627934978062}
31,{'mean_absolute_error': 0.9757223425026487},{'mean_absolute_error': 1.2229847648300092},{'mean_absolute_error': 0.919994950201463},{'mean_absolute_error': 1.0875883917998173},{'mean_absolute_error': 0.9710213753260222},{'mean_absolute_error': 1.1959736742312066}
32,{'mean_absolute_error': 0.9139646236768558},{'mean_absolute_error': 1.1313541274858443},{'mean_absolute_error': 0.9177170455000419},{'mean_absolute_error': 1.0467735089928196},{'mean_absolute_error': 0.9131911307049353},{'mean_absolute_error': 1.0665892341878171}
33,{'mean_absolute_error': 0.8809312372883223},{'mean_absolute_error': 1.097510112545313},{'mean_absolute_error': 0.8792431290121323},{'mean_absolute_error': 1.0695904984421518},{'mean_absolute_error': 0.8670483219323654},{'mean_absolute_error': 1.0731201638453969}
