,train_scores_1,valid_scores_1,train_scores_2,valid_scores_2,train_scores_3,valid_scores_3
25,{'mean_absolute_error': 2.5313721881168036},{'mean_absolute_error': 2.116811125858695},{'mean_absolute_error': 2.332694679810935},{'mean_absolute_error': 1.834410529332355},{'mean_absolute_error': 2.092569480190114},{'mean_absolute_error': 4.1193029049468475}
26,{'mean_absolute_error': 2.7733769936999937},{'mean_absolute_error': 2.382792599604152},{'mean_absolute_error': 2.9032335448572364},{'mean_absolute_error': 2.535088704807422},{'mean_absolute_error': 2.0006049220272177},{'mean_absolute_error': 4.062227747949743}
27,{'mean_absolute_error': 2.442186168647678},{'mean_absolute_error': 2.016236330686161},{'mean_absolute_error': 4.197335198362007},{'mean_absolute_error': 3.9195639658178063},{'mean_absolute_error': 2.51311971711653},{'mean_absolute_error': 4.6345474654852}
28,{'mean_absolute_error': 2.981957634785056},{'mean_absolute_error': 2.5931234037082618},{'mean_absolute_error': 2.3140495011374864},{'mean_absolute_error': 1.8275971136141838},{'mean_absolute_error': 1.9958160695231197},{'mean_absolute_error': 4.082097762253431}
29,{'mean_absolute_error': 4.89329670084785},{'mean_absolute_error': 4.275946693816221},{'mean_absolute_error': 2.2943768462127796},{'mean_absolute_error': 1.7744454568217696},{'mean_absolute_error': 2.665482780221112},{'mean_absolute_error': 4.714555014691822}
30,{'mean_absolute_error': 4.619192277341796},{'mean_absolute_error': 4.033361141395635},{'mean_absolute_error': 2.4725460694993995},{'mean_absolute_error': 1.908190261764035},{'mean_absolute_error': 2.1520245599429004},{'mean_absolute_error': 4.276535506094884}
31,{'mean_absolute_error': 2.728392598004653},{'mean_absolute_error': 2.3436836504959797},{'mean_absolute_error': 2.3312592338991607},{'mean_absolute_error': 1.8696620284176355},{'mean_absolute_error': 2.1940420437422294},{'mean_absolute_error': 4.3211459478028615}
32,{'mean_absolute_error': 2.6081723411386055},{'mean_absolute_error': 2.176654995450635},{'mean_absolute_error': 3.5340979790575577},{'mean_absolute_error': 3.260119410857226},{'mean_absolute_error': 3.0736476556893253},{'mean_absolute_error': 5.13034247934118}
33,{'mean_absolute_error': 3.576035029350844},{'mean_absolute_error': 3.0878910120244636},{'mean_absolute_error': 2.633565120569589},{'mean_absolute_error': 2.2877209787586286},{'mean_absolute_error': 2.866090341446031},{'mean_absolute_error': 4.951780189000973}
34,{'mean_absolute_error': 2.9428069700499684},{'mean_absolute_error': 2.573908541091852},{'mean_absolute_error': 2.818478087351208},{'mean_absolute_error': 2.534213482920943},{'mean_absolute_error': 2.097641197790036},{'mean_absolute_error': 4.111176720396951}
35,{'mean_absolute_error': 2.732475385164363},{'mean_absolute_error': 2.3632232765793786},{'mean_absolute_error': 2.340646462761443},{'mean_absolute_error': 1.9367708850243233},{'mean_absolute_error': 2.090180239970606},{'mean_absolute_error': 4.2136140181071005}
36,{'mean_absolute_error': 3.227816045057307},{'mean_absolute_error': 2.8556571655567002},{'mean_absolute_error': 2.2845138320632254},{'mean_absolute_error': 1.8555495361449497},{'mean_absolute_error': 2.0404666852544615},{'mean_absolute_error': 4.050219953872898}
37,{'mean_absolute_error': 3.3856966793041896},{'mean_absolute_error': 3.0276949447897374},{'mean_absolute_error': 3.1897353814961105},{'mean_absolute_error': 2.9740041914139583},{'mean_absolute_error': 2.7538314103690835},{'mean_absolute_error': 4.862471780980102}
38,{'mean_absolute_error': 3.0529963998736536},{'mean_absolute_error': 2.7202392548960437},{'mean_absolute_error': 3.374374977227595},{'mean_absolute_error': 3.183931107077346},{'mean_absolute_error': 2.5495198446715106},{'mean_absolute_error': 4.684652305449938}
