,train_mean,train_eiso,train_riso,train_vert,valid_mean,valid_eiso,valid_riso,valid_vert,
37,1.4472865498,2.9011052217,1.3727645339,0.0679898937,1.2118157488,2.2926227052,1.2752906977,0.0675338435,
38,1.4414631122,2.8833870636,1.373016489,0.067985784,1.2071471229,2.2772729268,1.27664369,0.0675247518,
39,1.4353965183,2.865093618,1.3731090053,0.0679869315,1.2021341589,2.2615398252,1.2773332392,0.0675294122,
40,1.4338069933,2.8600416299,1.3733882575,0.0679910924,1.2011998041,2.2572700061,1.2787878885,0.0675415177,
41,1.4268669686,2.8390182877,1.3736046447,0.0679779734,1.1954786171,2.2389788807,1.2799487656,0.067508205,
42,1.4257233738,2.835255921,1.3739347789,0.0679794215,1.1949678201,2.2357466349,1.2816427755,0.06751405,
43,1.4258796901,2.835382572,1.3742785573,0.0679779411,1.1956548765,2.2359745985,1.2834783163,0.0675117146,
44,1.4247024133,2.8320770069,1.3740572054,0.0679730275,1.19444545,2.2331461462,1.2826904739,0.06749973,
45,1.4197726474,2.8172105551,1.3741340882,0.0679732989,1.1902425941,2.2199323957,1.2832930786,0.0675023079,
46,1.4177024893,2.811249553,1.3738837151,0.0679741997,1.1882187178,2.2147745907,1.2823748988,0.067506664,
47,1.4172330847,2.80966041,1.374065496,0.067973348,1.1881543226,2.2134826971,1.28347416,0.0675061107,
48,1.4120637458,2.7940456535,1.374163507,0.0679820769,1.1837609521,2.1995721427,1.2841790232,0.0675316905,
49,1.4112037211,2.7918816566,1.3737604662,0.0679690406,1.1825914435,2.1977265001,1.2825500776,0.0674977529,
50,1.4100608359,2.7883003454,1.3739156383,0.067966524,1.1818673187,2.1945866429,1.2835228268,0.0674924863,
51,1.4078952929,2.7818615649,1.3738503256,0.0679739884,1.1799209687,2.1887779927,1.2834695303,0.0675153831,
52,1.4093318685,2.7858558385,1.3741642572,0.0679755098,1.1817643913,2.1925869788,1.2851848867,0.0675213085,
53,1.4088212937,2.7843081475,1.3741730186,0.067982715,1.1814320455,2.1912796605,1.2854754835,0.0675409925,
54,1.4030208676,2.7671391206,1.3739515271,0.0679719552,1.1759217916,2.1755603532,1.2846897252,0.0675152964,
55,1.4029783383,2.7673019597,1.3736642,0.0679688551,1.1756475145,2.1758388305,1.2835952006,0.0675085123,
56,1.3996984501,2.7575292575,1.3736018313,0.0679642614,1.1727120858,2.1670799922,1.2835587939,0.0674974714,
57,1.4008727883,2.7612769077,1.3733860002,0.0679554569,1.1736265705,2.1706117534,1.2827951407,0.0674728175,
58,1.4016998123,2.7637679624,1.3733803871,0.0679510873,1.1744881679,2.1729866861,1.2830173197,0.0674604978,
59,1.4049288445,2.7734174725,1.3734150312,0.0679540297,1.1776067628,2.1819121916,1.2834351754,0.0674729214,
60,1.4082263715,2.7832660836,1.3734643996,0.0679486313,1.1808521623,2.1911854713,1.283913929,0.0674570866,
61,1.4076578012,2.7813685332,1.373652331,0.0679525393,1.1806945505,2.189557485,1.2850530948,0.0674730718,
62,1.4071056737,2.7799224197,1.3734376765,0.0679569248,1.1800415366,2.1883347805,1.2843010702,0.0674887592,
63,1.4066637881,2.7788506862,1.3731884268,0.0679522511,1.1794439249,2.187467153,1.2833872367,0.0674773849,
64,1.4054645835,2.7753079437,1.3731291291,0.0679566776,1.1783848103,2.1842974733,1.2833646684,0.067492289,
65,1.405431514,2.7750297511,1.3733086305,0.0679561604,1.1787097557,2.1841658291,1.2844704025,0.0674930355,
66,1.4080935832,2.7829427873,1.3733795619,0.0679584006,1.181385082,2.1916133524,1.2850404427,0.0675014508,
67,1.4050316862,2.773723074,1.3734146079,0.0679573768,1.1787170395,2.1831950267,1.2854553216,0.0675007702,
68,1.4027350538,2.7670076034,1.3732421871,0.0679553708,1.1765110041,2.1771253085,1.284910477,0.0674972268,
69,1.401530742,2.7636774933,1.3729688524,0.0679458802,1.1751920007,2.1742106187,1.2838934787,0.0674719046,
70,1.401775185,2.7647989681,1.3725867422,0.0679398447,1.1750473689,2.175332334,1.2823554311,0.0674543416,
71,1.4015560616,2.7641152687,1.3726106366,0.0679422796,1.1750124871,2.174837276,1.2827348656,0.0674653197,
72,1.3996149968,2.7585088283,1.3723985938,0.0679375683,1.1731148789,2.1698893874,1.2820030945,0.0674521549,
73,1.3974161246,2.7517819026,1.3725080263,0.0679584449,1.1713969905,2.1638803929,1.2827945552,0.0675160233,
74,1.3997469124,2.758367524,1.3729045081,0.0679687051,1.1741412815,2.169998644,1.2848832008,0.0675419998,
75,1.4012537084,2.7629195596,1.3728829024,0.0679586632,1.1755919019,2.1742275005,1.285027614,0.067520591,
76,1.4010178177,2.7621658509,1.3729322956,0.0679553067,1.1755627787,2.1736503612,1.285524011,0.0675139639,
77,1.3988702053,2.7559373414,1.3727264616,0.0679468131,1.1734694798,2.1681048157,1.2848108015,0.0674928222,
78,1.4011948082,2.763129098,1.3724947116,0.067960615,1.1754254262,2.1747367309,1.2840091699,0.0675303777,
79,1.4019736787,2.7653479021,1.3726252301,0.067947904,1.1764013746,2.1768455406,1.2848581936,0.0675003896,
80,1.3992229408,2.7569361899,1.372782142,0.0679504906,1.1742489147,2.169353398,1.2858839608,0.0675093852,
81,1.4054134161,2.7760261654,1.3722770318,0.0679370512,1.1793803182,2.1868817428,1.2837848441,0.0674743676,
82,1.4039635131,2.7718196077,1.3721389777,0.0679319538,1.1779872855,2.1830948043,1.2834058661,0.0674611862,
83,1.4074103519,2.7820956086,1.3722043821,0.0679310651,1.1813591303,2.1926495276,1.2839667673,0.067461096,
84,1.4053030271,2.7758306839,1.3721440038,0.0679343937,1.1794851773,2.1870291622,1.2839526625,0.0674737073,
85,1.4004749553,2.7611180237,1.372368273,0.0679385693,1.1754836425,2.1736837259,1.2852794808,0.0674877209,
86,1.3977936219,2.7531079562,1.3723345065,0.067938403,1.1731533196,2.1665816001,1.2853888164,0.0674895423,
87,1.3949126717,2.7445647406,1.3722370049,0.0679362697,1.1704975277,2.158804822,1.285201907,0.0674858541,
88,1.3954791214,2.7465493925,1.3719425621,0.0679454097,1.1707969669,2.1607776057,1.2841007094,0.0675125856,
89,1.3982362414,2.7545317877,1.3722242597,0.0679526768,1.1738330338,2.1682588615,1.2857091451,0.0675310947,
90,1.3979147677,2.7538587045,1.3719413923,0.0679442063,1.1733046502,2.1677577251,1.2846427962,0.0675134292,
91,1.399709463,2.7590816461,1.3721126529,0.06793409,1.1752678533,2.1725676136,1.2857470148,0.0674889316,
92,1.4040685635,2.7719891224,1.372278333,0.0679382351,1.1795801158,2.1844516475,1.2867863675,0.0675023323,
93,1.402859693,2.7685792164,1.372064499,0.0679353637,1.1783307705,2.1814287246,1.2860666885,0.0674968984,
94,1.4031611735,2.7696948424,1.3718592478,0.0679294304,1.178479375,2.1825833085,1.2853720505,0.0674827661,
95,1.4017373833,2.7655737849,1.3717051763,0.0679331887,1.1771128833,2.1789219395,1.2849211619,0.0674955485,
96,1.4010993019,2.7638450872,1.3715244137,0.0679284048,1.1764268815,2.1774568562,1.2843391077,0.0674846805,
97,1.3990315312,2.7575494447,1.3716118023,0.0679333467,1.1748227122,2.1719107002,1.2850571711,0.0675002653,
98,1.397832389,2.753864013,1.3717052598,0.0679278943,1.173996971,2.168707923,1.2857947871,0.0674882028,
99,1.4015742045,2.765110194,1.3716877761,0.0679246434,1.1774833159,2.178977057,1.2859912004,0.0674816904,
100,1.4047309676,2.7741764138,1.3720904065,0.0679260823,1.180957242,2.1873961771,1.287987273,0.067488276,
101,1.4042619246,2.7729504412,1.371906761,0.0679285716,1.1804596415,2.1863952366,1.2874865976,0.0674970904,
102,1.4024285929,2.767667218,1.371695145,0.0679234157,1.1786741214,2.1816801376,1.2868564367,0.0674857898,
103,1.4009300461,2.7632713229,1.3715811543,0.0679376609,1.177304279,2.1777510913,1.2866391217,0.0675226239,
104,1.3998575991,2.7598337995,1.3718098264,0.0679291715,1.1767077618,2.1747604994,1.2878573004,0.0675054856,
105,1.3990960979,2.7581299317,1.3712344504,0.0679239117,1.1754994764,2.1733486636,1.2856550917,0.0674946738,
106,1.3992288179,2.7582634373,1.3715088729,0.0679141435,1.1760674547,2.173595615,1.2871363281,0.0674704208,
107,1.3969264396,2.7514850831,1.3713907588,0.067903477,1.1739901904,2.1676158359,1.2869127286,0.0674420067,
108,1.4006787036,2.7630104205,1.3711169969,0.0679086934,1.1771959789,2.1781255931,1.28600186,0.0674604836,
109,1.3982146327,2.7552636164,1.3714588664,0.0679214154,1.1754894033,2.171247195,1.2877231886,0.0674978263,
110,1.3997756303,2.759913416,1.3714779348,0.0679355402,1.1770333136,2.1755219927,1.2880460427,0.0675319055,
111,1.3981427609,2.755893513,1.3706109559,0.067923814,1.1747077529,2.1720291471,1.2845863108,0.0675078008,
112,1.3978571096,2.75557151,1.3700831746,0.0679166442,1.1739378548,2.1718575984,1.282462803,0.067493163,
113,1.4009051013,2.7646883442,1.3701154635,0.0679114962,1.1768951053,2.1802852114,1.2829176035,0.067482501,
114,1.4013721776,2.7660886525,1.3701200002,0.0679078801,1.177467261,2.1816853832,1.2832407987,0.0674756011,
115,1.4014930603,2.7663093148,1.370266523,0.0679033431,1.1779029529,2.1820211949,1.2842218517,0.067465812,
116,1.4000403642,2.7619008226,1.3703145616,0.0679057084,1.1767863001,2.1781164757,1.2847669646,0.0674754599,
117,1.4039701053,2.7735196031,1.3704949488,0.0678957641,1.1806959767,2.188793688,1.2858434505,0.0674507917,
118,1.4019077597,2.7678198318,1.3700128771,0.06789057,1.1783950951,2.1837708581,1.2839747267,0.0674397005,
119,1.4012031911,2.7659757655,1.3697423309,0.067891477,1.1775781842,2.1822194541,1.2830693128,0.0674457857,
120,1.3994581098,2.7610370281,1.369440293,0.0678970083,1.1757707722,2.1778118603,1.2820357964,0.0674646597,
121,1.401715812,2.7672722983,1.3699800563,0.0678950815,1.178637819,2.1836141478,1.2848368369,0.0674624724,
122,1.4049255536,2.7769000506,1.3699795681,0.0678970422,1.1817031021,2.1924748291,1.2851632821,0.0674711952,
123,1.4026063071,2.7703681125,1.3695559417,0.0678948669,1.1792426155,2.1866694987,1.2835897256,0.0674686222,
124,1.3997657063,2.7621143868,1.3692977801,0.0678849519,1.17650231,2.1793058259,1.2827569197,0.0674441844,
125,1.3965166755,2.752393775,1.3692744403,0.0678818112,1.1736793512,2.1705960685,1.2830029586,0.0674390266,
126,1.3943869643,2.7458368962,1.3694217437,0.0679022532,1.1721023309,2.1647783667,1.2840333029,0.0674953229,
127,1.3952673557,2.7487054939,1.3691950679,0.0679015052,1.1727833539,2.1675222052,1.2833318883,0.0674959681,
128,1.3947542055,2.7475786168,1.3687974914,0.0678865083,1.1719907641,2.1666342855,1.2818762973,0.0674617094,
129,1.3952072001,2.7492950208,1.3684463331,0.0678802463,1.1721441591,2.1683362383,1.2806487385,0.0674475006,
130,1.3979563158,2.7573328804,1.3686553178,0.0678807491,1.1750501813,2.1757835047,1.2819146744,0.0674523647,
131,1.4001552857,2.7640050919,1.3685854764,0.0678752887,1.1771229378,2.1819831223,1.281945489,0.067440202,
132,1.3990208428,2.7602448588,1.3689353684,0.0678823012,1.1766905668,2.1787121066,1.2838966403,0.0674629535,
133,1.3940769494,2.7455218505,1.3688309707,0.0678780269,1.1722284599,2.1654509477,1.2837796151,0.067454817,
134,1.3954288343,2.7500063027,1.3683982184,0.0678819817,1.173097447,2.1696429876,1.2821802471,0.0674691064,
135,1.3976890409,2.7568993403,1.368287553,0.0678802293,1.1751922843,2.1760618433,1.2820467242,0.0674682855,
136,1.3986403576,2.7594222165,1.3686124831,0.0678863733,1.1766274468,2.1785182154,1.2838780806,0.0674860445,
137,1.3915433084,2.7386361715,1.3681228608,0.0678708928,1.1697726225,2.1597744489,1.2820923072,0.0674511115,
138,1.3935954758,2.7449142131,1.368012738,0.0678594764,1.1716577016,2.1655782588,1.2819717707,0.0674230752,
139,1.3967343671,2.7540527351,1.3682798861,0.0678704802,1.1749800345,2.1739678442,1.2835146109,0.0674576485,
140,1.3965702774,2.7539429419,1.3678865283,0.0678813619,1.1745481794,2.1740117835,1.2821461536,0.0674866011,
141,1.395542222,2.7508695699,1.3678944176,0.0678626787,1.1737775496,2.1713376964,1.2825510958,0.0674438567,
142,1.3937357227,2.7457875933,1.3675647392,0.0678548355,1.1719297654,2.1668941186,1.2814691521,0.0674260255,
143,1.3998390751,2.7639839505,1.3676663256,0.0678669492,1.1777944834,2.183650042,1.2822704764,0.0674629319,
144,1.4029863816,2.7732157815,1.3678794356,0.0678639276,1.1810993283,2.1922896841,1.2835493798,0.067458921,
145,1.396738459,2.7551053629,1.3672323397,0.0678776745,1.1747752202,2.1757068704,1.2811257,0.0674930902,
146,1.3956038324,2.7519113497,1.3670310603,0.0678690871,1.173668314,2.1729047643,1.280622893,0.0674772846,
147,1.3957800772,2.7527039563,1.3667649033,0.067871372,1.1737070204,2.1737854782,1.2798498971,0.0674856859,
148,1.3941759333,2.748475347,1.3661933876,0.0678590654,1.1717259168,2.1700485227,1.277667902,0.0674613257,
149,1.3947828962,2.7503096195,1.366191377,0.0678476922,1.1724494369,2.1718532269,1.2780598588,0.0674352249,
150,1.3952192821,2.7518824674,1.3659349891,0.06784039,1.1727207614,2.1734487401,1.2772949013,0.0674186426,
151,1.4006881924,2.7679729351,1.3662542392,0.0678374028,1.1783623679,2.1885290085,1.2791437942,0.0674143011,
152,1.4012749301,2.7696421468,1.366345482,0.0678371616,1.1791989503,2.1902037686,1.2799752484,0.0674178338,
153,1.3985394502,2.7613983558,1.3663838992,0.0678360957,1.1769183664,2.1827671077,1.2805691129,0.0674188787,
154,1.3933581228,2.7460582645,1.3661782571,0.0678378468,1.1720597086,2.1686819376,1.2800694235,0.0674277648,
155,1.3948109917,2.7500317661,1.3665773156,0.0678238934,1.173990754,2.172453753,1.2821257846,0.0673927245,
156,1.394963851,2.7498977871,1.367159178,0.0678345878,1.1749258884,2.1725083466,1.2848418754,0.0674274431,
157,1.3906614533,2.7374742739,1.3666718726,0.0678382134,1.1707319994,2.1615005934,1.2832542225,0.0674411824,
158,1.3880009237,2.7294819753,1.3666801856,0.0678406103,1.1685577577,2.1545550147,1.2836671668,0.0674510917,
159,1.3862956318,2.7248745574,1.3661726814,0.0678396565,1.1666519862,2.150529597,1.2819737511,0.0674526105,
160,1.3902534927,2.7371821755,1.3657561594,0.0678221433,1.1699125685,2.1616591251,1.2806664565,0.067412124,
161,1.3879032703,2.7305001379,1.3653860664,0.0678236065,1.167620292,2.1558979216,1.279541348,0.0674216065,
162,1.3889193291,2.7338650136,1.3650737595,0.0678192144,1.1683571302,2.1590375324,1.2786194252,0.0674144329,
163,1.3831439223,2.7163593982,1.3652531524,0.0678192164,1.1635472261,2.1433719547,1.2798505047,0.0674192189,
164,1.3840546854,2.7194209394,1.3649385534,0.0678045635,1.1642204724,2.1463268299,1.2789512733,0.0673833141,
165,1.3890837056,2.734363464,1.3650777303,0.0678099224,1.1690866066,2.1598857385,1.2799705779,0.0674035035,
166,1.3890120443,2.7344968191,1.3647308661,0.0678084476,1.1688310519,2.1601381437,1.2789505808,0.0674044311,
167,1.3896695209,2.7369054679,1.3642933415,0.0678097535,1.1691052532,2.1623876769,1.2775149071,0.0674131755,
168,1.3930862868,2.7468698079,1.3645740142,0.0678150383,1.1727449648,2.1715919474,1.2792116817,0.0674312654,
169,1.3918475088,2.7434687611,1.3642716141,0.067802151,1.1714459324,2.1685344177,1.2784009969,0.0674023825,
170,1.3969535073,2.758706487,1.3643560253,0.0677980097,1.176530125,2.1829939092,1.2792005477,0.0673959182,
171,1.4010959576,2.7709267893,1.3645672617,0.0677938219,1.1807546339,2.1944225745,1.2804519163,0.0673894109,
172,1.4022236063,2.7746457612,1.3642273243,0.0677977333,1.1816435167,2.1979850706,1.2795396441,0.0674058353,
173,1.3982412299,2.7627601006,1.364177258,0.0677863311,1.1781444509,2.1872788789,1.2797748902,0.0673795835,
174,1.3914015394,2.7422574577,1.3641528171,0.0677943434,1.171930734,2.168279525,1.2801058361,0.0674068409,
175,1.3888458892,2.7344614473,1.364287353,0.0677888674,1.1699748442,2.1614292567,1.2810976767,0.0673975993,
176,1.3891402092,2.7351004478,1.3645263373,0.0677938423,1.1706935157,2.1621638244,1.282501139,0.0674155837,
177,1.3895810269,2.7374822393,1.3634782697,0.0677825718,1.1702208088,2.1644649957,1.2788058441,0.0673915865,
178,1.3873865277,2.7308205907,1.3635495965,0.0677893959,1.1685517867,2.1587036982,1.2795370489,0.0674146129,
179,1.389659463,2.738185308,1.363013952,0.067779129,1.170241305,2.1654506086,1.2778794511,0.0673938552,
180,1.3912528316,2.7426335748,1.3633458943,0.0677790257,1.1722759058,2.1697783546,1.2796502488,0.0673991141,
181,1.3891395305,2.7358709202,1.3637602151,0.0677874562,1.1709769405,2.1637353891,1.2817714333,0.0674239991,
182,1.3861623423,2.7276875825,1.363030213,0.0677692313,1.1677606058,2.1565476083,1.2793492333,0.0673849757,
183,1.3920034524,2.745455081,1.3627846411,0.0677706351,1.1730566182,2.1729408111,1.2788347009,0.0673943427,
184,1.3917570141,2.7443981018,1.3630965014,0.0677764391,1.1733636637,2.1721175183,1.2805599123,0.0674135603,
185,1.3923154588,2.7457955627,1.3633914677,0.067759346,1.1743984984,2.1736261835,1.282192466,0.0673768456,
186,1.3909522362,2.7418235325,1.3632731731,0.0677600029,1.173234176,2.1700930935,1.2822253189,0.0673841155,
187,1.3852622027,2.7255072888,1.3625278684,0.0677514509,1.1675238241,2.155383678,1.2798208497,0.0673669447,
188,1.3823620639,2.7177918949,1.3615465102,0.0677477865,1.1641609244,2.1486704587,1.2764484521,0.0673638624,
189,1.3873783735,2.7324617954,1.3619254544,0.0677478708,1.1693068268,2.1620755854,1.2784738075,0.0673710876,
190,1.3820808975,2.7165385749,1.3619489049,0.0677552127,1.1647864183,2.1478909942,1.2790725868,0.067395674,
191,1.3801905601,2.710919953,1.3619063022,0.067745425,1.1632551682,2.1429863926,1.2794017118,0.0673774003,
192,1.3884718515,2.7360877095,1.3615889173,0.0677389277,1.1706497296,2.1659334232,1.2786492358,0.0673665299,
193,1.3897360881,2.7395292303,1.3619440448,0.0677349892,1.172397771,2.1692925777,1.2805382316,0.0673625038,
194,1.3841411384,2.7228332429,1.3618584914,0.0677316808,1.1674320373,2.1542264057,1.280709104,0.0673606024,
195,1.3807062926,2.7134924052,1.3609055863,0.0677208863,1.1636161585,2.1459814046,1.2775290312,0.0673380396,
196,1.3812780058,2.715066475,1.3610420196,0.0677255228,1.1645170137,2.1476002492,1.2785922014,0.0673585903,
197,1.3849664665,2.7267988484,1.3603688248,0.0677317263,1.1674412482,2.1584881273,1.2764555789,0.0673800382,
198,1.3857580509,2.7291072047,1.3604378534,0.0677290946,1.1684797443,2.1607836224,1.2772757362,0.0673798741,
199,1.3844447202,2.7257382,1.3598910403,0.0677049201,1.1669712824,2.1579532065,1.2756361047,0.0673245361,
200,1.3874176769,2.7347398659,1.3598142473,0.0676989174,1.1698705978,2.1663711469,1.2759250969,0.0673155494,
201,1.3820813838,2.7188996633,1.3596546684,0.0676898196,1.165100395,2.1521060084,1.2759000016,0.0672951752,
202,1.3833889379,2.7227844602,1.3596930617,0.0676892918,1.1666044201,2.1558715757,1.2766381547,0.0673035299,
203,1.3873751937,2.7349939915,1.3594431896,0.0676883999,1.1702538161,2.1672181978,1.2762331445,0.0673101062,
204,1.3874132124,2.7351655777,1.3593815214,0.0676925381,1.1705161894,2.1676133457,1.2766051346,0.067330088,
205,1.3886834213,2.7395551236,1.3588097672,0.067685373,1.1713812093,2.1718963171,1.274928689,0.0673186219,
206,1.3911712458,2.7470184081,1.3588057133,0.067689616,1.1739896418,2.1790802009,1.2755502633,0.0673384612,
207,1.3874532605,2.7357183131,1.3589647348,0.0676767335,1.1709818781,2.1688554819,1.2767778093,0.0673123432,
208,1.3867156166,2.7334706039,1.3589998572,0.0676763887,1.1706040933,2.1670059988,1.2774859598,0.0673203214,
209,1.3850023158,2.7294599174,1.3578771412,0.0676698888,1.1681883833,2.1635116579,1.2737421795,0.0673113125,
210,1.3789939478,2.7113677826,1.3579352187,0.0676788421,1.1630707032,2.1471814511,1.2746884391,0.0673422193,
211,1.3762988421,2.7034413363,1.3577757986,0.0676793914,1.1607114314,2.1400756127,1.2747074833,0.0673511982,
212,1.3799910566,2.7147043861,1.3575806231,0.0676881605,1.1642294024,2.1507305521,1.2745810349,0.0673766202,
213,1.3823960835,2.7222241898,1.3572937545,0.0676703062,1.1664351851,2.1578390616,1.2741207069,0.0673457869,
214,1.3862935707,2.7342518584,1.3569756979,0.0676531559,1.170000801,2.1691498142,1.2735395759,0.067313013,
215,1.3855434677,2.7318924522,1.3570883212,0.0676496297,1.1697050391,2.1671941864,1.2746079665,0.0673129643,
216,1.3835635467,2.7267135674,1.356344272,0.0676328008,1.1674134549,2.1625954873,1.2723681352,0.0672767423,
217,1.3806118129,2.7177573042,1.356459997,0.0676181374,1.1651350599,2.1546504567,1.2735135412,0.0672411817,
218,1.382252379,2.722247202,1.3568855842,0.0676243507,1.1673547135,2.1589976075,1.2757929504,0.0672735825,
219,1.3875544399,2.7386871242,1.3563464621,0.0676297335,1.1720489609,2.1744198348,1.2744282207,0.067298827,
220,1.3866728445,2.7366763626,1.3557113498,0.0676308209,1.1709509697,2.1728251195,1.272717478,0.0673103116,
221,1.3822635683,2.7239007139,1.3552618705,0.0676281206,1.1667223688,2.161197234,1.2716576553,0.0673122169,
222,1.3850375938,2.7322832111,1.3552211912,0.0676083789,1.1695914135,2.1692955509,1.2722061939,0.0672724958,
223,1.3843353741,2.7300937902,1.3553061658,0.0676061665,1.169347029,2.1675489859,1.2732148525,0.0672772486,
224,1.380479885,2.7185031607,1.3553233767,0.0676131175,1.1661351788,2.1570690372,1.2740331073,0.0673033919,
225,1.3815588767,2.721207415,1.3558543392,0.0676148761,1.1678970449,2.1597504378,1.2766256489,0.0673150481,
226,1.3778061002,2.7107093236,1.3551301101,0.0675788668,1.1641270493,2.1504365321,1.2747129481,0.0672316676,
227,1.3793917654,2.715627513,1.3549792996,0.0675684835,1.1657601434,2.1552029775,1.2748668959,0.0672105569,
228,1.3800810921,2.7185461337,1.3541344698,0.0675626727,1.1659142987,2.1580775513,1.272459919,0.0672054257,
229,1.3827013752,2.7268378943,1.3536973299,0.0675689013,1.1682668107,2.1659961525,1.2715654709,0.0672388086,
230,1.3870352049,2.740801089,1.3527475979,0.0675569278,1.1716208021,2.1790010554,1.2686463902,0.0672149608,
231,1.3847475416,2.7339225392,1.3527641519,0.0675559335,1.1699121539,2.1730004359,1.2695113465,0.0672246793,
232,1.3788666207,2.7164836845,1.3525584816,0.0675576961,1.1646431053,2.1571786997,1.2695077198,0.0672428965,
233,1.3782969224,2.7147146557,1.3526124191,0.0675636924,1.1645495437,2.1558306513,1.2705499831,0.0672679967,
234,1.3766374796,2.7101151508,1.3522438171,0.0675534709,1.163009878,2.1518389695,1.2699367799,0.0672538847,
235,1.3795561695,2.7194259246,1.3517048218,0.0675377621,1.1655067444,2.1606252051,1.2686701398,0.0672248884,
236,1.3816373084,2.7260639769,1.351325229,0.0675227194,1.1674168702,2.1670309677,1.2680260786,0.0671935642,
