,train_scores,valid_scores
71,{'mean_absolute_error': 1.2254228445900197},{'mean_absolute_error': 1.4814012632207187}
72,{'mean_absolute_error': 1.6315833464293263},{'mean_absolute_error': 1.7663271012334656}
73,{'mean_absolute_error': 1.4696216253278631},{'mean_absolute_error': 1.6363782232316983}
74,{'mean_absolute_error': 1.2589117965094312},{'mean_absolute_error': 1.5618009445507361}
75,{'mean_absolute_error': 1.236112841061138},{'mean_absolute_error': 1.564515758149368}
76,{'mean_absolute_error': 1.2217962141933227},{'mean_absolute_error': 1.5615131542513307}
77,{'mean_absolute_error': 1.30283165533441},{'mean_absolute_error': 1.6134651598243168}
78,{'mean_absolute_error': 1.2683682126001816},{'mean_absolute_error': 1.5815402155296543}
79,{'mean_absolute_error': 1.269799907587998},{'mean_absolute_error': 1.6350221348112417}
80,{'mean_absolute_error': 1.2518098944682658},{'mean_absolute_error': 1.6377764482190156}
81,{'mean_absolute_error': 1.1546657664777282},{'mean_absolute_error': 1.4772871648939396}
82,{'mean_absolute_error': 1.3074845108745405},{'mean_absolute_error': 1.5498588181276796}
83,{'mean_absolute_error': 1.4176006753247063},{'mean_absolute_error': 1.7119866242421145}
84,{'mean_absolute_error': 1.1648142560760155},{'mean_absolute_error': 1.478709857937356}
85,{'mean_absolute_error': 1.2769773113324463},{'mean_absolute_error': 1.6004130886555101}
86,{'mean_absolute_error': 1.4166693777779489},{'mean_absolute_error': 1.6591817453441806}
87,{'mean_absolute_error': 1.104105790103587},{'mean_absolute_error': 1.4638421492625522}
88,{'mean_absolute_error': 1.0939898299075954},{'mean_absolute_error': 1.4409599258380144}
89,{'mean_absolute_error': 1.0913930927249054},{'mean_absolute_error': 1.5061606041313311}
90,{'mean_absolute_error': 1.1364795517140223},{'mean_absolute_error': 1.5501620773103844}
91,{'mean_absolute_error': 1.0695858806840102},{'mean_absolute_error': 1.457731826102928}
92,{'mean_absolute_error': 1.0824549435632942},{'mean_absolute_error': 1.5116758277511335}
93,{'mean_absolute_error': 1.1001770678319762},{'mean_absolute_error': 1.5325387626479638}
94,{'mean_absolute_error': 1.0506619620424555},{'mean_absolute_error': 1.4790811991011523}
95,{'mean_absolute_error': 1.0633893991881058},{'mean_absolute_error': 1.476396181511917}
96,{'mean_absolute_error': 1.0623658255168829},{'mean_absolute_error': 1.5162435726262118}
97,{'mean_absolute_error': 1.1871366142952056},{'mean_absolute_error': 1.5184893789648901}
98,{'mean_absolute_error': 1.0644975349256984},{'mean_absolute_error': 1.4064894544549746}
99,{'mean_absolute_error': 1.0099401072243726},{'mean_absolute_error': 1.4489475835177685}
100,{'mean_absolute_error': 1.0189708416801126},{'mean_absolute_error': 1.4346729859675182}
101,{'mean_absolute_error': 0.9693189110341006},{'mean_absolute_error': 1.3472115635246806}
102,{'mean_absolute_error': 0.9622843192367494},{'mean_absolute_error': 1.4028020521325113}
103,{'mean_absolute_error': 0.9689010980266359},{'mean_absolute_error': 1.3999915076407807}
104,{'mean_absolute_error': 0.9397889872576571},{'mean_absolute_error': 1.3357042595525994}
105,{'mean_absolute_error': 0.9275540195573866},{'mean_absolute_error': 1.3190353596851683}
106,{'mean_absolute_error': 0.9839034560086987},{'mean_absolute_error': 1.4867166209143734}
107,{'mean_absolute_error': 0.9369402074401193},{'mean_absolute_error': 1.3427007473132673}
108,{'mean_absolute_error': 0.959156237559565},{'mean_absolute_error': 1.345773598832002}
109,{'mean_absolute_error': 0.9910379294952715},{'mean_absolute_error': 1.4464647162087765}
110,{'mean_absolute_error': 0.9477569096709875},{'mean_absolute_error': 1.4062670380023157}
111,{'mean_absolute_error': 0.929696260810899},{'mean_absolute_error': 1.331410267441844}
112,{'mean_absolute_error': 0.8989514538012698},{'mean_absolute_error': 1.296880119424203}
113,{'mean_absolute_error': 0.9292411455164201},{'mean_absolute_error': 1.3419699437371708}
114,{'mean_absolute_error': 0.9091011809194289},{'mean_absolute_error': 1.3483170815627072}
115,{'mean_absolute_error': 0.8735578614920047},{'mean_absolute_error': 1.2996743693917312}
116,{'mean_absolute_error': 0.8907726494329758},{'mean_absolute_error': 1.3398457329687143}
117,{'mean_absolute_error': 0.9246041371540716},{'mean_absolute_error': 1.4036410213817243}
118,{'mean_absolute_error': 0.9429724573737303},{'mean_absolute_error': 1.3075950599778992}
119,{'mean_absolute_error': 0.900170987401827},{'mean_absolute_error': 1.3931153680488098}
120,{'mean_absolute_error': 0.8671674573043288},{'mean_absolute_error': 1.3239962756320631}
121,{'mean_absolute_error': 0.9298777839001079},{'mean_absolute_error': 1.3082323436814833}
122,{'mean_absolute_error': 0.9219516494992891},{'mean_absolute_error': 1.2958815502830403}
123,{'mean_absolute_error': 0.8689966800697215},{'mean_absolute_error': 1.3148003844958167}
124,{'mean_absolute_error': 0.8502624954969039},{'mean_absolute_error': 1.2964582835296092}
125,{'mean_absolute_error': 0.8576065157416436},{'mean_absolute_error': 1.2959863290879647}
126,{'mean_absolute_error': 0.8420347848807638},{'mean_absolute_error': 1.270625686897542}
127,{'mean_absolute_error': 0.8738788748187788},{'mean_absolute_error': 1.2895652271130065}
128,{'mean_absolute_error': 0.874208600134605},{'mean_absolute_error': 1.2536653268237623}
129,{'mean_absolute_error': 0.8419805795578101},{'mean_absolute_error': 1.2319227768190724}
130,{'mean_absolute_error': 0.8442973755512558},{'mean_absolute_error': 1.2819465396301213}
131,{'mean_absolute_error': 0.8382338226912278},{'mean_absolute_error': 1.3205274837705123}
132,{'mean_absolute_error': 0.8942504446779016},{'mean_absolute_error': 1.2904433887833915}
133,{'mean_absolute_error': 0.8426053581372345},{'mean_absolute_error': 1.2794389433721183}
134,{'mean_absolute_error': 0.8974649953495822},{'mean_absolute_error': 1.3371310939756473}
135,{'mean_absolute_error': 0.9220552894641845},{'mean_absolute_error': 1.3098470918762672}
136,{'mean_absolute_error': 0.9821047149556752},{'mean_absolute_error': 1.3706008527115727}
137,{'mean_absolute_error': 1.0882926392558028},{'mean_absolute_error': 1.4681226799264122}
138,{'mean_absolute_error': 0.9275478086615933},{'mean_absolute_error': 1.3291053932919177}
139,{'mean_absolute_error': 0.8327238149554335},{'mean_absolute_error': 1.240565141019621}
140,{'mean_absolute_error': 0.828788396046458},{'mean_absolute_error': 1.1850146570086564}
141,{'mean_absolute_error': 0.8529437140339188},{'mean_absolute_error': 1.235205834117689}
142,{'mean_absolute_error': 0.842341988557464},{'mean_absolute_error': 1.3036256873990353}
143,{'mean_absolute_error': 0.8159904721145798},{'mean_absolute_error': 1.23527201622441}
144,{'mean_absolute_error': 0.8355844258157329},{'mean_absolute_error': 1.2655300240219856}
145,{'mean_absolute_error': 0.8292851009904137},{'mean_absolute_error': 1.2482504226938078}
146,{'mean_absolute_error': 0.8382468015364842},{'mean_absolute_error': 1.2174379860851046}
147,{'mean_absolute_error': 0.8651235090740027},{'mean_absolute_error': 1.2159600423944725}
148,{'mean_absolute_error': 0.8119531587253835},{'mean_absolute_error': 1.206030174031004}
149,{'mean_absolute_error': 0.8219690078803713},{'mean_absolute_error': 1.2660350021427418}
150,{'mean_absolute_error': 0.8144933761166042},{'mean_absolute_error': 1.3341765204714708}
151,{'mean_absolute_error': 0.8760724848410729},{'mean_absolute_error': 1.2000715820111787}
152,{'mean_absolute_error': 0.8622998768564313},{'mean_absolute_error': 1.1968875032664512}
153,{'mean_absolute_error': 0.8085573008560054},{'mean_absolute_error': 1.237813348701214}
154,{'mean_absolute_error': 0.8331579340536558},{'mean_absolute_error': 1.2776362694147745}
155,{'mean_absolute_error': 0.8237885644327513},{'mean_absolute_error': 1.2073470593879054}
156,{'mean_absolute_error': 0.8252394875208915},{'mean_absolute_error': 1.2370366238956751}
157,{'mean_absolute_error': 0.8266493822686763},{'mean_absolute_error': 1.2558416441158362}
158,{'mean_absolute_error': 0.8233043230536983},{'mean_absolute_error': 1.2261259947914678}
159,{'mean_absolute_error': 0.7935222308754831},{'mean_absolute_error': 1.2300289563798548}
160,{'mean_absolute_error': 0.7879801479726819},{'mean_absolute_error': 1.2600819501871527}
161,{'mean_absolute_error': 0.7975652911499328},{'mean_absolute_error': 1.2444679364773579}
162,{'mean_absolute_error': 0.7894186891243744},{'mean_absolute_error': 1.2569146698357443}
163,{'mean_absolute_error': 0.8086845483432429},{'mean_absolute_error': 1.1839475387590979}
164,{'mean_absolute_error': 0.8398645446445773},{'mean_absolute_error': 1.2512052653183745}
165,{'mean_absolute_error': 0.850848977235052},{'mean_absolute_error': 1.3309855653365747}
166,{'mean_absolute_error': 0.8229652189694255},{'mean_absolute_error': 1.3223095742023947}
167,{'mean_absolute_error': 0.8273538172490791},{'mean_absolute_error': 1.2704881401049857}
168,{'mean_absolute_error': 0.8673233686208621},{'mean_absolute_error': 1.3189352985497205}
169,{'mean_absolute_error': 0.9127443081928762},{'mean_absolute_error': 1.4317180472366335}
170,{'mean_absolute_error': 0.8663698162752712},{'mean_absolute_error': 1.3132224073641472}
171,{'mean_absolute_error': 0.8359552387352495},{'mean_absolute_error': 1.2472576641938393}
172,{'mean_absolute_error': 0.8054409715626615},{'mean_absolute_error': 1.1735022183030097}
173,{'mean_absolute_error': 0.8442140012430798},{'mean_absolute_error': 1.1897569699382917}
174,{'mean_absolute_error': 0.7809934987622061},{'mean_absolute_error': 1.2493004876027674}
175,{'mean_absolute_error': 0.8111242659552653},{'mean_absolute_error': 1.2274641473351076}
176,{'mean_absolute_error': 0.7939115763844656},{'mean_absolute_error': 1.2185688227775977}
177,{'mean_absolute_error': 0.8626352020127759},{'mean_absolute_error': 1.3149917224073988}
178,{'mean_absolute_error': 0.8208380494415963},{'mean_absolute_error': 1.2933553011871088}
179,{'mean_absolute_error': 0.8039150391598923},{'mean_absolute_error': 1.2815979246129683}
180,{'mean_absolute_error': 0.8180087976881945},{'mean_absolute_error': 1.2375200279475047}
181,{'mean_absolute_error': 0.8146194069203707},{'mean_absolute_error': 1.237231986685116}
182,{'mean_absolute_error': 0.8714715409296551},{'mean_absolute_error': 1.353445541367203}
183,{'mean_absolute_error': 0.7775629630240473},{'mean_absolute_error': 1.2045272963891593}
184,{'mean_absolute_error': 0.7829374522698868},{'mean_absolute_error': 1.2299385029801149}
185,{'mean_absolute_error': 0.8105603971811939},{'mean_absolute_error': 1.3315953219726386}
186,{'mean_absolute_error': 0.7759737510692467},{'mean_absolute_error': 1.220564277272454}
187,{'mean_absolute_error': 0.801731289001273},{'mean_absolute_error': 1.1673101033337299}
188,{'mean_absolute_error': 0.7716230875956785},{'mean_absolute_error': 1.274971681189421}
189,{'mean_absolute_error': 0.799326523094514},{'mean_absolute_error': 1.3330892264804255}
190,{'mean_absolute_error': 0.7723772818355233},{'mean_absolute_error': 1.2110261838475107}
191,{'mean_absolute_error': 0.7760550382776605},{'mean_absolute_error': 1.2018618035735054}
192,{'mean_absolute_error': 0.7960975928031409},{'mean_absolute_error': 1.258455689748902}
193,{'mean_absolute_error': 0.8157427812018906},{'mean_absolute_error': 1.2542525322205347}
194,{'mean_absolute_error': 0.7737559093008811},{'mean_absolute_error': 1.2526412597757834}
195,{'mean_absolute_error': 0.7846996540628609},{'mean_absolute_error': 1.18990015494966}
196,{'mean_absolute_error': 0.7930102217000791},{'mean_absolute_error': 1.2322647370237767}
197,{'mean_absolute_error': 0.7797947235075342},{'mean_absolute_error': 1.3048166396194645}
198,{'mean_absolute_error': 0.7546920294924804},{'mean_absolute_error': 1.2605838651182302}
199,{'mean_absolute_error': 0.7810629237843895},{'mean_absolute_error': 1.2849355167350431}
200,{'mean_absolute_error': 0.7799639150509927},{'mean_absolute_error': 1.3172441550436578}
201,{'mean_absolute_error': 0.7584062456553241},{'mean_absolute_error': 1.2863421851569152}
