,train_scores,valid_scores
71,{'mean_absolute_error': 0.5032749488319266},{'mean_absolute_error': 1.170601835573714}
72,{'mean_absolute_error': 0.45053069469715934},{'mean_absolute_error': 1.140290806102928}
73,{'mean_absolute_error': 0.40909415037778113},{'mean_absolute_error': 1.1470350628426704}
74,{'mean_absolute_error': 0.5383808923461676},{'mean_absolute_error': 1.1905517421844187}
75,{'mean_absolute_error': 0.4321084112166247},{'mean_absolute_error': 1.1668472136998986}
76,{'mean_absolute_error': 0.39564150113803986},{'mean_absolute_error': 1.144285892152552}
77,{'mean_absolute_error': 0.3986477320256052},{'mean_absolute_error': 1.151067846783563}
78,{'mean_absolute_error': 0.4620741911288477},{'mean_absolute_error': 1.1077763870720716}
79,{'mean_absolute_error': 0.42933632564171276},{'mean_absolute_error': 1.169265171335057}
80,{'mean_absolute_error': 0.41042196507102185},{'mean_absolute_error': 1.137937503408805}
81,{'mean_absolute_error': 0.42363429254867957},{'mean_absolute_error': 1.1219699369634057}
82,{'mean_absolute_error': 0.41943583865549955},{'mean_absolute_error': 1.085705195279881}
83,{'mean_absolute_error': 0.3952155022038212},{'mean_absolute_error': 1.0958192935840672}
84,{'mean_absolute_error': 0.47926812939528907},{'mean_absolute_error': 1.1270843318720887}
85,{'mean_absolute_error': 0.37986645652554685},{'mean_absolute_error': 1.1316916691726502}
86,{'mean_absolute_error': 0.383832469673309},{'mean_absolute_error': 1.1392460481458992}
87,{'mean_absolute_error': 0.3836237813377067},{'mean_absolute_error': 1.1314885411999762}
88,{'mean_absolute_error': 0.3716720912809644},{'mean_absolute_error': 1.153872773131668}
89,{'mean_absolute_error': 0.43224456166207237},{'mean_absolute_error': 1.1396861544053853}
90,{'mean_absolute_error': 0.36457728998099265},{'mean_absolute_error': 1.079283193046249}
91,{'mean_absolute_error': 0.37409099056451117},{'mean_absolute_error': 1.116304636347882}
92,{'mean_absolute_error': 0.33341699728927754},{'mean_absolute_error': 1.1523346916003872}
93,{'mean_absolute_error': 0.3843692590552109},{'mean_absolute_error': 1.1312987746887806}
94,{'mean_absolute_error': 0.3658973998950107},{'mean_absolute_error': 1.0803207533292023}
95,{'mean_absolute_error': 0.357164036670108},{'mean_absolute_error': 1.105221166589768}
96,{'mean_absolute_error': 0.38498063883693373},{'mean_absolute_error': 1.1159943068638183}
97,{'mean_absolute_error': 0.41080555537657765},{'mean_absolute_error': 1.0959717046116046}
98,{'mean_absolute_error': 0.33649916396786783},{'mean_absolute_error': 1.1227368794901473}
99,{'mean_absolute_error': 0.3296247830378375},{'mean_absolute_error': 1.109550030140253}
100,{'mean_absolute_error': 0.32284270670816306},{'mean_absolute_error': 1.1136405536656824}
101,{'mean_absolute_error': 0.32076068695172594},{'mean_absolute_error': 1.0925511635024896}
102,{'mean_absolute_error': 0.35683836360498117},{'mean_absolute_error': 1.1319820150870954}
103,{'mean_absolute_error': 0.3739062550025619},{'mean_absolute_error': 1.1017849410127483}
104,{'mean_absolute_error': 0.4659860926539326},{'mean_absolute_error': 1.1618551520583527}
105,{'mean_absolute_error': 0.32913778705705876},{'mean_absolute_error': 1.075708232403771}
106,{'mean_absolute_error': 0.3515545051936591},{'mean_absolute_error': 1.0951225184019537}
107,{'mean_absolute_error': 0.3814709106778953},{'mean_absolute_error': 1.1708974546768827}
108,{'mean_absolute_error': 0.29408425930047283},{'mean_absolute_error': 1.1209068093079682}
109,{'mean_absolute_error': 0.32731147380776954},{'mean_absolute_error': 1.1525519719530049}
110,{'mean_absolute_error': 0.37586639811728134},{'mean_absolute_error': 1.121505045285158}
111,{'mean_absolute_error': 0.2818118995915403},{'mean_absolute_error': 1.1084990336061087}
112,{'mean_absolute_error': 0.36287972508554095},{'mean_absolute_error': 1.0953795779124902}
113,{'mean_absolute_error': 0.3526729993906451},{'mean_absolute_error': 1.124084415593479}
114,{'mean_absolute_error': 0.2904624801578287},{'mean_absolute_error': 1.1057588237661193}
115,{'mean_absolute_error': 0.3501637193666792},{'mean_absolute_error': 1.149842067529249}
116,{'mean_absolute_error': 0.30813283099482636},{'mean_absolute_error': 1.0727238374976578}
117,{'mean_absolute_error': 0.3297800446870961},{'mean_absolute_error': 1.1129331933173856}
118,{'mean_absolute_error': 0.307309663459192},{'mean_absolute_error': 1.0947962366579362}
119,{'mean_absolute_error': 0.3156265881822159},{'mean_absolute_error': 1.130727136694828}
120,{'mean_absolute_error': 0.31120705503742707},{'mean_absolute_error': 1.0770211934205203}
121,{'mean_absolute_error': 0.3117868449492837},{'mean_absolute_error': 1.1319627365520486}
122,{'mean_absolute_error': 0.3108465935654087},{'mean_absolute_error': 1.115990984261531}
123,{'mean_absolute_error': 0.29253561904347325},{'mean_absolute_error': 1.0513135213788782}
124,{'mean_absolute_error': 0.38132478315659785},{'mean_absolute_error': 1.1180686017408505}
125,{'mean_absolute_error': 0.27981139650976633},{'mean_absolute_error': 1.0753903162275285}
126,{'mean_absolute_error': 0.36596818110744833},{'mean_absolute_error': 1.0959389311357015}
127,{'mean_absolute_error': 0.26704083828262865},{'mean_absolute_error': 1.1085758008815254}
128,{'mean_absolute_error': 0.30679046538315696},{'mean_absolute_error': 1.0712183371202413}
129,{'mean_absolute_error': 0.288398919514381},{'mean_absolute_error': 1.0681805261779214}
130,{'mean_absolute_error': 0.27693136755219644},{'mean_absolute_error': 1.0594797703260102}
131,{'mean_absolute_error': 0.2903556496847277},{'mean_absolute_error': 1.0626205980509653}
132,{'mean_absolute_error': 0.2722479315331008},{'mean_absolute_error': 1.0600258718501991}
133,{'mean_absolute_error': 0.32424162668764733},{'mean_absolute_error': 1.1366376631490305}
134,{'mean_absolute_error': 0.2948325641164901},{'mean_absolute_error': 1.1061234975211418}
135,{'mean_absolute_error': 0.276174332922335},{'mean_absolute_error': 1.084132804438938}
136,{'mean_absolute_error': 0.3302098384997649},{'mean_absolute_error': 1.0726348918111805}
137,{'mean_absolute_error': 0.2522936767990835},{'mean_absolute_error': 1.1289061707326618}
138,{'mean_absolute_error': 0.25905435856233555},{'mean_absolute_error': 1.1027135413871478}
139,{'mean_absolute_error': 0.37484170204670164},{'mean_absolute_error': 1.1143716827623114}
140,{'mean_absolute_error': 0.2753361225328132},{'mean_absolute_error': 1.103589671674411}
141,{'mean_absolute_error': 0.27644604898647246},{'mean_absolute_error': 1.1527375373260103}
142,{'mean_absolute_error': 0.2862502841273277},{'mean_absolute_error': 1.0689128625470612}
143,{'mean_absolute_error': 0.32645893260088266},{'mean_absolute_error': 1.118986244070484}
144,{'mean_absolute_error': 0.2633808719378398},{'mean_absolute_error': 1.0710559014136876}
145,{'mean_absolute_error': 0.27550534616199224},{'mean_absolute_error': 1.0934338023948498}
146,{'mean_absolute_error': 0.24298195733536496},{'mean_absolute_error': 1.1264799695271759}
147,{'mean_absolute_error': 0.3035830003457394},{'mean_absolute_error': 1.0641005704343858}
148,{'mean_absolute_error': 0.28746869332229685},{'mean_absolute_error': 1.0894365184836383}
149,{'mean_absolute_error': 0.31789237697156825},{'mean_absolute_error': 1.1490055530631476}
150,{'mean_absolute_error': 0.26583132554543454},{'mean_absolute_error': 1.057638891318069}
151,{'mean_absolute_error': 0.2677286662804967},{'mean_absolute_error': 1.0844182736191201}
152,{'mean_absolute_error': 0.24070521359941324},{'mean_absolute_error': 1.0866993352196457}
153,{'mean_absolute_error': 0.236832490726267},{'mean_absolute_error': 1.0901987237893103}
154,{'mean_absolute_error': 0.22911563915755268},{'mean_absolute_error': 1.081936888847013}
155,{'mean_absolute_error': 0.2262620279307223},{'mean_absolute_error': 1.0852142780564336}
156,{'mean_absolute_error': 0.24086535159332578},{'mean_absolute_error': 1.1191321157555694}
157,{'mean_absolute_error': 0.23547902590855382},{'mean_absolute_error': 1.0992220898313507}
158,{'mean_absolute_error': 0.22575474113059832},{'mean_absolute_error': 1.0885456988735918}
159,{'mean_absolute_error': 0.22851301014584857},{'mean_absolute_error': 1.0812481252024253}
160,{'mean_absolute_error': 0.261235990782748},{'mean_absolute_error': 1.079245523521011}
161,{'mean_absolute_error': 0.23404956362820495},{'mean_absolute_error': 1.0965412806202266}
162,{'mean_absolute_error': 0.28271930554550845},{'mean_absolute_error': 1.0594375664766236}
163,{'mean_absolute_error': 0.2670465440515026},{'mean_absolute_error': 1.0700706837466738}
164,{'mean_absolute_error': 0.22831294297539442},{'mean_absolute_error': 1.0716800114831604}
165,{'mean_absolute_error': 0.23655838135055837},{'mean_absolute_error': 1.0901958131428768}
166,{'mean_absolute_error': 0.22047545862964688},{'mean_absolute_error': 1.0820170897935832}
167,{'mean_absolute_error': 0.21493257038895866},{'mean_absolute_error': 1.0985546060146412}
168,{'mean_absolute_error': 0.2378084212216674},{'mean_absolute_error': 1.08453555413711}
169,{'mean_absolute_error': 0.24038870818328306},{'mean_absolute_error': 1.0727549936292728}
170,{'mean_absolute_error': 0.2134828671967192},{'mean_absolute_error': 1.0924582321304122}
171,{'mean_absolute_error': 0.26321195046060486},{'mean_absolute_error': 1.1159348789176293}
172,{'mean_absolute_error': 0.21758636217295474},{'mean_absolute_error': 1.0565197210021504}
173,{'mean_absolute_error': 0.24199971198192843},{'mean_absolute_error': 1.0823849694222332}
174,{'mean_absolute_error': 0.2585212370571581},{'mean_absolute_error': 1.0503631157025497}
175,{'mean_absolute_error': 0.2361579744894334},{'mean_absolute_error': 1.1139023528601069}
176,{'mean_absolute_error': 0.27571352895884965},{'mean_absolute_error': 1.0935761839865425}
177,{'mean_absolute_error': 0.26418866388351986},{'mean_absolute_error': 1.111656581231}
178,{'mean_absolute_error': 0.2188783840344407},{'mean_absolute_error': 1.073899857844136}
179,{'mean_absolute_error': 0.37232033900160627},{'mean_absolute_error': 1.1602478358496184}
180,{'mean_absolute_error': 0.2624308372963168},{'mean_absolute_error': 1.0882412291066403}
181,{'mean_absolute_error': 0.20591863025341747},{'mean_absolute_error': 1.0679208973727836}
182,{'mean_absolute_error': 0.2214675367551066},{'mean_absolute_error': 1.0797084869867353}
183,{'mean_absolute_error': 0.24327399588076046},{'mean_absolute_error': 1.0792045592526684}
184,{'mean_absolute_error': 0.2677727631083777},{'mean_absolute_error': 1.097014994756337}
185,{'mean_absolute_error': 0.22798012093423875},{'mean_absolute_error': 1.0506477301399664}
186,{'mean_absolute_error': 0.21739942079925795},{'mean_absolute_error': 1.087458051683951}
187,{'mean_absolute_error': 0.24585359921167715},{'mean_absolute_error': 1.0780574462615}
188,{'mean_absolute_error': 0.24056742923250934},{'mean_absolute_error': 1.0590720585287208}
189,{'mean_absolute_error': 0.21700995707520598},{'mean_absolute_error': 1.070319305311646}
190,{'mean_absolute_error': 0.26080608425661195},{'mean_absolute_error': 1.0708746469029464}
191,{'mean_absolute_error': 0.22784035776766673},{'mean_absolute_error': 1.0661102418114465}
192,{'mean_absolute_error': 0.23111739932172398},{'mean_absolute_error': 1.1156863951487561}
193,{'mean_absolute_error': 0.22167532887981273},{'mean_absolute_error': 1.0870746617214861}
194,{'mean_absolute_error': 0.2532742414840061},{'mean_absolute_error': 1.094437369586659}
195,{'mean_absolute_error': 0.24471253238640936},{'mean_absolute_error': 1.0581477649462998}
196,{'mean_absolute_error': 0.21560341064111252},{'mean_absolute_error': 1.0844040776475234}
197,{'mean_absolute_error': 0.30209489699011377},{'mean_absolute_error': 1.1318319505092238}
