,train_scores_cfp,valid_scores_cfp
0,{'mean_absolute_error': 1.6841911229916573},{'mean_absolute_error': 1.4100469975726317}
1,{'mean_absolute_error': 1.5192443047429813},{'mean_absolute_error': 1.299176452183735}
2,{'mean_absolute_error': 1.9916059612857762},{'mean_absolute_error': 1.6727133520433923}
3,{'mean_absolute_error': 1.538394519719695},{'mean_absolute_error': 1.3157071034387535}
4,{'mean_absolute_error': 1.716164739542849},{'mean_absolute_error': 1.4331466629548741}
5,{'mean_absolute_error': 1.2976252623531748},{'mean_absolute_error': 1.0689894958109167}
6,{'mean_absolute_error': 1.3450866411594147},{'mean_absolute_error': 1.1082143613912763}
7,{'mean_absolute_error': 1.2954319821876172},{'mean_absolute_error': 1.0439474702870155}
8,{'mean_absolute_error': 1.4465811779438793},{'mean_absolute_error': 1.246910272712071}
9,{'mean_absolute_error': 1.4288279490872007},{'mean_absolute_error': 1.2037844072045554}
10,{'mean_absolute_error': 1.551328986102759},{'mean_absolute_error': 1.2913410583675555}
11,{'mean_absolute_error': 1.285850813528164},{'mean_absolute_error': 1.048422858105808}
12,{'mean_absolute_error': 1.6247412045166254},{'mean_absolute_error': 1.406113836539263}
13,{'mean_absolute_error': 1.7152888918142486},{'mean_absolute_error': 1.4675561302713123}
14,{'mean_absolute_error': 1.33247154160461},{'mean_absolute_error': 1.133705914659523}
15,{'mean_absolute_error': 1.3712317867333106},{'mean_absolute_error': 1.1243766575127236}
16,{'mean_absolute_error': 1.3747418178099355},{'mean_absolute_error': 1.1474743188014587}
17,{'mean_absolute_error': 1.3066730666762003},{'mean_absolute_error': 1.0708248255248203}
18,{'mean_absolute_error': 1.3129795916588398},{'mean_absolute_error': 1.079396108364664}
19,{'mean_absolute_error': 1.5565472131292644},{'mean_absolute_error': 1.3306447724357944}
20,{'mean_absolute_error': 1.6604960085437765},{'mean_absolute_error': 1.394581965790958}
21,{'mean_absolute_error': 1.2652423779149107},{'mean_absolute_error': 1.0039582336390696}
22,{'mean_absolute_error': 1.6428671479826973},{'mean_absolute_error': 1.4077679315145704}
23,{'mean_absolute_error': 1.3104340652900526},{'mean_absolute_error': 1.1173698044336435}
24,{'mean_absolute_error': 1.5062779586978026},{'mean_absolute_error': 1.2751463239699847}
25,{'mean_absolute_error': 1.2768953027648122},{'mean_absolute_error': 1.0467622077600123}
26,{'mean_absolute_error': 1.4396138165711978},{'mean_absolute_error': 1.1945696352755746}
27,{'mean_absolute_error': 1.2754398929833084},{'mean_absolute_error': 1.0376664375271971}
28,{'mean_absolute_error': 1.3883048619404403},{'mean_absolute_error': 1.1745265486961667}
29,{'mean_absolute_error': 1.712971845680334},{'mean_absolute_error': 1.4812275766887852}
30,{'mean_absolute_error': 1.256975480039271},{'mean_absolute_error': 1.0407260860493959}
31,{'mean_absolute_error': 1.2311235023277705},{'mean_absolute_error': 0.9827102887973515}
32,{'mean_absolute_error': 1.2732737176824815},{'mean_absolute_error': 1.0528392264498825}
33,{'mean_absolute_error': 1.2724069823596642},{'mean_absolute_error': 1.029396551073784}
34,{'mean_absolute_error': 1.351768426573904},{'mean_absolute_error': 1.1132276201813875}
35,{'mean_absolute_error': 1.2522479418049364},{'mean_absolute_error': 1.0369649407663413}
36,{'mean_absolute_error': 1.5018279670163965},{'mean_absolute_error': 1.3125678849250437}
37,{'mean_absolute_error': 1.32034666393938},{'mean_absolute_error': 1.0839280335884396}
38,{'mean_absolute_error': 1.243611030459552},{'mean_absolute_error': 1.0077464646767813}
39,{'mean_absolute_error': 1.398568810663024},{'mean_absolute_error': 1.1702853483893247}
40,{'mean_absolute_error': 1.3076969242989844},{'mean_absolute_error': 1.089648704825309}
41,{'mean_absolute_error': 1.2381951022109283},{'mean_absolute_error': 0.9803438166515875}
42,{'mean_absolute_error': 1.8062039216800772},{'mean_absolute_error': 1.5980558448457927}
43,{'mean_absolute_error': 1.4691829856179146},{'mean_absolute_error': 1.2744647448694335}
44,{'mean_absolute_error': 1.2677156102908285},{'mean_absolute_error': 1.0361533400036051}
45,{'mean_absolute_error': 1.327369931341754},{'mean_absolute_error': 1.1311185014250453}
46,{'mean_absolute_error': 1.2606060232747867},{'mean_absolute_error': 1.0327137326710982}
47,{'mean_absolute_error': 1.412261790331501},{'mean_absolute_error': 1.2378536185135356}
48,{'mean_absolute_error': 1.4424144186201213},{'mean_absolute_error': 1.2530935357170343}
49,{'mean_absolute_error': 1.3272547530738115},{'mean_absolute_error': 1.0615602048972426}
50,{'mean_absolute_error': 1.3399097955523869},{'mean_absolute_error': 1.1477791682394143}
51,{'mean_absolute_error': 1.6319344540075302},{'mean_absolute_error': 1.4707074795596657}
52,{'mean_absolute_error': 1.3443112028453932},{'mean_absolute_error': 1.1538368739456815}
53,{'mean_absolute_error': 1.369926088146638},{'mean_absolute_error': 1.1220849311917254}
54,{'mean_absolute_error': 1.2962706116237008},{'mean_absolute_error': 1.0574178140707482}
55,{'mean_absolute_error': 1.3866605416627813},{'mean_absolute_error': 1.2052882967856107}
56,{'mean_absolute_error': 1.3144217896291561},{'mean_absolute_error': 1.0939293766216718}
57,{'mean_absolute_error': 1.3348519807873156},{'mean_absolute_error': 1.1399111502132582}
58,{'mean_absolute_error': 1.4003358284571397},{'mean_absolute_error': 1.1432357314344093}
59,{'mean_absolute_error': 1.4375775670663777},{'mean_absolute_error': 1.1749205375031415}
60,{'mean_absolute_error': 1.3263950111846134},{'mean_absolute_error': 1.127053758101652}
61,{'mean_absolute_error': 1.3187090121136251},{'mean_absolute_error': 1.1081550583511834}
