,train_losses,valid_losses
71,{'mean_absolute_error': 1.428345986840341},{'mean_absolute_error': 1.4850302490602827}
72,{'mean_absolute_error': 1.4246928539901345},{'mean_absolute_error': 1.4810251404803072}
73,{'mean_absolute_error': 1.4222757654783476},{'mean_absolute_error': 1.4812718407780912}
74,{'mean_absolute_error': 1.4196566967042814},{'mean_absolute_error': 1.4744870842500182}
75,{'mean_absolute_error': 1.417095484612481},{'mean_absolute_error': 1.4762648064042858}
76,{'mean_absolute_error': 1.414054858458871},{'mean_absolute_error': 1.4718884824991705}
77,{'mean_absolute_error': 1.4115975674679018},{'mean_absolute_error': 1.4688192228774337}
78,{'mean_absolute_error': 1.4092547509469855},{'mean_absolute_error': 1.464599182834874}
79,{'mean_absolute_error': 1.4074007656673149},{'mean_absolute_error': 1.4639724176592643}
80,{'mean_absolute_error': 1.4051533427219354},{'mean_absolute_error': 1.4605684997623716}
81,{'mean_absolute_error': 1.402882317031804},{'mean_absolute_error': 1.4591368741056472}
82,{'mean_absolute_error': 1.4008112143052835},{'mean_absolute_error': 1.4541174733906213}
83,{'mean_absolute_error': 1.3974843034429656},{'mean_absolute_error': 1.4516177117017703}
84,{'mean_absolute_error': 1.3945345752415934},{'mean_absolute_error': 1.4485774951138124}
85,{'mean_absolute_error': 1.391560492862104},{'mean_absolute_error': 1.4479582887263118}
86,{'mean_absolute_error': 1.390607142551743},{'mean_absolute_error': 1.4493596995903495}
87,{'mean_absolute_error': 1.3895005951087303},{'mean_absolute_error': 1.4484494371620638}
88,{'mean_absolute_error': 1.387020571685448},{'mean_absolute_error': 1.4470553095356267}
89,{'mean_absolute_error': 1.3856610852806721},{'mean_absolute_error': 1.4463206556696053}
90,{'mean_absolute_error': 1.3843537738582934},{'mean_absolute_error': 1.443688232872434}
91,{'mean_absolute_error': 1.3821367399696711},{'mean_absolute_error': 1.4417091057788887}
92,{'mean_absolute_error': 1.38101678791343},{'mean_absolute_error': 1.44101475339956}
93,{'mean_absolute_error': 1.37897674492479},{'mean_absolute_error': 1.442739052793731}
94,{'mean_absolute_error': 1.3795276759264743},{'mean_absolute_error': 1.4425099768355827}
95,{'mean_absolute_error': 1.3761602010575293},{'mean_absolute_error': 1.4404646739973042}
96,{'mean_absolute_error': 1.37285618302837},{'mean_absolute_error': 1.4364922386636212}
97,{'mean_absolute_error': 1.3712808132571335},{'mean_absolute_error': 1.436224495465078}
98,{'mean_absolute_error': 1.3690983885742867},{'mean_absolute_error': 1.4350007633990598}
99,{'mean_absolute_error': 1.3677503786622807},{'mean_absolute_error': 1.4348854969021232}
100,{'mean_absolute_error': 1.3677355449895836},{'mean_absolute_error': 1.434721891129899}
101,{'mean_absolute_error': 1.3657104635017436},{'mean_absolute_error': 1.4323631845620532}
102,{'mean_absolute_error': 1.3626030871759092},{'mean_absolute_error': 1.4306237104777546}
103,{'mean_absolute_error': 1.3618585941596493},{'mean_absolute_error': 1.429118693594848}
104,{'mean_absolute_error': 1.3596305583992434},{'mean_absolute_error': 1.4299192403854577}
105,{'mean_absolute_error': 1.3592654534303978},{'mean_absolute_error': 1.4303986725694067}
106,{'mean_absolute_error': 1.3566192811642586},{'mean_absolute_error': 1.4280357789157139}
107,{'mean_absolute_error': 1.3557727767873202},{'mean_absolute_error': 1.4301703561394035}
108,{'mean_absolute_error': 1.3547160844344481},{'mean_absolute_error': 1.429828950859105}
109,{'mean_absolute_error': 1.3528369329470176},{'mean_absolute_error': 1.4278376118426113}
110,{'mean_absolute_error': 1.3513293343284627},{'mean_absolute_error': 1.4285421112685728}
111,{'mean_absolute_error': 1.351836788500621},{'mean_absolute_error': 1.43096095257927}
112,{'mean_absolute_error': 1.3490403658780135},{'mean_absolute_error': 1.4263629877663266}
113,{'mean_absolute_error': 1.3474965542756088},{'mean_absolute_error': 1.4259532961128016}
114,{'mean_absolute_error': 1.3452423502176738},{'mean_absolute_error': 1.4255322642174801}
115,{'mean_absolute_error': 1.3447794958269002},{'mean_absolute_error': 1.4249952676795947}
116,{'mean_absolute_error': 1.3420521403405878},{'mean_absolute_error': 1.4213744699981643}
117,{'mean_absolute_error': 1.3415785840640437},{'mean_absolute_error': 1.4188807232702947}
118,{'mean_absolute_error': 1.3408517146491326},{'mean_absolute_error': 1.4190534649134392}
119,{'mean_absolute_error': 1.3404503105451722},{'mean_absolute_error': 1.4203979951949668}
120,{'mean_absolute_error': 1.3403227757191702},{'mean_absolute_error': 1.4208464709167938}
121,{'mean_absolute_error': 1.337638857248945},{'mean_absolute_error': 1.4161985519921536}
122,{'mean_absolute_error': 1.3357330353355927},{'mean_absolute_error': 1.4160858806230707}
123,{'mean_absolute_error': 1.3356819314672375},{'mean_absolute_error': 1.4185686228991756}
124,{'mean_absolute_error': 1.335576995466539},{'mean_absolute_error': 1.4166970925932538}
125,{'mean_absolute_error': 1.3351345749137928},{'mean_absolute_error': 1.416658259424546}
