,train_losses,valid_losses
24,"({'mean_absolute_error': 1.6150161465021335}, {'mean_absolute_error': [3.411039184746466, 1.3678355792085375, 0.06617367555139692]})","({'mean_absolute_error': 1.9976901203171613}, {'mean_absolute_error': [4.493647978876247, 1.4265234791858559, 0.07289890288938111]})"
25,"({'mean_absolute_error': 1.7600267389456787}, {'mean_absolute_error': [3.866987332795396, 1.3460114335608528, 0.06708145048078762]})","({'mean_absolute_error': 2.0489956890443195}, {'mean_absolute_error': [4.59670219015066, 1.4786908730644885, 0.07159400391780975]})"
26,"({'mean_absolute_error': 1.6193955653825165}, {'mean_absolute_error': [3.455866526584367, 1.3372025368509797, 0.06511763271220289]})","({'mean_absolute_error': 1.9712386962534332}, {'mean_absolute_error': [4.384925974502162, 1.45723634556548, 0.07155376869265735]})"
27,"({'mean_absolute_error': 1.5946185757305074}, {'mean_absolute_error': [3.388583796624374, 1.3315026775805259, 0.06376925298662223]})","({'mean_absolute_error': 1.9473647178955786}, {'mean_absolute_error': [4.3360328885372565, 1.4360074559361646, 0.07005380921331472]})"
28,"({'mean_absolute_error': 1.6512229039581456}, {'mean_absolute_error': [3.569539401266314, 1.320354632702808, 0.06377467790531485]})","({'mean_absolute_error': 1.9837169524998755}, {'mean_absolute_error': [4.431306889658405, 1.449687127314681, 0.07015684052654088]})"
29,"({'mean_absolute_error': 1.5590796471145472}, {'mean_absolute_error': [3.2646450089354233, 1.3467185054644484, 0.06587542694376904]})","({'mean_absolute_error': 1.9310150353582225}, {'mean_absolute_error': [4.32204910648616, 1.398332670275569, 0.07266332931293805]})"
30,"({'mean_absolute_error': 1.6089277018227344}, {'mean_absolute_error': [3.439679834991894, 1.322455829804139, 0.06464744067217028]})","({'mean_absolute_error': 1.9673733911128084}, {'mean_absolute_error': [4.351964011790219, 1.4803442149381458, 0.06981194661006027]})"
31,"({'mean_absolute_error': 1.6160872984679022}, {'mean_absolute_error': [3.484472287414046, 1.3008707834485573, 0.06291882454110258]})","({'mean_absolute_error': 1.948874279938767}, {'mean_absolute_error': [4.343897793117884, 1.4337630863307598, 0.06896196036765642]})"
32,"({'mean_absolute_error': 1.5748022093312972}, {'mean_absolute_error': [3.34046043639209, 1.320092866411712, 0.06385332519008947]})","({'mean_absolute_error': 1.9071787789209864}, {'mean_absolute_error': [4.265671465816828, 1.3856771588294479, 0.07018771211668401]})"
33,"({'mean_absolute_error': 1.5505692147778996}, {'mean_absolute_error': [3.2722162704827373, 1.3163167210760378, 0.06317465277492264]})","({'mean_absolute_error': 1.893014076714912}, {'mean_absolute_error': [4.216583937196869, 1.3934516895812903, 0.06900660336657632]})"
34,"({'mean_absolute_error': 1.5620948340145961}, {'mean_absolute_error': [3.3346631914523663, 1.2877662294850536, 0.06385508110636821]})","({'mean_absolute_error': 1.8994943455956481}, {'mean_absolute_error': [4.214480743782651, 1.4145936128784142, 0.06940868012588021]})"
35,"({'mean_absolute_error': 1.5046871151992274}, {'mean_absolute_error': [3.148472068612099, 1.3023785308725793, 0.06321074611300444]})","({'mean_absolute_error': 1.8366252354559034}, {'mean_absolute_error': [4.080064082717226, 1.3608263954819984, 0.06898522816848515]})"
36,"({'mean_absolute_error': 1.5075889344082112}, {'mean_absolute_error': [3.1613318196563704, 1.298574604939679, 0.06286037862858446]})","({'mean_absolute_error': 1.829709488268276}, {'mean_absolute_error': [4.056766291633629, 1.3642475463333983, 0.06811462683780095]})"
37,"({'mean_absolute_error': 1.5210119052269198}, {'mean_absolute_error': [3.206626371974067, 1.2925067735832045, 0.06390257012348771]})","({'mean_absolute_error': 1.8364367879974257}, {'mean_absolute_error': [4.074236753315874, 1.3655724575959658, 0.06950115308043779]})"
38,"({'mean_absolute_error': 1.4956118379434609}, {'mean_absolute_error': [3.151151598302351, 1.273341701430876, 0.06234221409715608]})","({'mean_absolute_error': 1.8374140397930352}, {'mean_absolute_error': [4.052747575193921, 1.391697565529802, 0.06779697865538205]})"
39,"({'mean_absolute_error': 1.5603941021469394}, {'mean_absolute_error': [3.3417019174734928, 1.2772183349189092, 0.06226205404841619]})","({'mean_absolute_error': 1.8686303203246861}, {'mean_absolute_error': [4.158080548054141, 1.3796017713081505, 0.06820864161176678]})"
40,"({'mean_absolute_error': 1.4823671736850317}, {'mean_absolute_error': [3.08972169634156, 1.2924235204910783, 0.06495630422245643]})","({'mean_absolute_error': 1.8022439834939448}, {'mean_absolute_error': [3.985603288372958, 1.3510132354348563, 0.07011542667401993]})"
41,"({'mean_absolute_error': 1.6147455127793473}, {'mean_absolute_error': [3.5031741281972204, 1.2768591064501604, 0.06420330369066089]})","({'mean_absolute_error': 1.8954267261434217}, {'mean_absolute_error': [4.192162076304719, 1.4254965315537995, 0.06862157057174731]})"
42,"({'mean_absolute_error': 1.462163930669765}, {'mean_absolute_error': [2.968045010905061, 1.3535551612076602, 0.06489161989657412]})","({'mean_absolute_error': 1.7702117636108297}, {'mean_absolute_error': [3.9009074778172343, 1.3401468268729193, 0.06958098614233531]})"
43,"({'mean_absolute_error': 1.6050302957298346}, {'mean_absolute_error': [3.4828666730075115, 1.2701562716307109, 0.06206794255128121]})","({'mean_absolute_error': 1.874221825079718}, {'mean_absolute_error': [4.143380813294067, 1.4117348240680203, 0.0675498378770672]})"
44,"({'mean_absolute_error': 1.440934783417058}, {'mean_absolute_error': [2.929474533425489, 1.3263309047369165, 0.06699891208876917]})","({'mean_absolute_error': 1.759025012342531}, {'mean_absolute_error': [3.859876931452793, 1.3451189319822165, 0.07207917359258426]})"
45,"({'mean_absolute_error': 1.5189765310554606}, {'mean_absolute_error': [3.2218000474983137, 1.2724158901824987, 0.0627136554855696]})","({'mean_absolute_error': 1.8196224908455958}, {'mean_absolute_error': [3.979548862463726, 1.4118146301926584, 0.06750397988040294]})"
46,"({'mean_absolute_error': 1.467745618810234}, {'mean_absolute_error': [3.043668587944063, 1.2953764606627594, 0.06419180782388023]})","({'mean_absolute_error': 1.7624442004047258}, {'mean_absolute_error': [3.8727549439995874, 1.3456924204301612, 0.06888523678442836]})"
47,"({'mean_absolute_error': 1.4881875773011597}, {'mean_absolute_error': [3.140056297181263, 1.262716877421504, 0.06178955730071183]})","({'mean_absolute_error': 1.7879929713562712}, {'mean_absolute_error': [3.934594873373107, 1.3620955896520384, 0.06728845104366893]})"
48,"({'mean_absolute_error': 1.426387959619225}, {'mean_absolute_error': [2.948753910438808, 1.2685371028485843, 0.06187286557028309]})","({'mean_absolute_error': 1.7369871318464771}, {'mean_absolute_error': [3.8043618493480063, 1.3400160230426734, 0.06658352314875218]})"
49,"({'mean_absolute_error': 1.448943920394376}, {'mean_absolute_error': [3.0242029995351705, 1.2605869450231086, 0.06204181662484966]})","({'mean_absolute_error': 1.7590286850654209}, {'mean_absolute_error': [3.846577743390377, 1.3632279834550705, 0.06728032835081477]})"
50,"({'mean_absolute_error': 1.4765995653110195}, {'mean_absolute_error': [3.103093466340338, 1.265533473990778, 0.06117175560194308]})","({'mean_absolute_error': 1.7648710389316644}, {'mean_absolute_error': [3.8846322909722306, 1.3433630875992324, 0.06661773822353051]})"
51,"({'mean_absolute_error': 1.4749667081938143}, {'mean_absolute_error': [3.0987977116032877, 1.2651732575519652, 0.06092915542618993]})","({'mean_absolute_error': 1.7619673815538623}, {'mean_absolute_error': [3.8727537595793398, 1.346671918426959, 0.0664764666552879]})"
52,"({'mean_absolute_error': 1.4318932863091813}, {'mean_absolute_error': [2.9763543718249195, 1.2585877910810188, 0.06073769602160585]})","({'mean_absolute_error': 1.7394636877533127}, {'mean_absolute_error': [3.7912120825858415, 1.3609258800229171, 0.06625310065117991]})"
53,"({'mean_absolute_error': 1.4435501526796601}, {'mean_absolute_error': [2.9934854351276474, 1.2753851641895644, 0.06177985872176881]})","({'mean_absolute_error': 1.7316501504546673}, {'mean_absolute_error': [3.7913966049081904, 1.3357325920507788, 0.06782125440503264]})"
54,"({'mean_absolute_error': 1.4341788749689641}, {'mean_absolute_error': [2.9697498705220506, 1.2716735770290486, 0.06111317735579256]})","({'mean_absolute_error': 1.72442951239968}, {'mean_absolute_error': [3.7658161317253613, 1.3402318307499343, 0.06724057472374419]})"
55,"({'mean_absolute_error': 1.3974255842736432}, {'mean_absolute_error': [2.8635109186525316, 1.2669388256252254, 0.061827008543172336]})","({'mean_absolute_error': 1.694841345726074}, {'mean_absolute_error': [3.685539804524045, 1.331422808867639, 0.0675614237865385]})"
56,"({'mean_absolute_error': 1.4703665709460338}, {'mean_absolute_error': [3.0920561585578277, 1.257705404743138, 0.06133814953713571]})","({'mean_absolute_error': 1.751750683637507}, {'mean_absolute_error': [3.8460534433484157, 1.3421379750111233, 0.06706063255298239]})"
