,train_mean,train_riso,train_eiso,train_vert,valid_mean,valid_riso,valid_eiso,valid_vert,(3,50,0.2, 1e-05),,mean rms:
46,2.955008044,7.524567555,1.241116437,0.09934014,3.136244932,8.034118173,1.259202768,0.115413856,,,,,,
47,2.951203206,7.513343966,1.24054676,0.099718891,3.132993847,8.026107055,1.256924049,0.115950437,,,,,,
48,2.94388834,7.492064399,1.240489479,0.099111141,3.121540776,7.992487004,1.256923504,0.11521182,,,,,,
49,2.939408035,7.482587317,1.236548382,0.099088407,3.119329416,7.989272041,1.253509884,0.115206322,,,,,,
50,2.943135382,7.496726281,1.233593983,0.09908588,3.124090522,8.00584455,1.251134557,0.115292458,,,,,,
51,2.937298743,7.480688393,1.232223394,0.098984442,3.116720362,7.985525216,1.249634321,0.115001548,,,,,,
52,2.936917536,7.480479831,1.231391937,0.09888084,3.117953602,7.989526094,1.249237568,0.115097143,,,,,,
53,2.938809867,7.486409806,1.231024079,0.098995717,3.11805933,7.990210224,1.249013572,0.114954194,,,,,,
54,2.936014062,7.478230077,1.230823789,0.098988319,3.117201195,7.988385562,1.247914862,0.115303162,,,,,,
55,2.932483787,7.4701925,1.228417476,0.098841386,3.114163223,7.981633856,1.245721164,0.115134647,,,,,,
56,2.929822893,7.461832172,1.228943719,0.098692787,3.109899706,7.968662051,1.246100475,0.114936592,,,,,,
57,2.935862633,7.482638587,1.226323677,0.098625636,3.114030668,7.983538928,1.243780669,0.114772406,,,,,,
58,2.929415152,7.4590447,1.230517189,0.098683568,3.109862148,7.967203134,1.247381395,0.115001914,,,,,,
59,2.936201914,7.482021119,1.228009781,0.098574842,3.119894352,7.998199375,1.246594467,0.114889213,,,,,,
60,2.927277471,7.458409686,1.224930968,0.098491758,3.107352591,7.965305469,1.242045655,0.11470665,,,,,,
61,2.928630092,7.465549404,1.221789782,0.098551091,3.110837367,7.978164992,1.239428507,0.114918601,,,,,,
62,2.927481523,7.46074245,1.223293457,0.098408663,3.10701065,7.965893383,1.240452091,0.114686476,,,,,,
63,2.922190799,7.448015929,1.220189797,0.09836667,3.103474398,7.957413813,1.238394649,0.114614731,,,,,,
64,2.922881527,7.451305281,1.219002925,0.098336377,3.106141588,7.966696467,1.237012453,0.114715845,,,,,,
65,2.920835754,7.445974126,1.218248109,0.098285028,3.101866779,7.954598895,1.236382192,0.11461925,,,,,,
66,2.92745033,7.466738511,1.217355961,0.098256518,3.111125766,7.982911282,1.235741486,0.114724529,,,,,,
67,2.925774325,7.461295505,1.217555461,0.098472008,3.10952287,7.978324583,1.235235637,0.115008389,,,,,,
68,2.925210222,7.461413816,1.215950719,0.098266132,3.105378161,7.967688658,1.233944707,0.114501118,,,,,,
69,2.920968409,7.447207456,1.217160837,0.098536935,3.101588184,7.953973734,1.236179778,0.114611042,,,,,,
70,2.918082945,7.439080962,1.217070387,0.098097487,3.101060393,7.952683233,1.236077965,0.11441998,,,,,,
71,2.91761853,7.438718898,1.21609381,0.098042882,3.100924498,7.95335382,1.234967343,0.114452331,,,,,,
72,2.91604581,7.434776003,1.215152781,0.098208647,3.098822821,7.948836773,1.23288214,0.114749549,,,,,,
73,2.914625908,7.434050273,1.211786121,0.09804133,3.097296346,7.946997168,1.230522325,0.114369545,,,,,,
74,2.918014126,7.444383011,1.2115779,0.098081468,3.09871844,7.951662399,1.230120383,0.114372538,,,,,,
75,2.913429566,7.431837145,1.210520269,0.097931283,3.09626573,7.945179968,1.229181137,0.114436086,,,,,,
76,2.91336206,7.42932079,1.212872594,0.097892796,3.096051319,7.942840143,1.230892731,0.114421084,,,,,,
77,2.917074927,7.43269311,1.220314899,0.098216772,3.100247879,7.948035351,1.237822809,0.114885476,,,,,,
78,2.913969074,7.429949012,1.214141158,0.097817052,3.096878517,7.942516098,1.233902323,0.114217129,,,,,,
79,2.910596469,7.426387561,1.207649421,0.097752425,3.09443369,7.942370605,1.226643656,0.11428681,,,,,,
80,2.911728445,7.426246919,1.211120133,0.097818284,3.094907857,7.939335753,1.231121605,0.114266215,,,,,,
81,2.912255573,7.432766859,1.206236925,0.097762934,3.097124276,7.951812138,1.225190674,0.114370015,,,,,,
82,2.911276357,7.429715575,1.206250636,0.097862861,3.095640367,7.947319703,1.225073899,0.1145275,,,,,,
83,2.912092335,7.432363814,1.2062288,0.097684392,3.096849117,7.95006691,1.226181064,0.114299377,,,,,,
84,2.909509599,7.425942804,1.204892635,0.09769336,3.092890548,7.939953603,1.224597974,0.114120067,,,,,,
85,2.907385656,7.420935307,1.203639704,0.097581958,3.091934163,7.938680565,1.222967523,0.114154402,,,,,,
86,2.908393238,7.419165775,1.208291386,0.097722553,3.091856129,7.934407049,1.226735529,0.114425808,,,,,,
87,2.908554437,7.425199221,1.202890734,0.097573357,3.091532625,7.938268601,1.222275841,0.114053434,,,,,,
88,2.906024919,7.418520768,1.202039991,0.097513999,3.089318471,7.932333165,1.221589983,0.114032264,,,,,,
89,2.907206743,7.419133878,1.204942601,0.097543749,3.091671854,7.935451628,1.225478537,0.114085396,,,,,,
90,2.912304608,7.438507663,1.200589659,0.097816503,3.094063937,7.947655977,1.220399321,0.114136515,,,,,,
91,2.904802157,7.415497141,1.201497904,0.097411427,3.088865895,7.931601531,1.220907638,0.114088517,,,,,,
92,2.909334878,7.418127692,1.212477732,0.097399211,3.092210887,7.931525659,1.231012728,0.114094274,,,,,,
93,2.904145019,7.416175126,1.19888077,0.097379163,3.089596238,7.935961499,1.218768924,0.114058293,,,,,,
94,2.9114016,7.438276466,1.198389436,0.097538899,3.097420837,7.959365671,1.218570643,0.114326196,,,,,,
95,2.903672701,7.4153317,1.198400445,0.097285959,3.088920075,7.933960658,1.218848631,0.113950935,,,,,,
96,2.902133203,7.411385719,1.197662216,0.097351674,3.08725581,7.929979896,1.217667993,0.114119543,,,,,,
97,2.90546407,7.416875334,1.202102062,0.097414814,3.091109489,7.937518729,1.221525614,0.114284124,,,,,,
98,2.903705394,7.417525477,1.196364634,0.097226071,3.087070145,7.930717201,1.216635075,0.11385816,,,,,,
99,2.901284219,7.409160186,1.197475996,0.097216474,3.086795805,7.929037645,1.217368118,0.113981651,,,,,,
100,2.900271472,7.408470704,1.195156575,0.097187139,3.08571543,7.927493191,1.215773586,0.113879513,,,,,,
101,2.900177165,7.408523219,1.194876141,0.097132136,3.086422975,7.929678349,1.215699036,0.11389154,,,,,,
102,2.900376583,7.409630299,1.19430974,0.097189709,3.08621344,7.929690351,1.21490634,0.114043629,,,,,,
103,2.902438412,7.415885844,1.1943068,0.097122592,3.086595262,7.930701254,1.2153354,0.113749131,,,,,,
104,2.90116346,7.412576745,1.193787693,0.097125942,3.085148802,7.927239236,1.214425773,0.113781398,,,,,,
105,2.898375209,7.405235983,1.192841783,0.097047862,3.084290523,7.925388882,1.21363075,0.113851936,,,,,,
106,2.901190151,7.414111934,1.192288364,0.097170156,3.088204514,7.937583309,1.21297517,0.114055062,,,,,,
107,2.900391536,7.408367635,1.195792684,0.097014289,3.087084592,7.930138527,1.217254857,0.113860391,,,,,,
108,2.903171869,7.419706561,1.192615769,0.097193276,3.090419787,7.943766548,1.21337049,0.114122323,,,,,,
109,2.901673549,7.416391548,1.191689195,0.096939903,3.085794916,7.931281348,1.212429278,0.113674123,,,,,,
110,2.898811296,7.408505455,1.190945219,0.096983213,3.085177918,7.92940325,1.212203241,0.113927262,,,,,,
111,2.898798134,7.406651435,1.192673691,0.097069277,3.085231263,7.92806868,1.213630534,0.113994574,,,,,,
112,2.898109768,7.407597547,1.189840104,0.096891654,3.083286738,7.925127135,1.211114095,0.113618986,,,,,,
113,2.895552277,7.400500804,1.189302974,0.096853052,3.082189137,7.921881855,1.210964967,0.11372059,,,,,,
114,2.895241581,7.399876743,1.189041251,0.096806748,3.081720778,7.921117699,1.210426769,0.113617864,,,,,,
115,2.898198407,7.409155243,1.188360917,0.097079061,3.083018141,7.925276829,1.210038509,0.113739086,,,,,,
116,2.900724945,7.416729408,1.188569348,0.096876079,3.084699399,7.930498804,1.20994757,0.113651824,,,,,,
117,2.895397544,7.398736079,1.190669807,0.096786748,3.081747935,7.919628212,1.211889177,0.113726416,,,,,,
118,2.895962301,7.401094646,1.190021379,0.096770877,3.081753712,7.919265589,1.212493941,0.113501606,,,,,,
119,2.894350323,7.398877567,1.187466652,0.096706748,3.081115096,7.920545369,1.209191175,0.113608746,,,,,,
120,2.898340137,7.411913171,1.18642139,0.096685851,3.083583253,7.928602795,1.208659788,0.113487176,,,,,,
121,2.893633954,7.398745809,1.185438666,0.096717389,3.079823343,7.918266045,1.207659042,0.113544943,,,,,,
