,train_mean,train_eiso,train_riso,train_vert,valid_mean,valid_eiso,valid_riso,valid_vert
0,32.98306639854872,78.31670982807769,20.014175477314186,0.6183138902542875,32.31821581006874,76.68349139591345,19.691198501712663,0.5799575325801134
1,13.742995714297715,33.1789034961446,7.325331462110329,0.7247521846382173,14.079117800095359,34.42452458730339,7.055577262570654,0.7572515504120383
2,9.515911274699546,21.227152678810985,7.127986222514383,0.1925949227732665,8.727014944343077,19.107618301408994,6.902899367499516,0.17052716412072425
3,6.197702599861738,14.54259988746558,3.847221612971471,0.20328629914815965,6.0106759572155015,14.130682915570587,3.6868013703983538,0.21454358567756576
4,5.681861643362486,13.162450185809178,3.6834410984345287,0.1996936458437508,5.667602608177519,13.349348297889861,3.4365598016133028,0.21689972502939356
5,5.278638878496065,11.748984233010114,3.949178698878834,0.13775370359924774,5.259331792140951,11.784159959468864,3.860617049342377,0.13321836761161124
6,4.787925005409171,11.20004285981378,3.0177903326298865,0.14594182378384796,4.594900284935399,10.71071315687938,2.91188658348463,0.16210111444218592
7,4.466574825881648,10.422822384929557,2.844131709854552,0.13277038286083626,4.434562918682767,10.352525650377075,2.802954112275544,0.14820899339568258
8,4.21812937565493,9.75487526296972,2.7815241185677664,0.11798874542730114,4.2151138221074484,9.688005005449321,2.8332581170343247,0.12407834383869944
9,3.943594684690785,9.21789159595139,2.500256327454434,0.11263613066653122,3.8750016335131185,8.984935681293724,2.517263539567538,0.12280567967809489
10,3.769244769095328,8.739873192272459,2.4580202406481426,0.10984087436538137,3.819326403619313,8.74577743898969,2.5871915984683955,0.12501017339985449
11,3.57911346117297,8.286862050743421,2.3476867406133257,0.10279159216216485,3.6058074436034886,8.198328804826906,2.5035472439934527,0.11554628199010741
12,3.4624679217821064,8.039571752341345,2.247155217912799,0.10067679509217518,3.4400838082480742,7.77572963586853,2.434116324915261,0.11040546396043124
13,3.408513230055838,7.751607156540196,2.3768816423371275,0.09705089129019036,3.3975390053526713,7.50616340652827,2.5796111361475624,0.10684247338218097
14,3.251723274685805,7.343250112068958,2.3190409482672436,0.09287876372121324,3.1895170115630354,6.934642979707517,2.5303897346358135,0.10351832034577622
15,3.0977253906021285,7.109187862927208,2.092228782071167,0.09175952680801075,3.057430685046283,6.7548237060471665,2.3199172451442784,0.09755110394740435
16,3.098812426263278,7.111207641667428,2.0965311188614644,0.08869851826094298,3.1172949891075756,6.918993201039237,2.336165924731783,0.09672584155170713
17,2.892707817791313,6.593699861226849,1.9944229127518323,0.0900006793952587,2.8242699217529226,6.156942902990115,2.221439219210534,0.09442764305811939
