,train_scores_1,valid_scores_1,train_scores_2,valid_scores_2,train_scores_3,valid_scores_3
25,{'mean_absolute_error': 2.3349993773212265},{'mean_absolute_error': 3.285110032586528},{'mean_absolute_error': 2.2077379100862844},{'mean_absolute_error': 2.8578395390908686},{'mean_absolute_error': 2.344172915977547},{'mean_absolute_error': 3.2089418025986305}
26,{'mean_absolute_error': 2.7606979931784132},{'mean_absolute_error': 3.7195472470952287},{'mean_absolute_error': 2.220105362069986},{'mean_absolute_error': 2.975823556535239},{'mean_absolute_error': 2.6757633419928872},{'mean_absolute_error': 3.479267066306047}
27,{'mean_absolute_error': 2.3729623891264495},{'mean_absolute_error': 3.308482509297198},{'mean_absolute_error': 2.211862658226353},{'mean_absolute_error': 2.872626123191239},{'mean_absolute_error': 2.9781634920793487},{'mean_absolute_error': 3.7081258528891876}
28,{'mean_absolute_error': 2.4466569187483715},{'mean_absolute_error': 3.381966801208551},{'mean_absolute_error': 2.443429704035326},{'mean_absolute_error': 3.070376654506833},{'mean_absolute_error': 2.5941107683085307},{'mean_absolute_error': 3.436536706550516}
29,{'mean_absolute_error': 2.315184454370207},{'mean_absolute_error': 3.3025071110395263},{'mean_absolute_error': 2.566408448715756},{'mean_absolute_error': 3.197300473362792},{'mean_absolute_error': 2.7371020427228903},{'mean_absolute_error': 3.5430538238577953}
30,{'mean_absolute_error': 2.5923224694175375},{'mean_absolute_error': 3.5166332911426847},{'mean_absolute_error': 2.2798198285625073},{'mean_absolute_error': 3.086578611149555},{'mean_absolute_error': 2.366155590871334},{'mean_absolute_error': 3.2540424325937085}
31,{'mean_absolute_error': 2.3430485140040815},{'mean_absolute_error': 3.355327808224712},{'mean_absolute_error': 2.597265305744141},{'mean_absolute_error': 3.4336697405118537},{'mean_absolute_error': 2.3777203443564114},{'mean_absolute_error': 3.272090987693723}
32,{'mean_absolute_error': 2.370841907050929},{'mean_absolute_error': 3.3636774324834},{'mean_absolute_error': 2.155408752941916},{'mean_absolute_error': 2.9337296712942624},{'mean_absolute_error': 2.3902046420270375},{'mean_absolute_error': 3.285855681905771}
33,{'mean_absolute_error': 2.734601365571888},{'mean_absolute_error': 3.6610102124074144},{'mean_absolute_error': 2.317929394005458},{'mean_absolute_error': 3.0696961067230397},{'mean_absolute_error': 3.1140085829926387},{'mean_absolute_error': 3.844948228752795}
34,{'mean_absolute_error': 2.4677156108650853},{'mean_absolute_error': 3.519437128478685},{'mean_absolute_error': 2.191300657533107},{'mean_absolute_error': 3.0154518951941367},{'mean_absolute_error': 3.282994268212781},{'mean_absolute_error': 3.986601516276658}
35,{'mean_absolute_error': 2.6168587614425998},{'mean_absolute_error': 3.6604789751017757},{'mean_absolute_error': 2.9394737703416327},{'mean_absolute_error': 3.6682525650181144},{'mean_absolute_error': 2.6881139171402673},{'mean_absolute_error': 3.5403888236217704}
36,{'mean_absolute_error': 2.9090195860938706},{'mean_absolute_error': 3.944117515504755},{'mean_absolute_error': 2.334487235076859},{'mean_absolute_error': 3.151281838652595},{'mean_absolute_error': 2.502831394563577},{'mean_absolute_error': 3.403544036294388}
