,train_scores_500,valid_scores_500,train_scores_1000,valid_scores_1000,train_scores_5000,valid_scores_5000,train_scores_7000,valid_scores_7000,train_scores_10000,valid_scores_10000,train_scores_15000,valid_scores_15000
12,{'mean_absolute_error': 1.3615115054817948},{'mean_absolute_error': 1.309909526386491},{'mean_absolute_error': 1.3559816371371833},{'mean_absolute_error': 1.2484120155412064},{'mean_absolute_error': 1.1032871533346242},{'mean_absolute_error': 1.1143210606183978},{'mean_absolute_error': 1.0057826714843487},{'mean_absolute_error': 1.0848843119118827},{'mean_absolute_error': 1.0290280148301616},{'mean_absolute_error': 1.0320901183048032},{'mean_absolute_error': 1.17054416531198},{'mean_absolute_error': 1.182724700466564}
13,{'mean_absolute_error': 1.351340482518246},{'mean_absolute_error': 1.2102710544163313},{'mean_absolute_error': 1.3370841041089991},{'mean_absolute_error': 1.239316885953769},{'mean_absolute_error': 1.0526207345297076},{'mean_absolute_error': 1.049660883724819},{'mean_absolute_error': 1.0822237859799644},{'mean_absolute_error': 1.1951215497442695},{'mean_absolute_error': 1.06103903771727},{'mean_absolute_error': 1.064597255708179},{'mean_absolute_error': 0.9979511496757448},{'mean_absolute_error': 1.0088910231986357}
14,{'mean_absolute_error': 1.467182154002987},{'mean_absolute_error': 1.4262547157101046},{'mean_absolute_error': 1.3741549234422372},{'mean_absolute_error': 1.2568712073259247},{'mean_absolute_error': 1.08980844105961},{'mean_absolute_error': 1.0476184885585436},{'mean_absolute_error': 1.2092720093535445},{'mean_absolute_error': 1.2639091096609387},{'mean_absolute_error': 1.0757432271553478},{'mean_absolute_error': 1.0801120604155543},{'mean_absolute_error': 1.0001104972613273},{'mean_absolute_error': 1.0130226922759562}
15,{'mean_absolute_error': 1.3535215846625015},{'mean_absolute_error': 1.2097087926051302},{'mean_absolute_error': 1.3180571290594778},{'mean_absolute_error': 1.2277108911229397},{'mean_absolute_error': 1.0801744417424},{'mean_absolute_error': 1.0959709599659426},{'mean_absolute_error': 0.9998110160877722},{'mean_absolute_error': 1.0982997404311832},{'mean_absolute_error': 1.0050251611590109},{'mean_absolute_error': 1.0078377279487674},{'mean_absolute_error': 1.01931856387509},{'mean_absolute_error': 1.0347708780755862}
16,{'mean_absolute_error': 1.4850488167934095},{'mean_absolute_error': 1.4462797570347448},{'mean_absolute_error': 1.2771566195181299},{'mean_absolute_error': 1.223406180062377},{'mean_absolute_error': 1.0581253694072403},{'mean_absolute_error': 1.0718856404248687},{'mean_absolute_error': 1.0081769490612595},{'mean_absolute_error': 1.090727439525217},{'mean_absolute_error': 1.0987850052915118},{'mean_absolute_error': 1.1058990504035893},{'mean_absolute_error': 1.0024991374071324},{'mean_absolute_error': 1.019421719063583}
17,{'mean_absolute_error': 1.3236775980694788},{'mean_absolute_error': 1.209098338726004},{'mean_absolute_error': 1.2965598917534846},{'mean_absolute_error': 1.2575568598591533},{'mean_absolute_error': 1.0247311154686143},{'mean_absolute_error': 1.0260673611445212},{'mean_absolute_error': 0.9899386239621245},{'mean_absolute_error': 1.0796237310501686},{'mean_absolute_error': 1.0209227704075305},{'mean_absolute_error': 1.0249063095183581},{'mean_absolute_error': 1.009897143735596},{'mean_absolute_error': 1.0266883240517433}
18,{'mean_absolute_error': 1.3940950458736372},{'mean_absolute_error': 1.3586735308296443},{'mean_absolute_error': 1.3666127184440051},{'mean_absolute_error': 1.3387243840276706},{'mean_absolute_error': 1.0207723179061414},{'mean_absolute_error': 1.0224506911413267},{'mean_absolute_error': 1.005068122543379},{'mean_absolute_error': 1.0913628912646487},{'mean_absolute_error': 1.1762773717447093},{'mean_absolute_error': 1.1860891085878311},{'mean_absolute_error': 1.0120854472220622},{'mean_absolute_error': 1.0228146908927782}
19,{'mean_absolute_error': 1.30793737310985},{'mean_absolute_error': 1.2294781181233285},{'mean_absolute_error': 1.2360179488812917},{'mean_absolute_error': 1.1865505067096733},{'mean_absolute_error': 1.0373695173104938},{'mean_absolute_error': 1.0203529707215904},{'mean_absolute_error': 1.0071131403790152},{'mean_absolute_error': 1.1181661847972701},{'mean_absolute_error': 0.9934390273997797},{'mean_absolute_error': 1.0027627888843578},{'mean_absolute_error': 0.9947978516132274},{'mean_absolute_error': 1.0125378966993752}
20,{'mean_absolute_error': 1.3087296522445746},{'mean_absolute_error': 1.2603599896449778},{'mean_absolute_error': 1.216078002306179},{'mean_absolute_error': 1.1823718047849607},{'mean_absolute_error': 1.0276820279693801},{'mean_absolute_error': 1.0165936824073003},{'mean_absolute_error': 0.9905191210627468},{'mean_absolute_error': 1.080429855544918},{'mean_absolute_error': 1.0184603396791971},{'mean_absolute_error': 1.0245101045957639},{'mean_absolute_error': 1.1125524560073103},{'mean_absolute_error': 1.1312326915572652}
21,{'mean_absolute_error': 1.3042105049231647},{'mean_absolute_error': 1.2592604116536412},{'mean_absolute_error': 1.2048311295864127},{'mean_absolute_error': 1.1635067030269874},{'mean_absolute_error': 1.014161207094747},{'mean_absolute_error': 1.0208222538291394},{'mean_absolute_error': 0.981826827895414},{'mean_absolute_error': 1.0889015601081178},{'mean_absolute_error': 1.1311507054313419},{'mean_absolute_error': 1.1421564579215913},{'mean_absolute_error': 0.9904487567536268},{'mean_absolute_error': 1.0090108072353299}
22,{'mean_absolute_error': 1.2936805770480955},{'mean_absolute_error': 1.239111600811828},{'mean_absolute_error': 1.2047593037244477},{'mean_absolute_error': 1.1676241193756085},{'mean_absolute_error': 1.0229476348257427},{'mean_absolute_error': 1.0419470592384317},{'mean_absolute_error': 1.0093559618114825},{'mean_absolute_error': 1.1249158928576435},{'mean_absolute_error': 1.075790057034728},{'mean_absolute_error': 1.091102301635342},{'mean_absolute_error': 1.2484022653065507},{'mean_absolute_error': 1.2643050016691322}
