,train_scores_500,valid_scores_500,train_scores_1000,valid_scores_1000,train_scores_5000,valid_scores_5000,train_scores_7000,valid_scores_7000,train_scores_10000,valid_scores_10000,train_scores_15000,valid_scores_15000
44,{'mean_absolute_error': 1.3304214586936027},{'mean_absolute_error': 1.460183100984162},{'mean_absolute_error': 1.0467298967661482},{'mean_absolute_error': 1.1913877589715218},{'mean_absolute_error': 1.0239812582162084},{'mean_absolute_error': 1.0765323658550234},{'mean_absolute_error': 1.015125772840723},{'mean_absolute_error': 1.1580794108652168},{'mean_absolute_error': 0.9806193963357269},{'mean_absolute_error': 1.0193071140515193},{'mean_absolute_error': 1.0134627573243928},{'mean_absolute_error': 1.0582965358631455}
45,{'mean_absolute_error': 1.213423177028708},{'mean_absolute_error': 1.2167952538597333},{'mean_absolute_error': 1.0162786677507745},{'mean_absolute_error': 1.154081258250022},{'mean_absolute_error': 1.0884207441870573},{'mean_absolute_error': 1.0656745858131966},{'mean_absolute_error': 0.9654939953044093},{'mean_absolute_error': 1.1025944489495338},{'mean_absolute_error': 0.9838651825364355},{'mean_absolute_error': 1.0216829804494683},{'mean_absolute_error': 1.028805738012821},{'mean_absolute_error': 1.0709268895198463}
46,{'mean_absolute_error': 1.4850094416001847},{'mean_absolute_error': 1.6156409101714615},{'mean_absolute_error': 1.0064143178186495},{'mean_absolute_error': 1.135385685211297},{'mean_absolute_error': 1.0066658611243087},{'mean_absolute_error': 1.0543064588142423},{'mean_absolute_error': 0.995067962904383},{'mean_absolute_error': 1.141266818251081},{'mean_absolute_error': 1.0309192396236437},{'mean_absolute_error': 1.0709283734448483},{'mean_absolute_error': 1.0185616302106568},{'mean_absolute_error': 1.06437542688433}
47,{'mean_absolute_error': 1.3557245724198481},{'mean_absolute_error': 1.3021305948573445},{'mean_absolute_error': 1.0263116765657987},{'mean_absolute_error': 1.1736701286205842},{'mean_absolute_error': 1.3331231988599863},{'mean_absolute_error': 1.4012648878462273},{'mean_absolute_error': 0.9629259445795619},{'mean_absolute_error': 1.0961366038558376},{'mean_absolute_error': 0.9962986830942151},{'mean_absolute_error': 1.0362365059643033},{'mean_absolute_error': 1.0112820537200442},{'mean_absolute_error': 1.0519402267011846}
48,{'mean_absolute_error': 1.3934705126103633},{'mean_absolute_error': 1.5509836228951697},{'mean_absolute_error': 1.0062695198979843},{'mean_absolute_error': 1.146183688096765},{'mean_absolute_error': 1.1016910061180778},{'mean_absolute_error': 1.087903150694495},{'mean_absolute_error': 1.0800333608727488},{'mean_absolute_error': 1.1806450916616515},{'mean_absolute_error': 1.0813904277241035},{'mean_absolute_error': 1.1210477408794985},{'mean_absolute_error': 0.9834354314167989},{'mean_absolute_error': 1.0244435574950856}
49,{'mean_absolute_error': 1.266217522889866},{'mean_absolute_error': 1.252212980277936},{'mean_absolute_error': 1.0203953742937404},{'mean_absolute_error': 1.1723926534679798},{'mean_absolute_error': 1.04679711420134},{'mean_absolute_error': 1.1057868066946357},{'mean_absolute_error': 1.2098841157101328},{'mean_absolute_error': 1.3646396818347668},{'mean_absolute_error': 1.0507179973031096},{'mean_absolute_error': 1.0797183280116847},{'mean_absolute_error': 0.9917207811137838},{'mean_absolute_error': 1.0322636604344393}
50,{'mean_absolute_error': 1.3594169940507168},{'mean_absolute_error': 1.5326493753897774},{'mean_absolute_error': 1.1000731255660825},{'mean_absolute_error': 1.2662906610690596},{'mean_absolute_error': 1.005255689995857},{'mean_absolute_error': 1.0576049045236837},{'mean_absolute_error': 0.9702272859724842},{'mean_absolute_error': 1.112974380720424},{'mean_absolute_error': 0.979138142099557},{'mean_absolute_error': 1.0220535944568234},{'mean_absolute_error': 1.0645394037201468},{'mean_absolute_error': 1.1136373065215803}
51,{'mean_absolute_error': 1.2105764459189476},{'mean_absolute_error': 1.2245683747782836},{'mean_absolute_error': 1.1560365595710598},{'mean_absolute_error': 1.3272141733487341},{'mean_absolute_error': 1.021796812253791},{'mean_absolute_error': 1.0837570740329283},{'mean_absolute_error': 1.0135144339600546},{'mean_absolute_error': 1.1591056992349447},{'mean_absolute_error': 0.9771727869144561},{'mean_absolute_error': 1.0119677961007398},{'mean_absolute_error': 1.0440274689484828},{'mean_absolute_error': 1.1020993067732656}
52,{'mean_absolute_error': 1.2330789009513488},{'mean_absolute_error': 1.4283679288815634},{'mean_absolute_error': 1.2492279898271088},{'mean_absolute_error': 1.4140152349279762},{'mean_absolute_error': 1.0236767969761187},{'mean_absolute_error': 1.026853666485346},{'mean_absolute_error': 0.969628201845091},{'mean_absolute_error': 1.108071019588502},{'mean_absolute_error': 1.1201925199850424},{'mean_absolute_error': 1.1533355311286595},{'mean_absolute_error': 0.9769780458176738},{'mean_absolute_error': 1.0206779750533137}
53,{'mean_absolute_error': 1.0755447031693275},{'mean_absolute_error': 1.1817847641448034},{'mean_absolute_error': 1.1224692481314407},{'mean_absolute_error': 1.2936254236909095},{'mean_absolute_error': 1.0500659118099742},{'mean_absolute_error': 1.06190779272434},{'mean_absolute_error': 0.9841304068467984},{'mean_absolute_error': 1.13045894510008},{'mean_absolute_error': 0.975840326582601},{'mean_absolute_error': 1.0251993607055825},{'mean_absolute_error': 1.0688943751051525},{'mean_absolute_error': 1.1291919064523637}
54,{'mean_absolute_error': 1.075265512323842},{'mean_absolute_error': 1.2847269930289082},{'mean_absolute_error': 1.2473984560523674},{'mean_absolute_error': 1.413012329348917},{'mean_absolute_error': 1.0776461843123932},{'mean_absolute_error': 1.084893588011118},{'mean_absolute_error': 0.9786489184156016},{'mean_absolute_error': 1.1299505493973363},{'mean_absolute_error': 0.9891379981823158},{'mean_absolute_error': 1.046649801526266},{'mean_absolute_error': 0.9797380788811119},{'mean_absolute_error': 1.037985018689518}
55,{'mean_absolute_error': 1.036295999899711},{'mean_absolute_error': 1.1726983509694096},{'mean_absolute_error': 0.9852888065445821},{'mean_absolute_error': 1.1394094344712198},{'mean_absolute_error': 0.9891503376938928},{'mean_absolute_error': 1.0373168279855345},{'mean_absolute_error': 0.9688581126468945},{'mean_absolute_error': 1.1013135469232127},{'mean_absolute_error': 1.0123980268135215},{'mean_absolute_error': 1.059637014764866},{'mean_absolute_error': 0.9920169048089977},{'mean_absolute_error': 1.0513947267763}
56,{'mean_absolute_error': 1.1167365407587928},{'mean_absolute_error': 1.3400905864299426},{'mean_absolute_error': 0.9947600217290806},{'mean_absolute_error': 1.1369132718226964},{'mean_absolute_error': 0.9921079762483355},{'mean_absolute_error': 1.0438156019603266},{'mean_absolute_error': 0.9596200824202052},{'mean_absolute_error': 1.1022671967844864},{'mean_absolute_error': 1.0128616474512329},{'mean_absolute_error': 1.0860499720029657},{'mean_absolute_error': 0.9856279917910225},{'mean_absolute_error': 1.040515597983922}
57,{'mean_absolute_error': 1.0127902740040127},{'mean_absolute_error': 1.1712177411454632},{'mean_absolute_error': 1.2803333930794594},{'mean_absolute_error': 1.3376509757141772},{'mean_absolute_error': 0.9880373656975653},{'mean_absolute_error': 1.0393065057219857},{'mean_absolute_error': 0.9661486578714821},{'mean_absolute_error': 1.1053965563784875},{'mean_absolute_error': 0.9877805352055614},{'mean_absolute_error': 1.0494590267160246},{'mean_absolute_error': 0.9927168541548299},{'mean_absolute_error': 1.0637317952304794}
58,{'mean_absolute_error': 1.0402565645286281},{'mean_absolute_error': 1.276578124248959},{'mean_absolute_error': 1.3030163549120308},{'mean_absolute_error': 1.3537116386768078},{'mean_absolute_error': 1.0948561664232723},{'mean_absolute_error': 1.1635597271508735},{'mean_absolute_error': 0.9620152589147861},{'mean_absolute_error': 1.107943793371927},{'mean_absolute_error': 1.0293461232940149},{'mean_absolute_error': 1.0892488556171838},{'mean_absolute_error': 1.0241741053817306},{'mean_absolute_error': 1.1010991200179208}
59,{'mean_absolute_error': 0.988152043326007},{'mean_absolute_error': 1.1797939101288393},{'mean_absolute_error': 0.9813511709794475},{'mean_absolute_error': 1.1312929155648246},{'mean_absolute_error': 0.9946504093300391},{'mean_absolute_error': 1.0081905540744704},{'mean_absolute_error': 0.9833665743423701},{'mean_absolute_error': 1.1205415855393974},{'mean_absolute_error': 1.032852716005261},{'mean_absolute_error': 1.0794641597970895},{'mean_absolute_error': 1.00431791833597},{'mean_absolute_error': 1.0756141038555036}
60,{'mean_absolute_error': 1.0088099189139386},{'mean_absolute_error': 1.2501325363296787},{'mean_absolute_error': 0.9963077188250066},{'mean_absolute_error': 1.1337913432648374},{'mean_absolute_error': 1.0375743057777183},{'mean_absolute_error': 1.1033834001841614},{'mean_absolute_error': 0.9655479280982292},{'mean_absolute_error': 1.1221045246896848},{'mean_absolute_error': 1.0248959837792717},{'mean_absolute_error': 1.0871034854718389},{'mean_absolute_error': 0.9857804722914902},{'mean_absolute_error': 1.055988927102127}
61,{'mean_absolute_error': 0.9914281214015841},{'mean_absolute_error': 1.1751032610802228},{'mean_absolute_error': 0.9883299092233853},{'mean_absolute_error': 1.1327540032775572},{'mean_absolute_error': 1.0215138360243625},{'mean_absolute_error': 1.0585198672472764},{'mean_absolute_error': 0.9877249135625576},{'mean_absolute_error': 1.1381039061390774},{'mean_absolute_error': 1.0025801141498554},{'mean_absolute_error': 1.0761015749210685},{'mean_absolute_error': 1.0027648895159607},{'mean_absolute_error': 1.0842444505186877}
62,{'mean_absolute_error': 1.0177841597018964},{'mean_absolute_error': 1.2760687795580627},{'mean_absolute_error': 0.991574370631795},{'mean_absolute_error': 1.1692737793829657},{'mean_absolute_error': 1.1480525361202942},{'mean_absolute_error': 1.2252551217259409},{'mean_absolute_error': 1.001678582424474},{'mean_absolute_error': 1.1608737337784343},{'mean_absolute_error': 0.9812101982048289},{'mean_absolute_error': 1.0565587036308832},{'mean_absolute_error': 0.980337134266197},{'mean_absolute_error': 1.0442486575482577}
63,{'mean_absolute_error': 1.002170752570601},{'mean_absolute_error': 1.1714698633131704},{'mean_absolute_error': 1.0088201314298124},{'mean_absolute_error': 1.195130073191201},{'mean_absolute_error': 0.9942205500478946},{'mean_absolute_error': 1.0548986639034843},{'mean_absolute_error': 0.9569407976035808},{'mean_absolute_error': 1.1092601469135015},{'mean_absolute_error': 0.9884998378923155},{'mean_absolute_error': 1.0437680392622524},{'mean_absolute_error': 1.00851445893685},{'mean_absolute_error': 1.095380395101256}
64,{'mean_absolute_error': 1.0385668755455861},{'mean_absolute_error': 1.3077411555906542},{'mean_absolute_error': 0.9698092040815333},{'mean_absolute_error': 1.1438386838520458},{'mean_absolute_error': 1.0520133094926871},{'mean_absolute_error': 1.0849042352180636},{'mean_absolute_error': 0.9576594839487259},{'mean_absolute_error': 1.095486107467838},{'mean_absolute_error': 0.981840875790493},{'mean_absolute_error': 1.049766033739951},{'mean_absolute_error': 0.9625348472099574},{'mean_absolute_error': 1.0332778869514125}
65,{'mean_absolute_error': 1.0106111634880197},{'mean_absolute_error': 1.1652735639662262},{'mean_absolute_error': 0.9685740858781152},{'mean_absolute_error': 1.143901503035487},{'mean_absolute_error': 1.0572669323799897},{'mean_absolute_error': 1.131011322206325},{'mean_absolute_error': 0.9696523165885883},{'mean_absolute_error': 1.1194503594666498},{'mean_absolute_error': 0.9668742766160525},{'mean_absolute_error': 1.0206297917173357},{'mean_absolute_error': 0.9949033598474311},{'mean_absolute_error': 1.082855967792908}
66,{'mean_absolute_error': 1.0439735403733421},{'mean_absolute_error': 1.3206511829583736},{'mean_absolute_error': 0.9845126602906817},{'mean_absolute_error': 1.1785787174266031},{'mean_absolute_error': 0.9853961288018318},{'mean_absolute_error': 1.0399100330557307},{'mean_absolute_error': 0.9806809486077849},{'mean_absolute_error': 1.1136031073708386},{'mean_absolute_error': 0.9794634512298972},{'mean_absolute_error': 1.0664937998953998},{'mean_absolute_error': 1.0608965064364428},{'mean_absolute_error': 1.1498642797801537}
67,{'mean_absolute_error': 0.9979446139932935},{'mean_absolute_error': 1.164845376794085},{'mean_absolute_error': 1.0593266200948501},{'mean_absolute_error': 1.2727796378153848},{'mean_absolute_error': 0.9843728364680637},{'mean_absolute_error': 1.0310428707211503},{'mean_absolute_error': 0.9984119987119398},{'mean_absolute_error': 1.1610635704951977},{'mean_absolute_error': 0.9669937157414844},{'mean_absolute_error': 1.0416199070884598},{'mean_absolute_error': 0.9587559455595546},{'mean_absolute_error': 1.0521797553489527}
68,{'mean_absolute_error': 0.9870247846071106},{'mean_absolute_error': 1.2690997902305095},{'mean_absolute_error': 0.9715567421495858},{'mean_absolute_error': 1.1650021165850593},{'mean_absolute_error': 1.0689456972862488},{'mean_absolute_error': 1.137739270881144},{'mean_absolute_error': 0.9664070635293539},{'mean_absolute_error': 1.1237662912147435},{'mean_absolute_error': 0.9647379020074},{'mean_absolute_error': 1.0636194645211168},{'mean_absolute_error': 0.9934134274491085},{'mean_absolute_error': 1.091274453740751}
69,{'mean_absolute_error': 0.9507792325267409},{'mean_absolute_error': 1.1786166698327856},{'mean_absolute_error': 0.963384930966969},{'mean_absolute_error': 1.157416997511707},{'mean_absolute_error': 0.9884966555606408},{'mean_absolute_error': 1.0336646214177614},{'mean_absolute_error': 0.9538831195400649},{'mean_absolute_error': 1.1079841034438},{'mean_absolute_error': 1.0515001022169468},{'mean_absolute_error': 1.137540006197091},{'mean_absolute_error': 0.9611874011420134},{'mean_absolute_error': 1.0431472675126732}
70,{'mean_absolute_error': 0.9701815574079761},{'mean_absolute_error': 1.2591980881980225},{'mean_absolute_error': 0.9855125763356506},{'mean_absolute_error': 1.160939735445611},{'mean_absolute_error': 0.9769840905450478},{'mean_absolute_error': 1.0287595685982707},{'mean_absolute_error': 0.9834619178371357},{'mean_absolute_error': 1.125853234931177},{'mean_absolute_error': 0.9687919322256384},{'mean_absolute_error': 1.052874781461118},{'mean_absolute_error': 0.9836090988345471},{'mean_absolute_error': 1.0863238975872356}
71,{'mean_absolute_error': 1.006419829939026},{'mean_absolute_error': 1.1680451530725435},{'mean_absolute_error': 0.9751478056496917},{'mean_absolute_error': 1.1530534387802542},{'mean_absolute_error': 0.9829869806109653},{'mean_absolute_error': 1.040630802247017},{'mean_absolute_error': 0.9892882836716215},{'mean_absolute_error': 1.1567929566106203},{'mean_absolute_error': 1.0290307236274716},{'mean_absolute_error': 1.1372117626812126},{'mean_absolute_error': 0.9602071293483421},{'mean_absolute_error': 1.0585594477504248}
72,{'mean_absolute_error': 1.114156403568537},{'mean_absolute_error': 1.421605642098027},{'mean_absolute_error': 1.1125966996417482},{'mean_absolute_error': 1.3352365233665038},{'mean_absolute_error': 0.9803970638882494},{'mean_absolute_error': 1.0303078474475778},{'mean_absolute_error': 1.0194229260534493},{'mean_absolute_error': 1.1735938311178458},{'mean_absolute_error': 0.9733912512558247},{'mean_absolute_error': 1.0750390220317723},{'mean_absolute_error': 0.9771385946945202},{'mean_absolute_error': 1.0830734894361351}
73,{'mean_absolute_error': 1.0102147863220843},{'mean_absolute_error': 1.1701610303627286},{'mean_absolute_error': 0.9704822099359257},{'mean_absolute_error': 1.1780097215130763},{'mean_absolute_error': 1.1428305300208996},{'mean_absolute_error': 1.2293022086951204},{'mean_absolute_error': 1.0185454991921925},{'mean_absolute_error': 1.1899202044989554},{'mean_absolute_error': 1.03297560414351},{'mean_absolute_error': 1.1706442078381927},{'mean_absolute_error': 0.974329637424299},{'mean_absolute_error': 1.08540886148986}
74,{'mean_absolute_error': 0.9626054921217311},{'mean_absolute_error': 1.2696806606065831},{'mean_absolute_error': 0.960786672963846},{'mean_absolute_error': 1.1682289294054522},{'mean_absolute_error': 1.0763843442525043},{'mean_absolute_error': 1.148956748368219},{'mean_absolute_error': 0.9691549336893746},{'mean_absolute_error': 1.128635853762859},{'mean_absolute_error': 0.9943379055062187},{'mean_absolute_error': 1.0881491504374161},{'mean_absolute_error': 0.9740285890580265},{'mean_absolute_error': 1.0861572425702903}
75,{'mean_absolute_error': 0.9440130554243632},{'mean_absolute_error': 1.1752965235529464},{'mean_absolute_error': 0.9671903242121527},{'mean_absolute_error': 1.161553605242568},{'mean_absolute_error': 1.104454830988948},{'mean_absolute_error': 1.1857852954029502},{'mean_absolute_error': 0.9409210976260235},{'mean_absolute_error': 1.0943493973001126},{'mean_absolute_error': 0.9788469372548506},{'mean_absolute_error': 1.0838131306266428},{'mean_absolute_error': 0.9590032224111618},{'mean_absolute_error': 1.0706618915610582}
76,{'mean_absolute_error': 0.9748008647346205},{'mean_absolute_error': 1.294177293781466},{'mean_absolute_error': 0.9488088915330014},{'mean_absolute_error': 1.1529933341698153},{'mean_absolute_error': 0.9757037923894898},{'mean_absolute_error': 1.0230982509762283},{'mean_absolute_error': 0.981544157080282},{'mean_absolute_error': 1.1423530161048379},{'mean_absolute_error': 1.000689824039565},{'mean_absolute_error': 1.0974484366541972},{'mean_absolute_error': 0.9722285608350933},{'mean_absolute_error': 1.0866958018100275}
77,{'mean_absolute_error': 0.9434081657235602},{'mean_absolute_error': 1.1748255647241097},{'mean_absolute_error': 0.9492010493303874},{'mean_absolute_error': 1.1582589997581665},{'mean_absolute_error': 1.0049686476213806},{'mean_absolute_error': 1.0407513235075447},{'mean_absolute_error': 0.9851322100902102},{'mean_absolute_error': 1.151239403974683},{'mean_absolute_error': 0.9773344209762329},{'mean_absolute_error': 1.1140752657797535},{'mean_absolute_error': 0.9626087268005035},{'mean_absolute_error': 1.0713258674286892}
78,{'mean_absolute_error': 0.9762286623112032},{'mean_absolute_error': 1.303500515776535},{'mean_absolute_error': 0.9539458348314785},{'mean_absolute_error': 1.1668513383905819},{'mean_absolute_error': 0.9750227137061948},{'mean_absolute_error': 1.0199008607971685},{'mean_absolute_error': 0.9573601269092188},{'mean_absolute_error': 1.1341403677026778},{'mean_absolute_error': 0.9992677406281353},{'mean_absolute_error': 1.122643954364388},{'mean_absolute_error': 0.951545652854818},{'mean_absolute_error': 1.0710630453495265}
79,{'mean_absolute_error': 0.9686096475270334},{'mean_absolute_error': 1.1768537533239873},{'mean_absolute_error': 0.9450752025615525},{'mean_absolute_error': 1.153800878725987},{'mean_absolute_error': 0.9750432306217607},{'mean_absolute_error': 1.008909664163942},{'mean_absolute_error': 0.9875032737321052},{'mean_absolute_error': 1.163735135373031},{'mean_absolute_error': 0.9608625136646085},{'mean_absolute_error': 1.0612311758154034},{'mean_absolute_error': 0.9887614900169938},{'mean_absolute_error': 1.0970771112348008}
80,{'mean_absolute_error': 0.9865964605083432},{'mean_absolute_error': 1.3233955230991756},{'mean_absolute_error': 1.0491865131508702},{'mean_absolute_error': 1.2277106067366368},{'mean_absolute_error': 1.1064096810418944},{'mean_absolute_error': 1.1851343320738943},{'mean_absolute_error': 0.9772946312149329},{'mean_absolute_error': 1.15245108549654},{'mean_absolute_error': 0.9488107011239036},{'mean_absolute_error': 1.0500945542891036},{'mean_absolute_error': 0.9692239262867156},{'mean_absolute_error': 1.0924386073383539}
81,{'mean_absolute_error': 1.0611158374015646},{'mean_absolute_error': 1.2045482400790588},{'mean_absolute_error': 0.9478620460521331},{'mean_absolute_error': 1.1584513677359807},{'mean_absolute_error': 1.0257821465443369},{'mean_absolute_error': 1.11127008517048},{'mean_absolute_error': 0.9552836110149013},{'mean_absolute_error': 1.1327942594733105},{'mean_absolute_error': 1.069451393411129},{'mean_absolute_error': 1.1673316537383145},{'mean_absolute_error': 0.9588413945014455},{'mean_absolute_error': 1.0751364033330402}
82,{'mean_absolute_error': 1.1249759129763628},{'mean_absolute_error': 1.471252872870265},{'mean_absolute_error': 0.96889468149085},{'mean_absolute_error': 1.193893063137106},{'mean_absolute_error': 1.0009393476255422},{'mean_absolute_error': 1.0777067122630093},{'mean_absolute_error': 0.9389631271430203},{'mean_absolute_error': 1.116555936293995},{'mean_absolute_error': 0.9333807255094921},{'mean_absolute_error': 1.0596374499152963},{'mean_absolute_error': 0.9482603823675159},{'mean_absolute_error': 1.0713655735670087}
83,{'mean_absolute_error': 1.0497901910656489},{'mean_absolute_error': 1.201715146875536},{'mean_absolute_error': 0.9578103754784234},{'mean_absolute_error': 1.1710559566298044},{'mean_absolute_error': 0.9809059219257071},{'mean_absolute_error': 1.033857642662037},{'mean_absolute_error': 0.9460138537714758},{'mean_absolute_error': 1.129966582925261},{'mean_absolute_error': 0.9313535364452914},{'mean_absolute_error': 1.0876254112033688},{'mean_absolute_error': 0.9703891108122251},{'mean_absolute_error': 1.0629387040973755}
84,{'mean_absolute_error': 1.1104491588059526},{'mean_absolute_error': 1.4624859657713227},{'mean_absolute_error': 0.9507097087487704},{'mean_absolute_error': 1.1700087310459322},{'mean_absolute_error': 1.0183088117576125},{'mean_absolute_error': 1.1003130413949447},{'mean_absolute_error': 1.0016697350927593},{'mean_absolute_error': 1.1817842201863429},{'mean_absolute_error': 0.9370416476910159},{'mean_absolute_error': 1.062032422765903},{'mean_absolute_error': 0.9594885939734842},{'mean_absolute_error': 1.0829699341963321}
85,{'mean_absolute_error': 1.068945686659519},{'mean_absolute_error': 1.2138069032710896},{'mean_absolute_error': 1.1123761770012415},{'mean_absolute_error': 1.2921951479052174},{'mean_absolute_error': 0.9924972414489382},{'mean_absolute_error': 1.0734304826396612},{'mean_absolute_error': 0.9519581077060171},{'mean_absolute_error': 1.1480900484255478},{'mean_absolute_error': 1.0626495267452107},{'mean_absolute_error': 1.193295663818896},{'mean_absolute_error': 0.9423647010463612},{'mean_absolute_error': 1.0630113212681118}
86,{'mean_absolute_error': 1.1022145808574089},{'mean_absolute_error': 1.4614325539531094},{'mean_absolute_error': 0.9547737139437872},{'mean_absolute_error': 1.1620436047175708},{'mean_absolute_error': 0.9892989875456517},{'mean_absolute_error': 1.0607888447413705},{'mean_absolute_error': 0.9879335681875485},{'mean_absolute_error': 1.1818185464773534},{'mean_absolute_error': 0.9483817156356865},{'mean_absolute_error': 1.0746363502897172},{'mean_absolute_error': 0.9682562754052018},{'mean_absolute_error': 1.093047521724634}
87,{'mean_absolute_error': 1.0649242296622254},{'mean_absolute_error': 1.2138950063783038},{'mean_absolute_error': 0.9864139308908076},{'mean_absolute_error': 1.220355728754044},{'mean_absolute_error': 0.9860966991362224},{'mean_absolute_error': 1.051046172551946},{'mean_absolute_error': 0.9920836845724305},{'mean_absolute_error': 1.1822557860349139},{'mean_absolute_error': 0.9279577361775514},{'mean_absolute_error': 1.0810900311758531},{'mean_absolute_error': 0.981781125909475},{'mean_absolute_error': 1.1077548973733138}
88,{'mean_absolute_error': 1.0945827321391797},{'mean_absolute_error': 1.4569092991198982},{'mean_absolute_error': 1.051903791211357},{'mean_absolute_error': 1.3119125839299461},{'mean_absolute_error': 0.960433808050047},{'mean_absolute_error': 1.0224812409838697},{'mean_absolute_error': 0.9728424488895089},{'mean_absolute_error': 1.1596248678207122},{'mean_absolute_error': 0.9581885523725994},{'mean_absolute_error': 1.0844946350568465},{'mean_absolute_error': 0.9688528082955976},{'mean_absolute_error': 1.1015139926288005}
89,{'mean_absolute_error': 1.0702795193456678},{'mean_absolute_error': 1.2224198287980947},{'mean_absolute_error': 0.943464572224976},{'mean_absolute_error': 1.1947825448204974},{'mean_absolute_error': 0.980448791341494},{'mean_absolute_error': 1.0146862148614026},{'mean_absolute_error': 0.9685347313858765},{'mean_absolute_error': 1.1696942302734135},{'mean_absolute_error': 0.9573194341500214},{'mean_absolute_error': 1.1307242332478478},{'mean_absolute_error': 0.9534322642624505},{'mean_absolute_error': 1.07615885559023}
90,{'mean_absolute_error': 1.0228680131140884},{'mean_absolute_error': 1.3900142116150878},{'mean_absolute_error': 0.9469912140267466},{'mean_absolute_error': 1.181973766027152},{'mean_absolute_error': 1.0677894123429432},{'mean_absolute_error': 1.1525679970360274},{'mean_absolute_error': 0.9441212000317533},{'mean_absolute_error': 1.146395896810781},{'mean_absolute_error': 1.0046899701119223},{'mean_absolute_error': 1.164758996315036},{'mean_absolute_error': 0.9423946022841267},{'mean_absolute_error': 1.0659988499951398}
91,{'mean_absolute_error': 1.0100446255113962},{'mean_absolute_error': 1.1953264988297998},{'mean_absolute_error': 0.930441556669224},{'mean_absolute_error': 1.1742797057654175},{'mean_absolute_error': 0.9756529277203038},{'mean_absolute_error': 1.0471866958119995},{'mean_absolute_error': 0.9208236133231567},{'mean_absolute_error': 1.105283427775582},{'mean_absolute_error': 1.0179387295474944},{'mean_absolute_error': 1.187593160867246},{'mean_absolute_error': 0.9353513890120564},{'mean_absolute_error': 1.0814049136858708}
92,{'mean_absolute_error': 0.9594914309028162},{'mean_absolute_error': 1.3258355161927227},{'mean_absolute_error': 0.9796541940514734},{'mean_absolute_error': 1.2127351353248608},{'mean_absolute_error': 0.9608788449507847},{'mean_absolute_error': 1.0239495189895622},{'mean_absolute_error': 1.0808888331715745},{'mean_absolute_error': 1.2880735547803948},{'mean_absolute_error': 0.9213834862838493},{'mean_absolute_error': 1.0613960769721198},{'mean_absolute_error': 0.9718307720253317},{'mean_absolute_error': 1.1009339316217293}
93,{'mean_absolute_error': 0.9020167524733196},{'mean_absolute_error': 1.1758966979850547},{'mean_absolute_error': 1.0016591212331636},{'mean_absolute_error': 1.2293688650298873},{'mean_absolute_error': 0.9756674093789355},{'mean_absolute_error': 1.0528795169686418},{'mean_absolute_error': 0.9242540934463479},{'mean_absolute_error': 1.1285596304617571},{'mean_absolute_error': 0.9272679865879024},{'mean_absolute_error': 1.0797683356048005},{'mean_absolute_error': 0.9416638136900229},{'mean_absolute_error': 1.0801264144182343}
94,{'mean_absolute_error': 0.895874575264273},{'mean_absolute_error': 1.2418560708689568},{'mean_absolute_error': 0.9990077364520392},{'mean_absolute_error': 1.226683855083065},{'mean_absolute_error': 0.9616505898018455},{'mean_absolute_error': 1.022209772466556},{'mean_absolute_error': 0.9442328260305031},{'mean_absolute_error': 1.1524672341229416},{'mean_absolute_error': 0.9431954511033497},{'mean_absolute_error': 1.075152020397854},{'mean_absolute_error': 0.9403122774897219},{'mean_absolute_error': 1.0698627704644272}
95,{'mean_absolute_error': 0.8965473956448958},{'mean_absolute_error': 1.181059214980631},{'mean_absolute_error': 0.9300609016482598},{'mean_absolute_error': 1.1969219607113462},{'mean_absolute_error': 0.9639618064875382},{'mean_absolute_error': 1.014156691976264},{'mean_absolute_error': 0.9237105432106811},{'mean_absolute_error': 1.113849262926057},{'mean_absolute_error': 0.9141386122863719},{'mean_absolute_error': 1.0858306325685076},{'mean_absolute_error': 0.9362390036853188},{'mean_absolute_error': 1.0728288498908307}
96,{'mean_absolute_error': 0.9526920267640644},{'mean_absolute_error': 1.3347785760151054},{'mean_absolute_error': 0.9584840459318632},{'mean_absolute_error': 1.2061468606566392},{'mean_absolute_error': 0.9810653150552847},{'mean_absolute_error': 1.0713478063029946},{'mean_absolute_error': 1.0215746904011775},{'mean_absolute_error': 1.2096317059066184},{'mean_absolute_error': 0.9216009182507656},{'mean_absolute_error': 1.1197091424273131},{'mean_absolute_error': 0.9750929861499502},{'mean_absolute_error': 1.1070539654495613}
97,{'mean_absolute_error': 0.9026351641424732},{'mean_absolute_error': 1.191069086976319},{'mean_absolute_error': 0.9271990400920497},{'mean_absolute_error': 1.1972154409957796},{'mean_absolute_error': 0.9772247813650717},{'mean_absolute_error': 1.066652044130347},{'mean_absolute_error': 1.0710505349990413},{'mean_absolute_error': 1.2864540409424137},{'mean_absolute_error': 0.9108363461514783},{'mean_absolute_error': 1.0941113648018732},{'mean_absolute_error': 0.9296406881437176},{'mean_absolute_error': 1.0792173645980971}
