,train_losses,valid_losses
72,{'mean_absolute_error': 1.0410744264368572},{'mean_absolute_error': 1.3263274613494005}
73,{'mean_absolute_error': 1.0132397492042025},{'mean_absolute_error': 1.3006865537312127}
74,{'mean_absolute_error': 0.9785547355559158},{'mean_absolute_error': 1.3014832705579686}
75,{'mean_absolute_error': 0.9699203351941214},{'mean_absolute_error': 1.2934731991206727}
76,{'mean_absolute_error': 0.9829818883287742},{'mean_absolute_error': 1.306400560923147}
77,{'mean_absolute_error': 0.977804206881157},{'mean_absolute_error': 1.3307780208167868}
78,{'mean_absolute_error': 0.9209168396295203},{'mean_absolute_error': 1.3110068120099896}
79,{'mean_absolute_error': 0.8862462057943367},{'mean_absolute_error': 1.3019821590436345}
80,{'mean_absolute_error': 0.9174241579982243},{'mean_absolute_error': 1.2925498182816109}
81,{'mean_absolute_error': 0.8848116153469097},{'mean_absolute_error': 1.2730145867939406}
82,{'mean_absolute_error': 0.86650705402466},{'mean_absolute_error': 1.2835147338455166}
83,{'mean_absolute_error': 0.8584198489612538},{'mean_absolute_error': 1.3045994738579734}
84,{'mean_absolute_error': 0.8650399653773111},{'mean_absolute_error': 1.2748101099825861}
85,{'mean_absolute_error': 0.8574669714204854},{'mean_absolute_error': 1.2768683501095972}
86,{'mean_absolute_error': 0.8493872175613771},{'mean_absolute_error': 1.2718338254645811}
87,{'mean_absolute_error': 0.841017236865634},{'mean_absolute_error': 1.272121322376951}
88,{'mean_absolute_error': 0.8464242062713044},{'mean_absolute_error': 1.279030149914175}
89,{'mean_absolute_error': 0.8333069535720611},{'mean_absolute_error': 1.2926888673797503}
90,{'mean_absolute_error': 0.8165892232359656},{'mean_absolute_error': 1.3114675019220008}
91,{'mean_absolute_error': 0.8140034246046313},{'mean_absolute_error': 1.2967832131682502}
92,{'mean_absolute_error': 0.8186775274261009},{'mean_absolute_error': 1.2888288291842014}
93,{'mean_absolute_error': 0.8068980486353183},{'mean_absolute_error': 1.3086853360704458}
94,{'mean_absolute_error': 0.7965988305915446},{'mean_absolute_error': 1.3244682293634822}
95,{'mean_absolute_error': 0.7953641356466463},{'mean_absolute_error': 1.3282264223092195}
96,{'mean_absolute_error': 0.7804804254500931},{'mean_absolute_error': 1.3219919217237626}
97,{'mean_absolute_error': 0.7744312241978409},{'mean_absolute_error': 1.3072273205349805}
98,{'mean_absolute_error': 0.779909015924593},{'mean_absolute_error': 1.3007363017230786}
99,{'mean_absolute_error': 0.7811267907705443},{'mean_absolute_error': 1.3094125530183671}
100,{'mean_absolute_error': 0.7674653522924327},{'mean_absolute_error': 1.301655513070692}
101,{'mean_absolute_error': 0.7632581765014339},{'mean_absolute_error': 1.3208196107186294}
102,{'mean_absolute_error': 0.7744114297709888},{'mean_absolute_error': 1.3323834459252557}
103,{'mean_absolute_error': 0.7771378991885308},{'mean_absolute_error': 1.328560824746994}
104,{'mean_absolute_error': 0.7615554581236162},{'mean_absolute_error': 1.3387087587858122}
105,{'mean_absolute_error': 0.764053073753147},{'mean_absolute_error': 1.2955222469335672}
106,{'mean_absolute_error': 0.7526754098952272},{'mean_absolute_error': 1.3217540721352443}
107,{'mean_absolute_error': 0.7628609971541604},{'mean_absolute_error': 1.3645269636383872}
108,{'mean_absolute_error': 0.7714977972304695},{'mean_absolute_error': 1.3645602662844183}
109,{'mean_absolute_error': 0.7656764749621356},{'mean_absolute_error': 1.3232172967664964}
110,{'mean_absolute_error': 0.7725822360762676},{'mean_absolute_error': 1.3446073689345692}
111,{'mean_absolute_error': 0.7880913309654483},{'mean_absolute_error': 1.3991701656529485}
112,{'mean_absolute_error': 0.777009454462233},{'mean_absolute_error': 1.4059187990162727}
113,{'mean_absolute_error': 0.7583882611063398},{'mean_absolute_error': 1.4062488557265902}
114,{'mean_absolute_error': 0.7353756465814374},{'mean_absolute_error': 1.3821816260646753}
115,{'mean_absolute_error': 0.7266699954128447},{'mean_absolute_error': 1.369616098854188}
116,{'mean_absolute_error': 0.7114940927639042},{'mean_absolute_error': 1.343639477571513}
117,{'mean_absolute_error': 0.7321344691943775},{'mean_absolute_error': 1.3908777289058738}
118,{'mean_absolute_error': 0.7165126760183318},{'mean_absolute_error': 1.3847265788250767}
119,{'mean_absolute_error': 0.6981113079079105},{'mean_absolute_error': 1.362338696847594}
120,{'mean_absolute_error': 0.7078908902551331},{'mean_absolute_error': 1.347021013062778}
