id, FailedMolecules, FailedReason, smiles, eiso
45, 83268, Negativeisomerization, N#Cc1cccc(\N=N/c2ccccc2-c2ccccc2)c1C(=O)O, -2.207954087
46, 766616, Negativeisomerization, COc1ccc(\N=N/c2cc(-c3ccccc3)ccc2C(=O)O)c(OC)c1C(=O)O, -2.508938548
47, 32851, Negativeisomerization, COc1cc(C)cc(\N=N/c2ccccc2C(=O)O)c1C(=O)O, -0.060300295
48, 538039, Negativeisomerization, COc1cc(F)c(\N=N/c2cccc(C)c2OC)cc1OC, -1.159365695
49, 701759, Negativeisomerization, O=C(O)c1cccc(C(=O)O)c1\N=N/c1c(C(=O)O)ccc(-c2ccccc2)c1-c1ccccc1, -0.623982884
50, 17065, Negativeisomerization, COc1cccc(\N=N/c2ccc(C#N)c(-c3ccccc3)c2OC)c1, -3.648657666
51, 671142, Negativeisomerization, COc1c(\N=N/c2cc(C)ccc2C(=O)O)cccc1C(=O)O, -3.161057941
52, 933498, Negativeisomerization, COc1ccc(-c2ccccc2)c(\N=N/c2cc(C(=O)O)ccc2C)c1C#N, -1.815185828
53, 58140, Negativeisomerization, O=C(O)c1ccccc1\N=N/c1c(-c2ccccc2)ccc(C(=O)O)c1F, -0.482837743
54, 1148198, Negativeisomerization, Cc1cc(C#N)cc(\N=N/c2ccc(-c3ccccc3)cc2C(=O)O)c1C(=O)O, -2.313289124
55, 757282, Negativeisomerization, COc1c(\N=N/c2cccc(-c3ccccc3)c2C(=O)O)ccc(C(=O)O)c1-c1ccccc1, -0.092328024
56, 290408, Negativeisomerization, COc1ccc(C(=O)O)c(\N=N/c2c(C#N)ccc(C(=O)O)c2C)c1, -0.09880432
57, 74892, Negativeisomerization, O=C(O)c1ccc(\N=N/c2cccc(-c3ccccc3)c2)c(C(=O)O)c1-c1ccccc1, -1.69504783
58, 270135, Negativeisomerization, COc1cccc(C(=O)O)c1\N=N/c1ccc(-c2ccccc2)c(-c2ccccc2)c1C, -1.060697432
59, 182599, Negativeisomerization, COc1cccc(\N=N/c2ccc(-c3ccccc3)c(OC)c2C)c1OC, -1.236156053
60, 1113398, Negativeisomerization, O=C(O)c1cc(F)c(\N=N/c2cccc(C(=O)O)c2-c2ccccc2)c(C(=O)O)c1, -0.049442977
61, 573288, Negativeisomerization, COc1cc(F)cc(\N=N/c2cc(C#N)cc(-c3ccccc3)c2C)c1, -0.117008696
62, 615210, Negativeisomerization, COc1ccc(C(=O)O)c(C(=O)O)c1\N=N/c1cccc(OC)c1C(=O)O, -0.237990245
63, 1033113, Negativeisomerization, COc1cc(C(=O)O)cc(\N=N/c2c(F)cccc2C(=O)O)c1C, -30.74637496
64, 324721, Negativeisomerization, COc1c(\N=N/c2cc(C)cc(-c3ccccc3)c2C(=O)O)cccc1C(=O)O, -0.044708206
65, 775080, Negativeisomerization, O=C(O)c1cccc(-c2ccccc2)c1\N=N/c1ccc(-c2ccccc2)c(F)c1C(=O)O, -2.613375612
66, 881517, Negativeisomerization, N#Cc1ccc(C(=O)O)cc1\N=N/c1c(C#N)cc(C(=O)O)cc1-c1ccccc1, -0.819795575
67, 356656, Negativeisomerization, COc1cc(\N=N/c2ccc(C)c(C)c2C(=O)O)cc(-c2ccccc2)c1, -0.037524417
68, 543761, Negativeisomerization, COc1c(F)cccc1\N=N/c1c(-c2ccccc2)ccc(C(=O)O)c1C, -0.298208906
69, 268975, Negativeisomerization, COc1cccc(C(=O)O)c1\N=N/c1ccc(F)c(OC)c1OC, -1.250714111
70, 507301, Negativeisomerization, COc1ccc(C)c(\N=N/c2ccc(C)c(OC)c2OC)c1, -0.299188514
71, 979520, Negativeisomerization, O=C(O)c1cc(C(=O)O)c(\N=N/c2cc(F)ccc2C(=O)O)c(C(=O)O)c1, -0.756801359
72, 168077, Negativeisomerization, O=C(O)c1ccc(-c2ccccc2)c(C(=O)O)c1\N=N/c1ccccc1F, -2.678546734
73, 425454, Negativeisomerization, COc1cc(\N=N/c2cc(C)cc(C#N)c2C(=O)O)ccc1C#N, -2.7875553
74, 1037637, Negativeisomerization, Cc1cc(C#N)c(\N=N/c2cccc(F)c2C(=O)O)cc1F, -0.029388231
75, 760960, Negativeisomerization, O=C(O)c1c(\N=N/c2c(F)ccc(F)c2-c2ccccc2)cccc1-c1ccccc1, -21.16110424
76, 897115, Negativeisomerization, Cc1ccc(C(=O)O)c(C)c1\N=N/c1cccc(C#N)c1C(=O)O, -0.603683236
77, 1123572, Negativeisomerization, O=C(O)c1ccc(\N=N/c2c(C(=O)O)cccc2-c2ccccc2)cc1F, -0.343134803
78, 790654, Negativeisomerization, COc1ccc(\N=N/c2cc(C(=O)O)ccc2-c2ccccc2)c(OC)c1C, -3.902267211
79, 696031, Negativeisomerization, COc1cc(\N=N/c2cc(C(=O)O)ccc2C(=O)O)c(OC)c(C(=O)O)c1, -2.094727765
80, 706485, Negativeisomerization, O=C(O)c1cccc(\N=N/c2c(F)ccc(-c3ccccc3)c2C(=O)O)c1C(=O)O, -1.520269492
81, 725143, Negativeisomerization, O=C(O)c1cc(F)c(C(=O)O)c(\N=N/c2ccc(C(=O)O)cc2C(=O)O)c1, -0.481640445
82, 758639, Negativeisomerization, N#Cc1c(\N=N/c2cccc(-c3ccccc3)c2C(=O)O)ccc(-c2ccccc2)c1C(=O)O, -0.255133379
83, 633915, Negativeisomerization, COc1ccc(F)c(\N=N/c2cccc(C(=O)O)c2OC)c1C#N, -0.378101355
84, 118825, Negativeisomerization, Cc1ccccc1\N=N/c1ccc(C#N)c(-c2ccccc2)c1C(=O)O, -0.394210459
85, 773401, Negativeisomerization, COc1cc(C#N)c(\N=N/c2c(C(=O)O)cccc2-c2ccccc2)cc1C(=O)O, -0.366536542
86, 215554, Negativeisomerization, COc1ccc(OC)c(\N=N/c2ccc(OC)c(C)c2OC)c1, -0.922681594
87, 705109, Negativeisomerization, COc1c(\N=N/c2cccc(C(=O)O)c2C(=O)O)cc(C#N)cc1-c1ccccc1, -1.852574188
88, 81829, Negativeisomerization, Cc1ccc(\N=N/c2ccccc2-c2ccccc2)c(C(=O)O)c1C(=O)O, -2.352364586
89, 56547, Negativeisomerization, COc1c(C#N)ccc(\N=N/c2ccccc2C(=O)O)c1OC, -1.159665019
90, 1131151, Negativeisomerization, Cc1c(C#N)ccc(F)c1\N=N/c1cccc(-c2ccccc2)c1C(=O)O, -21.98473661
91, 201004, Negativeisomerization, COc1cc(\N=N/c2cccc(OC)c2OC)c(C(=O)O)cc1C, -0.598676352
92, 352600, Negativeisomerization, COc1cc(\N=N/c2c(-c3ccccc3)ccc(F)c2C(=O)O)ccc1-c1ccccc1, -0.271569019
93, 435547, Negativeisomerization, COc1ccc(C#N)c(\N=N/c2c(C(=O)O)ccc(-c3ccccc3)c2C)c1, -0.475817221
94, 425122, Negativeisomerization, COc1cc(\N=N/c2c(C(=O)O)cc(C#N)cc2-c2ccccc2)ccc1C#N, -0.90904872
95, 1110700, Negativeisomerization, Cc1c(-c2ccccc2)ccc(C(=O)O)c1\N=N/c1cccc(C(=O)O)c1-c1ccccc1, -0.759604125
96, 279417, Negativeisomerization, COc1cc(\N=N/c2cc(-c3ccccc3)c(F)cc2C(=O)O)ccc1C(=O)O, -1.77289943
97, 1146696, Negativeisomerization, N#Cc1c(\N=N/c2ccc(-c3ccccc3)cc2C(=O)O)cccc1C(=O)O, -0.694813962
98, 540035, Negativeisomerization, COc1c(C)cccc1\N=N/c1c(-c2ccccc2)ccc(F)c1C#N, -2.988211608
