,train_losses,valid_losses
71,{'mean_absolute_error': 1.2287582071965695},{'mean_absolute_error': 1.2424137614332031}
72,{'mean_absolute_error': 1.223110431372639},{'mean_absolute_error': 1.1741839344195515}
73,{'mean_absolute_error': 1.2448540359697533},{'mean_absolute_error': 1.1479198891605475}
74,{'mean_absolute_error': 1.222896072358647},{'mean_absolute_error': 1.1969778367687205}
75,{'mean_absolute_error': 1.2319207858848185},{'mean_absolute_error': 1.14027768443334}
76,{'mean_absolute_error': 1.2276584799717376},{'mean_absolute_error': 1.1585265710982149}
77,{'mean_absolute_error': 1.2375140520567596},{'mean_absolute_error': 1.1496207619304482}
78,{'mean_absolute_error': 1.2230923819236323},{'mean_absolute_error': 1.1496323928456293}
79,{'mean_absolute_error': 1.2292667134508022},{'mean_absolute_error': 1.1411194490619807}
80,{'mean_absolute_error': 1.2178309257011934},{'mean_absolute_error': 1.1820110075584371}
81,{'mean_absolute_error': 1.2645363778679544},{'mean_absolute_error': 1.1271613003729306}
82,{'mean_absolute_error': 1.2249486074249833},{'mean_absolute_error': 1.1580749470810918}
83,{'mean_absolute_error': 1.2213075362054595},{'mean_absolute_error': 1.2215708386809283}
84,{'mean_absolute_error': 1.286856320957818},{'mean_absolute_error': 1.128110097343237}
85,{'mean_absolute_error': 1.235721620656722},{'mean_absolute_error': 1.2428493202083906}
86,{'mean_absolute_error': 1.2486115286706712},{'mean_absolute_error': 1.1351336278291349}
87,{'mean_absolute_error': 1.244456380976857},{'mean_absolute_error': 1.1356190839865747}
88,{'mean_absolute_error': 1.2316239816165888},{'mean_absolute_error': 1.1340806459090533}
89,{'mean_absolute_error': 1.2352992636961233},{'mean_absolute_error': 1.126901303646652}
90,{'mean_absolute_error': 1.2295131295890185},{'mean_absolute_error': 1.1599764015229213}
91,{'mean_absolute_error': 1.2352349849385125},{'mean_absolute_error': 1.1760869011302573}
92,{'mean_absolute_error': 1.2189737847634907},{'mean_absolute_error': 1.1676184350991832}
93,{'mean_absolute_error': 1.2515266149625968},{'mean_absolute_error': 1.1331559613323527}
94,{'mean_absolute_error': 1.2221523397219858},{'mean_absolute_error': 1.2465587918122487}
95,{'mean_absolute_error': 1.2593399623307049},{'mean_absolute_error': 1.1488308045621218}
