,train_mean,train_riso,train_eiso,train_vert,valid_mean,valid_riso,valid_eiso,valid_vert,,,(3,2048, [256,512, 1024],0.6, 1e-05)
43,2.890509098,7.403794132,1.162092039,0.105641121,3.09809325,8.030048877,1.162082272,0.102148601,,,,,,,,,
44,2.890656823,7.405363195,1.160918844,0.105688431,3.098224285,8.031161261,1.161333511,0.102178084,,,,,,,,,
45,2.889203543,7.403051582,1.159102764,0.105456283,3.097060257,8.029587179,1.159625841,0.101967751,,,,,,,,,
46,2.888931371,7.403791507,1.157483973,0.105518632,3.096677298,8.030020105,1.157992971,0.102018817,,,,,,,,,
47,2.887252869,7.400644188,1.156146776,0.104967642,3.095601218,8.027532702,1.157733629,0.101537324,,,,,,,,,
48,2.88730572,7.404388002,1.152562935,0.104966223,3.095129372,8.030181697,1.153676514,0.101529906,,,,,,,,,
49,2.885361618,7.399617158,1.151886594,0.104581102,3.093545035,8.026891237,1.152556847,0.101187021,,,,,,,,,
50,2.884233436,7.397481738,1.150495652,0.104722916,3.092783796,8.024968828,1.152073501,0.10130906,,,,,,,,,
51,2.883494285,7.397830644,1.148248392,0.104403819,3.091873777,8.024804057,1.149778296,0.101038979,,,,,,,,,
52,2.882391597,7.39621352,1.146584691,0.10437658,3.091085694,8.024131783,1.148118072,0.101007228,,,,,,,,,
53,2.881864646,7.396066296,1.145541844,0.103985799,3.090725866,8.023931746,1.147574764,0.100671087,,,,,,,,,
54,2.881671776,7.39822602,1.142762078,0.104027232,3.090175869,8.025216935,1.144610164,0.100700508,,,,,,,,,
55,2.879957256,7.394374444,1.141676316,0.103821008,3.088984235,8.022913644,1.143517307,0.100521753,,,,,,,,,
56,2.881491478,7.399578393,1.141235951,0.103660089,3.089804885,8.026349465,1.142690954,0.100374235,,,,,,,,,
57,2.878760157,7.394652995,1.13803594,0.103591537,3.087543767,8.022445428,1.139875013,0.10031086,,,,,,,,,
58,2.879110608,7.395370357,1.138341111,0.103620357,3.087713515,8.022746903,1.140058268,0.100335374,,,,,,,,,
59,2.877947668,7.394541367,1.135957889,0.10334375,3.086902343,8.022080349,1.138529806,0.100096876,,,,,,,,,
60,2.876207309,7.390950926,1.134406209,0.103264793,3.085603237,8.020065999,1.136718593,0.10002512,,,,,,,,,
61,2.877249959,7.39581217,1.132812486,0.103125222,3.086118622,8.02341349,1.135043694,0.099898681,,,,,,,,,
62,2.87612255,7.394004313,1.131554415,0.102808923,3.085483016,8.022020718,1.134793805,0.099634526,,,,,,,,,
63,2.87624793,7.395289895,1.130416767,0.103037126,3.0852685,8.023050732,1.13293758,0.099817188,,,,,,,,,
64,2.874516252,7.391798634,1.12902221,0.102727911,3.084010964,8.020697843,1.131782166,0.099552883,,,,,,,,,
65,2.875045005,7.394101644,1.128643026,0.102390345,3.084058732,8.022130321,1.130771159,0.099274717,,,,,,,,,
66,2.873845842,7.393028556,1.126202547,0.102306421,3.083209391,8.020798124,1.129632796,0.099197255,,,,,,,,,
67,2.873274366,7.39298739,1.124569769,0.10226594,3.082601881,8.02119528,1.127462017,0.099148347,,,,,,,,,
68,2.873332414,7.392984753,1.124784353,0.102228136,3.082620198,8.021087585,1.127662505,0.099110503,,,,,,,,,
69,2.87201547,7.391399933,1.12273626,0.101910219,3.081550124,8.019875054,1.125925211,0.098850108,,,,,,,,,
70,2.870902253,7.389542166,1.121184123,0.101980469,3.080586826,8.018531071,1.124339385,0.098890021,,,,,,,,,
71,2.869702293,7.387183077,1.120165381,0.101758421,3.079792188,8.016857791,1.123816599,0.098702173,,,,,,,,,
72,2.87004379,7.388751237,1.119772007,0.101608127,3.07990655,8.017909111,1.123242378,0.098568161,,,,,,,,,
73,2.869586277,7.388412352,1.118797728,0.101548753,3.079339069,8.017671101,1.12184368,0.098502425,,,,,,,,,
74,2.868761737,7.387197556,1.117617162,0.101470492,3.078655001,8.016523148,1.121007869,0.098433986,,,,,,,,,
75,2.867916036,7.386481224,1.115958361,0.101308525,3.077970405,8.015834916,1.11977876,0.098297539,,,,,,,,,
76,2.869547888,7.390995943,1.116144387,0.101503332,3.079070017,8.01935683,1.119406055,0.098447164,,,,,,,,,
77,2.867048537,7.384776964,1.115213244,0.101155404,3.077109176,8.014345214,1.118826309,0.098156005,,,,,,,,,
78,2.86620824,7.384043807,1.113580144,0.10100077,3.076333976,8.013684861,1.117290499,0.09802657,,,,,,,,,
79,2.865897618,7.383948751,1.112920499,0.100823603,3.076088935,8.013593479,1.116790341,0.097882985,,,,,,,,,
80,2.864969724,7.382803087,1.111377351,0.100728732,3.075278529,8.01267695,1.115366875,0.097791762,,,,,,,,,
81,2.86421298,7.380088854,1.111881627,0.100668459,3.075128838,8.011190882,1.116460656,0.097734976,,,,,,,,,
82,2.863549442,7.380577463,1.109582082,0.10048878,3.074043302,8.010903045,1.113644157,0.097582704,,,,,,,,,
83,2.863708739,7.381651774,1.108954289,0.100520154,3.074034898,8.011335632,1.113179468,0.097589594,,,,,,,,,
84,2.863379203,7.38144248,1.108363178,0.100331951,3.07364435,8.011060664,1.112438336,0.09743405,,,,,,,,,
85,2.862450413,7.380082416,1.106987668,0.100281154,3.073070422,8.010311171,1.111515613,0.097384483,,,,,,,,,
86,2.862367014,7.380497525,1.106477576,0.100125943,3.072891664,8.0103634,1.111053422,0.097258169,,,,,,,,,
87,2.861515727,7.37818255,1.106296005,0.100068625,3.072000141,8.008348701,1.110452749,0.097198972,,,,,,,,,
88,2.861091745,7.377275297,1.106091999,0.09990794,3.071704669,8.007602014,1.110442155,0.097069838,,,,,,,,,
89,2.862022321,7.380517127,1.105653895,0.099895942,3.072327235,8.00920382,1.110730775,0.09704711,,,,,,,,,
90,2.860446117,7.377679766,1.103917195,0.099741391,3.071004415,8.007373932,1.108717548,0.096921766,,,,,,,,,
91,2.859629885,7.3758749,1.10320072,0.099814035,3.070528865,8.006481427,1.108144629,0.096960539,,,,,,,,,
92,2.859450094,7.375567558,1.103114872,0.099667852,3.070467959,8.005906923,1.108653663,0.096843292,,,,,,,,,
93,2.860246594,7.378481731,1.102629973,0.099628077,3.070808411,8.007728915,1.107898615,0.096797704,,,,,,,,,
94,2.859158314,7.374635654,1.103376635,0.099462653,3.070343977,8.005202526,1.109162364,0.096667042,,,,,,,,,
95,2.859352072,7.37794811,1.100680349,0.099427757,3.069648144,8.006696666,1.105629555,0.096618211,,,,,,,,,
96,2.859675253,7.37892734,1.100757077,0.099341341,3.069922188,8.007200361,1.106016985,0.096549217,,,,,,,,,
97,2.859399525,7.377639246,1.101271947,0.099287381,3.069948698,8.00648767,1.106854926,0.096503497,,,,,,,,,
98,2.857422065,7.37302047,1.10011692,0.099128806,3.068708922,8.003562629,1.106189476,0.09637466,,,,,,,,,
99,2.857283547,7.374363887,1.098355684,0.099131069,3.067919387,8.004008224,1.103393514,0.096356425,,,,,,,,,
100,2.856917866,7.372967893,1.098762409,0.099023297,3.067695142,8.002958974,1.103861457,0.096264995,,,,,,,,,
101,2.857315169,7.374616579,1.098350594,0.098978333,3.067965354,8.003929593,1.103748884,0.096217584,,,,,,,,,
102,2.85689307,7.373809907,1.098012479,0.098856823,3.067229172,8.003058844,1.102509997,0.096118674,,,,,,,,,
103,2.856456565,7.373352304,1.097264242,0.098753149,3.067323989,8.002594644,1.103334306,0.096043017,,,,,,,,,
104,2.856000056,7.372523489,1.096759804,0.098716876,3.066561766,8.002169333,1.101510943,0.096005022,,,,,,,,,
105,2.855825942,7.372508755,1.096252202,0.09871687,3.066510713,8.002489704,1.101055668,0.095986767,,,,,,,,,
106,2.854926058,7.371992343,1.09411384,0.09867199,3.065852941,8.001606025,1.100006314,0.095946485,,,,,,,,,
107,2.855606535,7.373115307,1.095120951,0.098583346,3.066173609,8.002355338,1.100281932,0.095883559,,,,,,,,,
108,2.854981336,7.372010898,1.09442433,0.09850878,3.065371044,8.000627956,1.099666336,0.095818841,,,,,,,,,
109,2.852906442,7.367258128,1.093070029,0.098391169,3.064128474,7.99782292,1.09883622,0.095726281,,,,,,,,,
110,2.853510154,7.369222785,1.092923596,0.098384081,3.064416397,7.999089735,1.098453093,0.095706364,,,,,,,,,
111,2.852725737,7.367229032,1.092690667,0.098257513,3.063894317,7.997740562,1.098326116,0.095616274,,,,,,,,,
112,2.853153559,7.368793662,1.092396862,0.098270153,3.064247479,7.998609684,1.098529842,0.095602911,,,,,,,,,
113,2.852340213,7.366562509,1.092198702,0.098259427,3.063423276,7.996697316,1.097990944,0.095581568,,,,,,,,,
114,2.852458658,7.367159729,1.092066806,0.098149439,3.063646194,7.997138955,1.098294845,0.095504781,,,,,,,,,
115,2.851635534,7.364749743,1.092063047,0.098093813,3.063246662,7.99524895,1.099025529,0.095465506,,,,,,,,,
116,2.851490145,7.365134524,1.091263254,0.098072657,3.06273577,7.994948533,1.097818677,0.095440099,,,,,,,,,
117,2.851061297,7.364274844,1.090826777,0.098082271,3.062088402,7.994241742,1.096594032,0.095429432,,,,,,,,,
118,2.851923575,7.36626625,1.091536115,0.09796836,3.063155585,7.995613252,1.098492168,0.095361335,,,,,,,,,
119,2.850814134,7.364783765,1.089712488,0.097946149,3.062045958,7.99434884,1.096462809,0.095326224,,,,,,,,,
120,2.849627329,7.361765014,1.089257248,0.097859724,3.061077145,7.992104365,1.095860233,0.095266838,,,,,,,,,
121,2.849605459,7.361523311,1.089458135,0.097834931,3.060765724,7.991614481,1.095440701,0.095241992,,,,,,,,,
122,2.850310023,7.364244986,1.088849719,0.097835365,3.061163746,7.993154929,1.0951177,0.09521861,,,,,,,,,
