,train_scores,valid_scores
71,{'mean_absolute_error': 0.8617665364743677},{'mean_absolute_error': 1.0103095020695458}
72,{'mean_absolute_error': 0.821505418721781},{'mean_absolute_error': 1.0169429856239}
73,{'mean_absolute_error': 0.8319759973388555},{'mean_absolute_error': 1.0223629676625745}
74,{'mean_absolute_error': 0.8138730457012473},{'mean_absolute_error': 1.011527354254724}
75,{'mean_absolute_error': 0.9082885886633258},{'mean_absolute_error': 1.0391612788198645}
76,{'mean_absolute_error': 0.8293363260686076},{'mean_absolute_error': 1.0395837399316032}
77,{'mean_absolute_error': 0.8187388016995122},{'mean_absolute_error': 1.0237678579213128}
78,{'mean_absolute_error': 0.8101723758840498},{'mean_absolute_error': 0.9989851115570674}
79,{'mean_absolute_error': 0.823661130667347},{'mean_absolute_error': 1.0276486547590509}
80,{'mean_absolute_error': 0.863130479813269},{'mean_absolute_error': 1.00855552954691}
81,{'mean_absolute_error': 0.8598366456163026},{'mean_absolute_error': 0.9954175993252193}
82,{'mean_absolute_error': 0.818600545744334},{'mean_absolute_error': 1.0505490616280746}
83,{'mean_absolute_error': 0.871237158113125},{'mean_absolute_error': 1.1020914992218875}
84,{'mean_absolute_error': 0.8872451644273057},{'mean_absolute_error': 1.061766969393105}
85,{'mean_absolute_error': 0.823417151851325},{'mean_absolute_error': 0.9660369059340693}
86,{'mean_absolute_error': 0.8398479527422302},{'mean_absolute_error': 1.109327571253535}
87,{'mean_absolute_error': 0.8041480612420249},{'mean_absolute_error': 1.0305802118885221}
88,{'mean_absolute_error': 0.8327829199021056},{'mean_absolute_error': 1.0041779070934482}
89,{'mean_absolute_error': 0.82371496580794},{'mean_absolute_error': 1.0667619363527114}
90,{'mean_absolute_error': 0.8105792215665556},{'mean_absolute_error': 0.9926831062217968}
91,{'mean_absolute_error': 0.8930880715551849},{'mean_absolute_error': 1.0410242549783408}
92,{'mean_absolute_error': 0.795256683732112},{'mean_absolute_error': 1.0641023893720558}
93,{'mean_absolute_error': 0.7606589015280639},{'mean_absolute_error': 1.0321408354920671}
94,{'mean_absolute_error': 0.7935493505012153},{'mean_absolute_error': 1.0145336395111422}
95,{'mean_absolute_error': 0.7922068727320689},{'mean_absolute_error': 1.0224679057867927}
96,{'mean_absolute_error': 0.7965081282384703},{'mean_absolute_error': 1.0513482090302049}
97,{'mean_absolute_error': 0.7685529490669363},{'mean_absolute_error': 0.9924255563372069}
98,{'mean_absolute_error': 0.7858174482703032},{'mean_absolute_error': 1.044570795493627}
99,{'mean_absolute_error': 0.7486569988350986},{'mean_absolute_error': 1.0607248153655087}
100,{'mean_absolute_error': 0.7654644431019962},{'mean_absolute_error': 1.0467431905494335}
101,{'mean_absolute_error': 0.7741319156786819},{'mean_absolute_error': 1.0238641245023012}
102,{'mean_absolute_error': 0.7653847518068387},{'mean_absolute_error': 0.9791823552288238}
103,{'mean_absolute_error': 0.7958780148827701},{'mean_absolute_error': 1.0643025034049023}
104,{'mean_absolute_error': 0.8162612384506999},{'mean_absolute_error': 1.0448279602677581}
105,{'mean_absolute_error': 0.8368737015600719},{'mean_absolute_error': 0.9987835519278693}
106,{'mean_absolute_error': 0.8495210376479979},{'mean_absolute_error': 1.0124119989583218}
107,{'mean_absolute_error': 0.7568131400474503},{'mean_absolute_error': 1.061189726057372}
108,{'mean_absolute_error': 0.7530467846576087},{'mean_absolute_error': 1.1096346746300054}
109,{'mean_absolute_error': 0.7703628505547452},{'mean_absolute_error': 1.049864131331965}
110,{'mean_absolute_error': 0.772438156297607},{'mean_absolute_error': 1.0220811795593019}
111,{'mean_absolute_error': 0.7253887563422722},{'mean_absolute_error': 1.011127475171217}
112,{'mean_absolute_error': 0.7250350177515813},{'mean_absolute_error': 1.0840403375262244}
113,{'mean_absolute_error': 0.7577087537229721},{'mean_absolute_error': 0.9860073416381233}
114,{'mean_absolute_error': 0.7519080866283662},{'mean_absolute_error': 1.0405849366046678}
115,{'mean_absolute_error': 0.7143413652979548},{'mean_absolute_error': 1.0455044404283593}
