,train_mean,train_riso,train_eiso,train_vert,valid_mean,valid_riso,valid_eiso,valid_vert,,,,,,,,,,,,,,,,,,
43,2.884002146,7.408384465,1.140165731,0.103456242,3.092009676,8.030837784,1.144982471,0.100208773,,,,,,,,,,,,,,,,,,
44,2.883386695,7.407752687,1.139045822,0.103361575,3.091428392,8.030553944,1.143603158,0.100128075,,,,,,,,,,,,,,,,,,
45,2.881338557,7.404281328,1.136555733,0.103178611,3.089957411,8.027616506,1.142280901,0.099974827,,,,,,,,,,,,,,,,,,
46,2.881948156,7.408078351,1.134705047,0.10306107,3.089883431,8.030612224,1.139157152,0.099880916,,,,,,,,,,,,,,,,,,
47,2.879031927,7.401002054,1.133368476,0.102725253,3.08800533,8.025076607,1.139337109,0.099602273,,,,,,,,,,,,,,,,,,
48,2.879278108,7.404116789,1.130942711,0.102774823,3.087826176,8.027339212,1.136503095,0.099636222,,,,,,,,,,,,,,,,,,
49,2.878249133,7.403131218,1.129068561,0.10254762,3.08659203,8.026601232,1.133728771,0.099446087,,,,,,,,,,,,,,,,,,
50,2.876724518,7.400182981,1.127687031,0.102303543,3.085585045,8.024343574,1.133171104,0.099240458,,,,,,,,,,,,,,,,,,
51,2.876543505,7.401085972,1.126168767,0.102375777,3.085217113,8.02501307,1.131340131,0.099298138,,,,,,,,,,,,,,,,,,
52,2.876286755,7.401847908,1.124921771,0.102090587,3.084590396,8.025439775,1.12927414,0.099057273,,,,,,,,,,,,,,,,,,
53,2.876086005,7.402801714,1.123513573,0.101942727,3.08437724,8.026183482,1.128016514,0.098931724,,,,,,,,,,,,,,,,,,
54,2.874869766,7.401063303,1.121774375,0.101771619,3.083423158,8.024850814,1.126626475,0.098792187,,,,,,,,,,,,,,,,,,
55,2.873330522,7.397789209,1.120583195,0.101619163,3.082311653,8.022376458,1.125889993,0.098668507,,,,,,,,,,,,,,,,,,
56,2.872495688,7.396688805,1.119287251,0.101511008,3.081575226,8.021557358,1.124597033,0.098571287,,,,,,,,,,,,,,,,,,
57,2.872214889,7.397269682,1.118032983,0.101342002,3.081288574,8.022001771,1.123441371,0.098422579,,,,,,,,,,,,,,,,,,
58,2.871434555,7.396466651,1.11665666,0.101180355,3.080267264,8.021526643,1.120995393,0.098279755,,,,,,,,,,,,,,,,,,
59,2.870097236,7.393432897,1.115710422,0.101148391,3.079343634,8.018629382,1.121152812,0.098248709,,,,,,,,,,,,,,,,,,
60,2.868888453,7.391401543,1.114452433,0.100811384,3.078118513,8.016998563,1.119386206,0.097970769,,,,,,,,,,,,,,,,,,
61,2.86823265,7.390600814,1.113437482,0.100659654,3.077637238,8.016485493,1.118588543,0.097837677,,,,,,,,,,,,,,,,,,
62,2.868063711,7.391486658,1.112034983,0.100669494,3.077276892,8.017109833,1.116890667,0.097830176,,,,,,,,,,,,,,,,,,
63,2.867348731,7.390638877,1.110899143,0.100508173,3.076574042,8.016419651,1.115613414,0.09768906,,,,,,,,,,,,,,,,,,
64,2.866219418,7.38776944,1.110620933,0.100267881,3.075815012,8.013725136,1.116226378,0.097493521,,,,,,,,,,,,,,,,,,
65,2.865780053,7.388038284,1.10920086,0.100101015,3.075227666,8.01414501,1.114183566,0.097354422,,,,,,,,,,,,,,,,,,
66,2.865798234,7.388967573,1.108282395,0.100144733,3.075180115,8.014495964,1.113662017,0.097382363,,,,,,,,,,,,,,,,,,
67,2.864819799,7.387042351,1.107258651,0.100158396,3.074207518,8.012735399,1.112502531,0.097384624,,,,,,,,,,,,,,,,,,
68,2.864337741,7.386130196,1.106985389,0.099897639,3.073974518,8.01199563,1.11276413,0.097163794,,,,,,,,,,,,,,,,,,
69,2.863432001,7.384798922,1.105646415,0.099850665,3.073070054,8.011089511,1.111005689,0.09711496,,,,,,,,,,,,,,,,,,
70,2.863065619,7.384529985,1.105032218,0.099634655,3.072743167,8.010699038,1.110595185,0.096935278,,,,,,,,,,,,,,,,,,
71,2.862575952,7.384109801,1.103999915,0.09961814,3.072239802,8.010662842,1.109140282,0.096916282,,,,,,,,,,,,,,,,,,
72,2.862360044,7.384241162,1.103335256,0.099503713,3.07197213,8.010786203,1.108315782,0.096814405,,,,,,,,,,,,,,,,,,
73,2.86151873,7.381965096,1.103324311,0.099266785,3.071633131,8.009002693,1.109285745,0.096610956,,,,,,,,,,,,,,,,,,
74,2.862241315,7.38540953,1.102051449,0.099262967,3.071622446,8.01150452,1.106765262,0.096597556,,,,,,,,,,,,,,,,,,
75,2.86087924,7.382618139,1.100998508,0.099021072,3.070743558,8.009646757,1.106178651,0.096405266,,,,,,,,,,,,,,,,,,
76,2.860123406,7.381028222,1.1002989,0.099043096,3.070335296,8.008499417,1.106102236,0.096404234,,,,,,,,,,,,,,,,,,
77,2.859417969,7.379239145,1.100131224,0.098883538,3.069859086,8.006827527,1.106482673,0.096267058,,,,,,,,,,,,,,,,,,
78,2.859262971,7.380157395,1.098830107,0.098801411,3.069473491,8.007500193,1.104737161,0.09618312,,,,,,,,,,,,,,,,,,
79,2.858211172,7.377662788,1.098230908,0.09873982,3.068745364,8.00580898,1.10430152,0.09612559,,,,,,,,,,,,,,,,,,
80,2.858427578,7.378875175,1.097753053,0.098654507,3.068970888,8.006677113,1.10418459,0.096050959,,,,,,,,,,,,,,,,,,
81,2.85733346,7.376465693,1.096954446,0.09858024,3.068127749,8.005135907,1.10326468,0.095982658,,,,,,,,,,,,,,,,,,
82,2.857861324,7.378361286,1.096654313,0.098568373,3.068257515,8.006779888,1.102022317,0.09597034,,,,,,,,,,,,,,,,,,
83,2.856531321,7.375672671,1.095511724,0.098409568,3.067299324,8.004711136,1.101348785,0.095838051,,,,,,,,,,,,,,,,,,
84,2.85610397,7.375136005,1.094800538,0.098375367,3.066999905,8.003863538,1.101328859,0.095807319,,,,,,,,,,,,,,,,,,
85,2.855398468,7.373618509,1.094354114,0.098222782,3.066496916,8.002644705,1.101159077,0.095686965,,,,,,,,,,,,,,,,,,
86,2.855354228,7.374305588,1.093577329,0.098179767,3.066137555,8.002988081,1.099786511,0.095638075,,,,,,,,,,,,,,,,,,
87,2.854762093,7.373406049,1.092759078,0.098121153,3.065840184,8.002536298,1.099404677,0.095579577,,,,,,,,,,,,,,,,,,
88,2.854210546,7.372212287,1.092332294,0.098087057,3.065495728,8.00158027,1.099361137,0.095545778,,,,,,,,,,,,,,,,,,
89,2.853977351,7.371997359,1.091930871,0.098003823,3.065369836,8.001450915,1.099188925,0.095469669,,,,,,,,,,,,,,,,,,
90,2.853422878,7.37133576,1.090983129,0.097949744,3.064699822,8.000655492,1.098019951,0.095424023,,,,,,,,,,,,,,,,,,
91,2.853042303,7.370399608,1.090816762,0.097910538,3.064567432,7.999971921,1.098343225,0.09538715,,,,,,,,,,,,,,,,,,
92,2.852797696,7.370493151,1.089981568,0.097918369,3.064108383,7.999719508,1.09723118,0.095374461,,,,,,,,,,,,,,,,,,
