,train_losses,valid_losses,train_score,valid_score,test_score
0,31.627534866333008,0.3433423936367035,{'rms_score': 0.43765983595014446},{'rms_score': 0.03262282888417621},{'rms_score': 0.9466442473427603}
1,1.4820172786712646,0.26782095432281494,0,0,0
2,1.3494257926940918,0.23799480497837067,0,0,0
3,1.2600533962249756,0.2256445437669754,0,0,0
4,1.1994484663009644,0.21576355397701263,0,0,0
5,1.1486204862594604,0.20492535829544067,0,0,0
6,1.1593602895736694,0.1973932981491089,0,0,0
7,1.1634598970413208,0.1891360878944397,0,0,0
8,1.1373201608657837,0.15893882513046265,0,0,0
9,1.1454782485961914,0.15175017714500427,0,0,0
10,1.132236123085022,0.14069992303848267,0,0,0
11,1.1259981393814087,0.13199065625667572,0,0,0
12,0.9596704244613647,0.12216600775718689,0,0,0
13,1.1270420551300049,0.11866092681884766,0,0,0
14,1.140393614768982,0.11883284896612167,0,0,0
15,1.1113030910491943,0.10588858276605606,0,0,0
16,1.1132439374923706,0.11591219902038574,0,0,0
17,1.0962921380996704,0.08926870673894882,0,0,0
18,1.0971916913986206,0.09390796720981598,0,0,0
19,1.1361262798309326,0.08273760974407196,0,0,0
20,1.0980886220932007,0.07911938428878784,0,0,0
21,1.1136560440063477,0.08832111954689026,0,0,0
22,1.1061724424362183,0.08592595905065536,0,0,0
23,1.0940788984298706,0.07800790667533875,0,0,0
24,1.0998798608779907,0.06966579705476761,0,0,0
25,1.1153794527053833,0.06353418529033661,0,0,0
26,1.1069097518920898,0.06506576389074326,0,0,0
27,1.0879731178283691,0.06231795623898506,0,0,0
28,1.081784963607788,0.06884197890758514,0,0,0
29,1.0605136156082153,0.06506717205047607,0,0,0
30,1.0077085494995117,0.061077285557985306,0,0,0
31,1.017316222190857,0.05466316267848015,0,0,0
32,1.0284276008605957,0.052203401923179626,0,0,0
33,0.9919249415397644,0.050118014216423035,0,0,0
34,0.9987456798553467,0.05843519791960716,0,0,0
35,0.9748322367668152,0.04682450369000435,0,0,0
36,0.9608776569366455,0.04921847954392433,0,0,0
37,0.5591543316841125,0.05295918509364128,0,0,0
38,0.9291947484016418,0.0442175418138504,0,0,0
39,0.9034242630004883,0.04693552479147911,0,0,0
40,0.9179606437683105,0.04408477619290352,0,0,0
41,0.9078856110572815,0.046092625707387924,0,0,0
42,0.9234926104545593,0.041865888983011246,0,0,0
43,0.9270567297935486,0.04304821044206619,0,0,0
44,0.8439452648162842,0.04524023085832596,0,0,0
45,0.8059713840484619,0.04003778100013733,0,0,0
46,0.7480616569519043,0.03887474164366722,0,0,0
47,0.6779605150222778,0.03543828800320625,0,0,0
48,0.5865465402603149,0.04116567224264145,0,0,0
49,0.4465607702732086,0.0358099602162838,0,0,0
50,0.4411590099334717,0.036579445004463196,0,0,0
51,0.5282366871833801,0.031483180820941925,0,0,0
52,0.4654305577278137,0.038248077034950256,0,0,0
53,0.5475926399230957,0.03185708820819855,0,0,0
54,0.45910781621932983,0.028322506695985794,0,0,0
55,0.37970873713493347,0.028499938547611237,0,0,0
56,0.43532034754753113,0.032902348786592484,0,0,0
57,0.3612864315509796,0.030428733676671982,0,0,0
58,0.35466694831848145,0.03070197068154812,0,0,0
59,0.3294578194618225,0.027488846331834793,0,0,0
60,0.3399912118911743,0.026886872947216034,0,0,0
61,0.31318357586860657,0.029223280027508736,0,0,0
62,0.24857956171035767,0.025403987616300583,0,0,0
63,0.30881622433662415,0.02998274751007557,0,0,0
64,0.2849244475364685,0.025843847543001175,0,0,0
65,0.30899232625961304,0.02484802156686783,0,0,0
66,0.28407782316207886,0.025182612240314484,0,0,0
67,0.2966429889202118,0.022012460976839066,0,0,0
68,0.28148597478866577,0.025403954088687897,0,0,0
69,0.2451542466878891,0.024430427700281143,0,0,0
70,0.2535410225391388,0.021089602261781693,0,0,0
71,0.2571609616279602,0.019501162692904472,0,0,0
