,train_scores,valid_scores
91,{'rms_score': 8.160627542692856},{'rms_score': 9.331064703370695}
92,{'rms_score': 8.141773944237519},{'rms_score': 9.322649129252339}
93,{'rms_score': 8.190427548778606},{'rms_score': 9.35081593779983}
94,{'rms_score': 8.194866652671493},{'rms_score': 9.353925465068764}
95,{'rms_score': 8.202844744990337},{'rms_score': 9.360522185862047}
96,{'rms_score': 8.173850511576568},{'rms_score': 9.340592203323615}
97,{'rms_score': 8.191536284052908},{'rms_score': 9.353274848093479}
98,{'rms_score': 8.155749646577696},{'rms_score': 9.32829447498}
99,{'rms_score': 8.226943319508775},{'rms_score': 9.379053619585736}
100,{'rms_score': 8.185109474969437},{'rms_score': 9.348358236912514}
101,{'rms_score': 8.223526049681144},{'rms_score': 9.376528117608053}
102,{'rms_score': 8.200575707816444},{'rms_score': 9.35919813409356}
103,{'rms_score': 8.186344289279859},{'rms_score': 9.34866691120562}
104,{'rms_score': 8.188824698210972},{'rms_score': 9.351657767703347}
105,{'rms_score': 8.236587724267999},{'rms_score': 9.38750768768514}
106,{'rms_score': 8.165169439214123},{'rms_score': 9.335394482324677}
107,{'rms_score': 8.16646034542574},{'rms_score': 9.336579882335453}
108,{'rms_score': 8.187749957360158},{'rms_score': 9.352613454629065}
109,{'rms_score': 8.15859795846295},{'rms_score': 9.331585549644162}
110,{'rms_score': 8.227385539526567},{'rms_score': 9.382169366450421}
111,{'rms_score': 8.148225445487364},{'rms_score': 9.325806115466246}
112,{'rms_score': 8.225200086469606},{'rms_score': 9.380650318285971}
113,{'rms_score': 8.126516171553316},{'rms_score': 9.314585812967868}
114,{'rms_score': 8.195578491548599},{'rms_score': 9.359671124791367}
115,{'rms_score': 8.186511154707114},{'rms_score': 9.353460651049401}
116,{'rms_score': 8.147538646926572},{'rms_score': 9.32703176432163}
117,{'rms_score': 8.216696676395879},{'rms_score': 9.376026713258423}
118,{'rms_score': 8.175443832118319},{'rms_score': 9.345214478181816}
119,{'rms_score': 8.195344451413924},{'rms_score': 9.359425837286299}
120,{'rms_score': 8.188430234273998},{'rms_score': 9.354271478657155}
121,{'rms_score': 8.223224743237695},{'rms_score': 9.380670433791874}
122,{'rms_score': 8.229046378925318},{'rms_score': 9.38723226989317}
123,{'rms_score': 8.143409161155192},{'rms_score': 9.32468818033417}
124,{'rms_score': 8.245615313340647},{'rms_score': 9.398685160961907}
125,{'rms_score': 8.145215372578532},{'rms_score': 9.326252794365482}
126,{'rms_score': 8.148243813826328},{'rms_score': 9.331074324662705}
127,{'rms_score': 8.1666721257106},{'rms_score': 9.343845451441169}
128,{'rms_score': 8.155307255876549},{'rms_score': 9.335798873274557}
129,{'rms_score': 8.157863344512672},{'rms_score': 9.337168286170801}
130,{'rms_score': 8.14779700578782},{'rms_score': 9.329883768384805}
131,{'rms_score': 8.141670448963028},{'rms_score': 9.325968254692583}
